player,nationality,position,squad,age,birth_year,games_gk,games_starts_gk,minutes_gk,goals_against_gk,goals_against_per90_gk,shots_on_target_against,saves,save_pct,wins_gk,draws_gk,losses_gk,clean_sheets,clean_sheets_pct,pens_att_gk,pens_allowed,pens_saved,pens_missed_gk,minutes_90s_gk,free_kick_goals_against_gk,corner_kick_goals_against_gk,own_goals_against_gk,psxg_gk,psnpxg_per_shot_on_target_against,psxg_net_gk,psxg_net_per90_gk,passes_completed_launched_gk,passes_launched_gk,passes_pct_launched_gk,passes_gk,passes_throws_gk,pct_passes_launched_gk,passes_length_avg_gk,goal_kicks,pct_goal_kicks_launched,goal_kick_length_avg,crosses_gk,crosses_stopped_gk,crosses_stopped_pct_gk,def_actions_outside_pen_area_gk,def_actions_outside_pen_area_per90_gk,avg_distance_def_actions_gk,Season,player_lower,firstname_lower,lastname_lower,firstinitial_lower,nationality_code,nationality_cleaned
Adrián,es ESP,GK,Liverpool,32,1987,11.0,9.0,875.0,10.0,1.03,28.0,17.0,0.643,9.0,0.0,0.0,2.0,22.2,0.0,0.0,0.0,0.0,9.7,1.0,1.0,0.0,8.7,0.31,-1.3,-0.13,60.0,142.0,42.3,246.0,49.0,44.3,38.3,68.0,48.5,40.4,91.0,8.0,8.8,7.0,0.72,13.3,19/20,adrian,adrian,adrian,a,ESP,Spain
Rúnar Alex Rúnarsson,is ISL,GK,Dijon,24,1995,11.0,9.0,900.0,17.0,1.7,46.0,29.0,0.63,1.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,3.0,1.0,13.1,0.29,-2.9,-0.29,61.0,145.0,42.1,246.0,54.0,37.8,35.9,81.0,64.2,49.2,89.0,8.0,9.0,5.0,0.5,14.1,19/20,runar alex runarsson,runar,runarsson,r,ISL,Iceland
Enrico Alfonso,it ITA,GK,Brescia,31,1988,4.0,4.0,279.0,4.0,1.29,11.0,7.0,0.636,1.0,0.0,3.0,1.0,25.0,0.0,0.0,0.0,0.0,3.1,0.0,0.0,0.0,2.0,0.18,-2.0,-0.66,11.0,32.0,34.4,51.0,8.0,45.1,37.0,24.0,37.5,32.8,38.0,2.0,5.3,4.0,1.29,16.3,19/20,enrico alfonso,enrico,alfonso,e,ITA,Italy
Alisson,br BRA,GK,Liverpool,26,1992,29.0,29.0,2543.0,23.0,0.81,79.0,58.0,0.722,23.0,3.0,3.0,13.0,44.8,1.0,1.0,0.0,0.0,28.3,0.0,1.0,1.0,22.8,0.28,0.8,0.03,138.0,255.0,54.1,755.0,132.0,24.9,31.7,170.0,39.4,38.8,197.0,16.0,8.1,37.0,1.31,17.5,19/20,alisson,alisson,alisson,a,BRA,Brazil
Sergio Álvarez,es ESP,GK,Celta Vigo,32,1986,4.0,4.0,180.0,1.0,0.5,4.0,3.0,0.75,1.0,1.0,0.0,2.0,50.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.1,0.28,0.1,0.06,8.0,22.0,36.4,34.0,5.0,32.4,35.6,19.0,57.9,43.0,24.0,2.0,8.3,0.0,0.0,16.5,19/20,sergio alvarez,sergio,alvarez,s,ESP,Spain
Lorenzo Andrenacci,it ITA,GK,Brescia,24,1995,6.0,5.0,531.0,16.0,2.71,45.0,28.0,0.644,0.0,1.0,4.0,0.0,0.0,1.0,0.0,0.0,1.0,5.9,1.0,1.0,0.0,12.9,0.29,-3.1,-0.53,33.0,66.0,50.0,97.0,45.0,33.0,35.4,66.0,51.5,43.5,56.0,1.0,1.8,2.0,0.34,12.4,19/20,lorenzo andrenacci,lorenzo,andrenacci,l,ITA,Italy
Miguel Ángel Moyá,es ESP,GK,Real Sociedad,35,1984,13.0,13.0,1170.0,16.0,1.23,51.0,36.0,0.686,5.0,4.0,4.0,3.0,23.1,1.0,0.0,0.0,1.0,13.0,0.0,1.0,1.0,13.1,0.26,-1.9,-0.14,100.0,188.0,53.2,358.0,58.0,32.7,32.9,100.0,71.0,48.6,102.0,13.0,12.7,12.0,0.92,15.9,19/20,miguel angel moya,miguel,moya,m,ESP,Spain
Alphonse Areola,fr FRA,GK,Paris S-G,26,1993,3.0,3.0,270.0,2.0,0.67,4.0,2.0,0.5,2.0,0.0,1.0,2.0,66.7,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.8,0.46,-0.2,-0.05,3.0,4.0,75.0,48.0,9.0,4.2,20.0,10.0,20.0,24.5,15.0,0.0,0.0,6.0,2.0,23.8,19/20,alphonse areola,alphonse,areola,a,FRA,France
Alphonse Areola,fr FRA,GK,Real Madrid,26,1993,4.0,4.0,360.0,5.0,1.25,13.0,10.0,0.769,3.0,1.0,0.0,1.0,25.0,2.0,2.0,0.0,0.0,4.0,0.0,1.0,0.0,4.8,0.27,-0.2,-0.06,16.0,36.0,44.4,106.0,26.0,18.9,28.5,29.0,55.2,42.5,39.0,1.0,2.6,5.0,1.25,14.2,19/20,alphonse areola,alphonse,areola,a,FRA,France
Kepa Arrizabalaga,es ESP,GK,Chelsea,24,1994,33.0,33.0,2970.0,47.0,1.42,99.0,55.0,0.545,18.0,4.0,11.0,8.0,24.2,2.0,2.0,0.0,0.0,33.0,2.0,8.0,2.0,35.4,0.35,-9.6,-0.29,143.0,334.0,42.8,887.0,145.0,28.2,31.8,199.0,42.2,39.1,236.0,17.0,7.2,21.0,0.64,16.0,19/20,kepa arrizabalaga,kepa,arrizabalaga,k,ESP,Spain
