player,nationality,position,squad,age,birth_year,games_gk,games_starts_gk,minutes_gk,goals_against_gk,goals_against_per90_gk,shots_on_target_against,saves,save_pct,wins_gk,draws_gk,losses_gk,clean_sheets,clean_sheets_pct,pens_att_gk,pens_allowed,pens_saved,pens_missed_gk,minutes_90s_gk,free_kick_goals_against_gk,corner_kick_goals_against_gk,own_goals_against_gk,psxg_gk,psnpxg_per_shot_on_target_against,psxg_net_gk,psxg_net_per90_gk,passes_completed_launched_gk,passes_launched_gk,passes_pct_launched_gk,passes_gk,passes_throws_gk,pct_passes_launched_gk,passes_length_avg_gk,goal_kicks,pct_goal_kicks_launched,goal_kick_length_avg,crosses_gk,crosses_stopped_gk,crosses_stopped_pct_gk,def_actions_outside_pen_area_gk,def_actions_outside_pen_area_per90_gk,avg_distance_def_actions_gk,Season,team_name,league_name,league_country,player_lower,firstname_lower,lastname_lower,firstinitial_lower,league_country_lower,nationality_code,nationality_cleaned,position_grouped
Emiliano Viviano,it ITA,GK,SPAL,32,1985,17.0,17.0,1525.0,25.0,1.48,82.0,60.0,0.7440000000000001,7.0,3.0,7.0,4.0,23.5,4.0,4.0,0.0,0.0,16.9,0.0,3.0,0.0,24.5,0.26,-0.5,-0.03,137.0,304.0,45.1,429.0,41.0,48.7,41.3,164.0,57.9,46.3,154.0,7.0,4.5,4.0,0.24,13.4,18/19,SPAL,Serie A,Italy,emiliano viviano,emiliano,viviano,e,italy,ITA,Italy,Goalkeeper
Michel Vorm,nl NED,GK,Tottenham,34,1983,2.0,2.0,180.0,4.0,2.0,13.0,9.0,0.6920000000000001,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,5.5,0.42,1.5,0.74,5.0,12.0,41.7,51.0,17.0,15.7,26.2,8.0,50.0,42.3,15.0,1.0,6.7,1.0,0.5,12.9,18/19,Tottenham,Premier League,England,michel vorm,michel,vorm,m,england,NED,Netherlands,Goalkeeper
Axel Werner,ar ARG,GK,Huesca,22,1996,6.0,6.0,540.0,16.0,2.67,35.0,21.0,0.5710000000000001,1.0,1.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,6.0,0.0,1.0,1.0,10.0,0.26,-5.0,-0.83,41.0,121.0,33.9,101.0,14.0,69.3,47.2,58.0,87.9,63.1,57.0,1.0,1.8,0.0,0.0,9.5,18/19,Huesca,La Liga,Spain,axel werner,axel,werner,a,spain,ARG,Argentina,Goalkeeper
Yoel,es ESP,GK,Valladolid,29,1988,3.0,3.0,270.0,6.0,2.0,11.0,6.0,0.545,0.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,4.9,0.36,-1.1,-0.37,28.0,76.0,36.8,79.0,7.0,74.7,52.6,18.0,94.4,69.8,24.0,1.0,4.2,3.0,1.0,14.1,18/19,Valladolid,La Liga,Spain,yoel,yoel,yoel,y,spain,ESP,Spain,Goalkeeper
Robin Zentner,de GER,GK,Mainz 05,23,1994,10.0,10.0,900.0,14.0,1.4,51.0,37.0,0.725,4.0,4.0,2.0,2.0,20.0,0.0,0.0,0.0,0.0,10.0,1.0,2.0,0.0,15.0,0.3,1.0,0.1,54.0,187.0,28.9,256.0,54.0,44.1,39.3,91.0,81.3,63.0,111.0,15.0,13.5,8.0,0.8,14.7,18/19,Mainz 05,Bundesliga,Germany,robin zentner,robin,zentner,r,germany,GER,Germany,Goalkeeper
Luca Zidane,fr FRA,GK,Real Madrid,20,1998,1.0,1.0,90.0,2.0,2.0,3.0,1.0,0.33299999999999996,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.7,0.58,-0.3,-0.27,4.0,9.0,44.4,29.0,3.0,17.2,29.0,11.0,36.4,37.3,8.0,1.0,12.5,2.0,2.0,21.8,18/19,Real Madrid,La Liga,Spain,luca zidane,luca,zidane,l,spain,FRA,France,Goalkeeper
Ron-Robert Zieler,de GER,GK,Stuttgart,29,1989,34.0,34.0,3060.0,70.0,2.06,178.0,114.0,0.618,7.0,7.0,20.0,6.0,17.6,3.0,2.0,0.0,1.0,34.0,2.0,6.0,5.0,59.1,0.33,-5.9,-0.17,246.0,746.0,33.0,908.0,124.0,58.6,45.2,300.0,71.3,57.6,310.0,13.0,4.2,34.0,1.0,16.0,18/19,Stuttgart,Bundesliga,Germany,ron-robert zieler,ron-robert,zieler,r,germany,GER,Germany,Goalkeeper
Antonio Adán,es ESP,GK,Atlético Madrid,32,1987,1.0,0.0,25.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.01,0.0,0.04,1.0,3.0,33.3,5.0,1.0,40.0,44.0,1.0,100.0,67.0,2.0,0.0,0.0,1.0,3.6,14.7,19/20,Atlético Madrid,La Liga,Spain,antonio adan,antonio,adan,a,spain,ESP,Spain,Goalkeeper
Adrián,es ESP,GK,Liverpool,32,1987,11.0,9.0,875.0,10.0,1.03,28.0,17.0,0.643,9.0,0.0,0.0,2.0,22.2,0.0,0.0,0.0,0.0,9.7,1.0,1.0,0.0,9.0,0.32,-1.0,-0.11,60.0,142.0,42.3,246.0,49.0,44.3,38.3,68.0,48.5,40.2,91.0,8.0,8.8,7.0,0.72,13.0,19/20,Liverpool,Premier League,England,adrian,adrian,adrian,a,england,ESP,Spain,Goalkeeper
Rúnar Alex Rúnarsson,is ISL,GK,Dijon,24,1995,11.0,9.0,900.0,17.0,1.7,46.0,29.0,0.63,1.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,3.0,1.0,13.0,0.28,-3.0,-0.3,61.0,145.0,42.1,246.0,54.0,37.8,35.9,81.0,64.2,49.2,90.0,8.0,8.9,5.0,0.5,14.1,19/20,Dijon,Ligue 1,France,runar alex runarsson,runar,runarsson,r,france,ISL,Iceland,Goalkeeper
Enrico Alfonso,it ITA,GK,Brescia,31,1988,4.0,4.0,279.0,4.0,1.29,11.0,7.0,0.636,1.0,0.0,3.0,1.0,25.0,0.0,0.0,0.0,0.0,3.1,0.0,0.0,0.0,2.0,0.18,-2.0,-0.66,11.0,32.0,34.4,51.0,8.0,45.1,37.0,24.0,37.5,32.8,38.0,2.0,5.3,4.0,1.29,16.3,19/20,,,,enrico alfonso,enrico,alfonso,e,,ITA,Italy,Goalkeeper
Alisson,br BRA,GK,Liverpool,26,1992,29.0,29.0,2543.0,23.0,0.81,79.0,58.0,0.722,23.0,3.0,3.0,13.0,44.8,1.0,1.0,0.0,0.0,28.3,0.0,1.0,1.0,22.6,0.28,0.6,0.02,138.0,255.0,54.1,755.0,132.0,24.9,31.7,170.0,39.4,38.8,197.0,16.0,8.1,37.0,1.31,17.5,19/20,Liverpool,Premier League,England,alisson,alisson,alisson,a,england,BRA,Brazil,Goalkeeper
Sergio Álvarez,es ESP,GK,Celta Vigo,32,1986,4.0,4.0,180.0,1.0,0.5,4.0,3.0,0.75,1.0,1.0,0.0,2.0,50.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.1,0.28,0.1,0.06,8.0,22.0,36.4,34.0,5.0,32.4,35.6,19.0,57.9,43.0,24.0,2.0,8.3,0.0,0.0,16.5,19/20,Celta Vigo,La Liga,Spain,sergio alvarez,sergio,alvarez,s,spain,ESP,Spain,Goalkeeper
Lorenzo Andrenacci,it ITA,GK,Brescia,24,1995,6.0,5.0,531.0,16.0,2.71,45.0,28.0,0.644,0.0,1.0,4.0,0.0,0.0,1.0,0.0,0.0,1.0,5.9,1.0,1.0,0.0,13.0,0.29,-3.0,-0.5,33.0,66.0,50.0,97.0,45.0,33.0,35.4,66.0,51.5,43.5,56.0,1.0,1.8,2.0,0.34,12.5,19/20,,,,lorenzo andrenacci,lorenzo,andrenacci,l,,ITA,Italy,Goalkeeper
Miguel Ángel Moyá,es ESP,GK,Real Sociedad,35,1984,13.0,13.0,1170.0,16.0,1.23,51.0,36.0,0.6859999999999999,5.0,4.0,4.0,3.0,23.1,1.0,0.0,0.0,1.0,13.0,0.0,1.0,1.0,13.1,0.26,-1.9,-0.15,100.0,188.0,53.2,358.0,58.0,32.7,32.9,100.0,71.0,48.6,102.0,13.0,12.7,12.0,0.92,15.9,19/20,Real Sociedad,La Liga,Spain,miguel angel moya,miguel,moya,m,spain,ESP,Spain,Goalkeeper
Alphonse Areola,fr FRA,GK,Paris S-G,26,1993,3.0,3.0,270.0,2.0,0.67,4.0,2.0,0.5,2.0,0.0,1.0,2.0,66.7,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.8,0.46,-0.2,-0.05,3.0,4.0,75.0,48.0,9.0,4.2,20.0,10.0,20.0,24.5,15.0,0.0,0.0,6.0,2.0,23.8,19/20,Paris S-G,Ligue 1,France,alphonse areola,alphonse,areola,a,france,FRA,France,Goalkeeper
Alphonse Areola,fr FRA,GK,Real Madrid,26,1993,4.0,4.0,360.0,5.0,1.25,13.0,10.0,0.769,3.0,1.0,0.0,1.0,25.0,2.0,2.0,0.0,0.0,4.0,0.0,1.0,0.0,4.8,0.27,-0.2,-0.06,16.0,36.0,44.4,106.0,26.0,18.9,28.5,29.0,55.2,42.5,39.0,1.0,2.6,5.0,1.25,14.2,19/20,Real Madrid,La Liga,Spain,alphonse areola,alphonse,areola,a,spain,FRA,France,Goalkeeper
Kepa Arrizabalaga,es ESP,GK,Chelsea,24,1994,33.0,33.0,2970.0,47.0,1.42,99.0,55.0,0.545,18.0,4.0,11.0,8.0,24.2,2.0,2.0,0.0,0.0,33.0,2.0,8.0,2.0,35.5,0.35,-9.5,-0.29,142.0,333.0,42.6,887.0,145.0,28.2,31.8,199.0,41.7,39.1,238.0,18.0,7.6,21.0,0.64,15.9,19/20,Chelsea,Premier League,England,kepa arrizabalaga,kepa,arrizabalaga,k,england,ESP,Spain,Goalkeeper
Sergio Asenjo,es ESP,GK,Villarreal,30,1989,34.0,34.0,3060.0,41.0,1.21,142.0,107.0,0.746,17.0,4.0,13.0,11.0,32.4,6.0,5.0,1.0,0.0,34.0,0.0,8.0,1.0,39.5,0.24,-0.5,-0.01,166.0,451.0,36.8,759.0,150.0,39.3,37.2,280.0,54.6,44.8,354.0,20.0,5.6,18.0,0.53,13.9,19/20,Villarreal,La Liga,Spain,sergio asenjo,sergio,asenjo,s,spain,ESP,Spain,Goalkeeper
Emil Audero,it ITA,GK,Sampdoria,22,1997,36.0,36.0,3240.0,60.0,1.67,160.0,110.0,0.669,12.0,5.0,19.0,9.0,25.0,8.0,7.0,0.0,1.0,36.0,0.0,11.0,4.0,52.8,0.29,-3.2,-0.09,203.0,558.0,36.4,748.0,130.0,50.1,41.5,289.0,63.3,46.8,399.0,32.0,8.0,19.0,0.53,14.2,19/20,Sampdoria,Serie A,Italy,emil audero,emil,audero,e,italy,ITA,Italy,Goalkeeper
Stefan Bajic,fr FRA,GK,Saint-Étienne,17,2001,1.0,1.0,90.0,1.0,1.0,2.0,1.0,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3,0.14,-0.7,-0.72,3.0,3.0,100.0,11.0,4.0,0.0,21.1,8.0,37.5,34.8,6.0,0.0,0.0,2.0,2.0,20.4,19/20,Saint-Étienne,Ligue 1,France,stefan bajic,stefan,bajic,s,france,FRA,France,Goalkeeper
Oliver Baumann,de GER,GK,Hoffenheim,29,1990,30.0,30.0,2700.0,49.0,1.63,143.0,101.0,0.6920000000000001,13.0,7.0,10.0,7.0,23.3,7.0,5.0,2.0,0.0,30.0,0.0,4.0,2.0,42.3,0.26,-4.7,-0.16,163.0,436.0,37.4,1038.0,181.0,32.0,32.7,265.0,39.2,36.7,308.0,16.0,5.2,33.0,1.1,15.3,19/20,Hoffenheim,Bundesliga,Germany,oliver baumann,oliver,baumann,o,germany,GER,Germany,Goalkeeper
Asmir Begović,ba BIH,GK,Milan,32,1987,2.0,1.0,129.0,3.0,2.09,6.0,4.0,0.667,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.4,0.0,0.0,0.0,3.1,0.39,0.1,0.06,4.0,11.0,36.4,24.0,5.0,33.3,32.8,12.0,25.0,32.3,8.0,0.0,0.0,0.0,0.0,15.5,19/20,Milan,Serie A,Italy,asmir begovic,asmir,begovic,a,italy,BIH,Bosnia and Herzegovina,Goalkeeper
Walter Benítez,ar ARG,GK,Nice,26,1993,26.0,26.0,2340.0,36.0,1.38,129.0,99.0,0.752,9.0,8.0,9.0,4.0,15.4,6.0,4.0,1.0,1.0,26.0,0.0,7.0,2.0,44.7,0.32,10.7,0.41,87.0,203.0,42.9,573.0,132.0,22.7,27.6,212.0,34.4,34.0,256.0,18.0,7.0,9.0,0.35,14.0,19/20,Nice,Ligue 1,France,walter benitez,walter,benitez,w,france,ARG,Argentina,Goalkeeper
Etrit Berisha,al ALB,GK,SPAL,30,1989,26.0,26.0,2340.0,41.0,1.58,142.0,106.0,0.754,5.0,3.0,18.0,3.0,11.5,6.0,6.0,0.0,0.0,26.0,1.0,2.0,2.0,44.3,0.28,2.3,0.09,196.0,440.0,44.5,650.0,136.0,46.0,37.4,234.0,60.3,45.9,275.0,21.0,7.6,14.0,0.54,13.6,19/20,SPAL,Serie A,Italy,etrit berisha,etrit,berisha,e,italy,ALB,Albania,Goalkeeper
Paul Bernardoni,fr FRA,GK,Nîmes,22,1997,25.0,25.0,2204.0,38.0,1.55,102.0,69.0,0.667,7.0,4.0,14.0,6.0,24.0,4.0,4.0,0.0,0.0,24.5,0.0,3.0,1.0,33.1,0.31,-3.9,-0.16,134.0,407.0,32.9,529.0,77.0,51.2,42.4,176.0,77.3,55.4,166.0,14.0,8.4,14.0,0.57,15.2,19/20,Nîmes,Ligue 1,France,paul bernardoni,paul,bernardoni,p,france,FRA,France,Goalkeeper
Dimitry Bertaud,fr FRA,GK,Montpellier,21,1998,3.0,3.0,196.0,3.0,1.38,6.0,3.0,0.5,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,0.0,1.0,0.0,1.6,0.26,-1.4,-0.66,15.0,23.0,65.2,49.0,19.0,32.7,31.5,18.0,38.9,39.4,13.0,1.0,7.7,2.0,0.92,14.3,19/20,Montpellier,Ligue 1,France,dimitry bertaud,dimitry,bertaud,d,france,FRA,France,Goalkeeper
Rubén Blanco,es ESP,GK,Celta Vigo,24,1995,33.0,33.0,2960.0,43.0,1.31,126.0,87.0,0.698,6.0,14.0,13.0,10.0,30.3,5.0,5.0,0.0,0.0,32.9,3.0,3.0,0.0,40.5,0.29,-2.5,-0.08,213.0,573.0,37.2,696.0,121.0,53.9,42.5,294.0,67.3,52.9,336.0,21.0,6.3,11.0,0.33,14.3,19/20,Celta Vigo,La Liga,Spain,ruben blanco,ruben,blanco,r,spain,ESP,Spain,Goalkeeper
Yassine Bounou,ma MAR,GK,Sevilla,28,1991,6.0,5.0,495.0,3.0,0.55,19.0,17.0,0.895,4.0,1.0,0.0,4.0,80.0,1.0,1.0,0.0,0.0,5.5,0.0,0.0,0.0,3.8,0.16,0.8,0.15,42.0,84.0,50.0,125.0,24.0,41.6,36.4,45.0,71.1,51.2,40.0,3.0,7.5,2.0,0.36,15.5,19/20,Sevilla,La Liga,Spain,yassine bounou,yassine,bounou,y,spain,MAR,Morocco,Goalkeeper
Federico Brancolini,it ITA,GK,Fiorentina,18,2001,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,2.0,0.0,0.0,27.5,1.0,100.0,67.0,0.0,0.0,0.0,0.0,0.0,21.0,19/20,Fiorentina,Serie A,Italy,federico brancolini,federico,brancolini,f,italy,ITA,Italy,Goalkeeper
Claudio Bravo,cl CHI,GK,Manchester City,36,1983,4.0,3.0,347.0,7.0,1.82,15.0,8.0,0.5329999999999999,2.0,0.0,1.0,1.0,33.3,0.0,0.0,0.0,0.0,3.9,0.0,0.0,0.0,4.2,0.28,-2.8,-0.72,19.0,47.0,40.4,104.0,13.0,27.9,31.5,28.0,64.3,48.2,35.0,3.0,8.6,1.0,0.26,12.4,19/20,Manchester City,Premier League,England,claudio bravo,claudio,bravo,c,england,CHI,Chile,Goalkeeper
Gianluigi Buffon,it ITA,GK,Juventus,41,1978,9.0,9.0,810.0,10.0,1.11,32.0,23.0,0.7190000000000001,7.0,1.0,1.0,1.0,11.1,2.0,1.0,0.0,1.0,9.0,0.0,2.0,0.0,7.6,0.21,-2.4,-0.26,22.0,38.0,57.9,157.0,40.0,17.8,27.4,55.0,18.2,22.9,76.0,1.0,1.3,7.0,0.78,16.4,19/20,Juventus,Serie A,Italy,gianluigi buffon,gianluigi,buffon,g,italy,ITA,Italy,Goalkeeper
Roman Bürki,ch SUI,GK,Dortmund,28,1990,31.0,31.0,2770.0,40.0,1.3,93.0,59.0,0.602,19.0,5.0,7.0,13.0,41.9,3.0,3.0,0.0,0.0,30.8,0.0,8.0,3.0,34.7,0.36,-2.3,-0.07,116.0,320.0,36.3,843.0,181.0,29.8,32.8,204.0,33.8,34.3,221.0,15.0,6.8,27.0,0.88,14.8,19/20,Dortmund,Bundesliga,Germany,roman burki,roman,burki,r,germany,SUI,Switzerland,Goalkeeper
Ludovic Butelle,fr FRA,GK,Angers,36,1983,26.0,26.0,2340.0,32.0,1.23,78.0,50.0,0.628,10.0,6.0,10.0,11.0,42.3,3.0,3.0,0.0,0.0,26.0,1.0,1.0,1.0,24.4,0.28,-6.6,-0.25,149.0,384.0,38.8,493.0,114.0,47.5,39.8,203.0,73.9,52.5,185.0,15.0,8.1,21.0,0.81,14.9,19/20,Angers,Ligue 1,France,ludovic butelle,ludovic,butelle,l,france,FRA,France,Goalkeeper
Marcin Bułka,pl POL,GK,Paris S-G,19,1999,1.0,1.0,90.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2,0.1,0.2,0.21,0.0,0.0,0.0,12.0,3.0,0.0,18.6,6.0,0.0,23.5,5.0,0.0,0.0,0.0,0.0,6.5,19/20,Paris S-G,Ligue 1,France,marcin buka,marcin,buka,m,france,POL,Poland,Goalkeeper
Willy Caballero,ar ARG,GK,Chelsea,37,1981,5.0,5.0,450.0,7.0,1.4,16.0,10.0,0.563,2.0,2.0,1.0,1.0,20.0,0.0,0.0,0.0,0.0,5.0,0.0,3.0,1.0,5.9,0.37,-0.1,-0.02,32.0,74.0,43.2,137.0,15.0,45.3,35.8,28.0,42.9,36.8,20.0,0.0,0.0,2.0,0.4,12.4,19/20,Chelsea,Premier League,England,willy caballero,willy,caballero,w,england,ARG,Argentina,Goalkeeper
Matis Carvalho,pt POR,GK,Montpellier,20,1999,1.0,0.0,71.0,4.0,5.07,8.0,5.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,1.0,1.0,1.9,0.24,-1.1,-1.43,2.0,16.0,12.5,18.0,3.0,55.6,49.2,9.0,66.7,50.0,3.0,1.0,33.3,0.0,0.0,15.5,19/20,Montpellier,Ligue 1,France,matis carvalho,matis,carvalho,m,france,POR,Portugal,Goalkeeper
Koen Casteels,be BEL,GK,Wolfsburg,27,1992,26.0,26.0,2340.0,38.0,1.46,104.0,69.0,0.6729999999999999,11.0,6.0,9.0,5.0,19.2,4.0,4.0,0.0,0.0,26.0,1.0,5.0,0.0,36.8,0.33,-1.2,-0.05,227.0,485.0,46.8,807.0,123.0,47.0,40.1,178.0,59.6,48.7,217.0,18.0,8.3,24.0,0.92,15.5,19/20,Wolfsburg,Bundesliga,Germany,koen casteels,koen,casteels,k,germany,BEL,Belgium,Goalkeeper
Churripi,es ESP,GK,Valladolid,25,1994,3.0,3.0,244.0,3.0,1.11,13.0,10.0,0.769,1.0,0.0,2.0,1.0,33.3,0.0,0.0,0.0,0.0,2.7,0.0,2.0,0.0,3.1,0.24,0.1,0.04,18.0,80.0,22.5,75.0,11.0,78.7,55.3,24.0,87.5,67.6,25.0,3.0,12.0,3.0,1.11,13.7,19/20,Valladolid,La Liga,Spain,churripi,churripi,churripi,c,spain,ESP,Spain,Goalkeeper
Jasper Cillessen,nl NED,GK,Valencia,30,1989,24.0,24.0,2096.0,30.0,1.29,102.0,78.0,0.765,10.0,7.0,7.0,5.0,20.8,8.0,6.0,2.0,0.0,23.3,2.0,3.0,1.0,28.0,0.22,-1.0,-0.04,140.0,413.0,33.9,553.0,133.0,48.5,39.4,206.0,70.4,56.3,264.0,21.0,8.0,12.0,0.52,12.8,19/20,Valencia,La Liga,Spain,jasper cillessen,jasper,cillessen,j,spain,NED,Netherlands,Goalkeeper
Yannis Clementia,fr FRA,GK,Nice,22,1997,2.0,2.0,180.0,2.0,1.0,6.0,5.0,0.833,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.9,0.19,-0.1,-0.03,3.0,23.0,13.0,47.0,16.0,29.8,33.3,14.0,64.3,50.6,28.0,0.0,0.0,0.0,0.0,10.8,19/20,Nice,Ligue 1,France,yannis clementia,yannis,clementia,y,france,FRA,France,Goalkeeper
Simone Colombi,it ITA,GK,Parma,28,1991,4.0,4.0,360.0,4.0,1.0,17.0,14.0,0.8240000000000001,1.0,1.0,2.0,1.0,25.0,2.0,1.0,0.0,1.0,4.0,0.0,0.0,0.0,4.0,0.19,0.0,0.0,11.0,24.0,45.8,59.0,16.0,27.1,31.1,39.0,20.5,24.6,33.0,2.0,6.1,0.0,0.0,11.7,19/20,Parma,Serie A,Italy,simone colombi,simone,colombi,s,italy,ITA,Italy,Goalkeeper
Andrea Consigli,it ITA,GK,Sassuolo,32,1987,31.0,31.0,2790.0,55.0,1.77,140.0,93.0,0.657,12.0,5.0,14.0,5.0,16.1,8.0,7.0,1.0,0.0,31.0,1.0,9.0,3.0,49.8,0.32,-2.2,-0.07,141.0,339.0,41.6,789.0,136.0,34.2,32.7,206.0,33.5,29.9,291.0,25.0,8.6,20.0,0.65,14.9,19/20,Sassuolo,Serie A,Italy,andrea consigli,andrea,consigli,a,italy,ITA,Italy,Goalkeeper
Angelo da Costa Júnior,br BRA,GK,Bologna,35,1983,1.0,1.0,90.0,1.0,1.0,2.0,1.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9,0.46,-0.1,-0.08,2.0,4.0,50.0,24.0,4.0,16.7,28.1,4.0,0.0,17.5,3.0,0.0,0.0,1.0,1.0,18.8,19/20,Bologna,Serie A,Italy,angelo da costa junior,angelo,junior,a,italy,BRA,Brazil,Goalkeeper
Benoît Costil,fr FRA,GK,Bordeaux,32,1987,28.0,28.0,2520.0,34.0,1.21,106.0,75.0,0.698,9.0,10.0,9.0,6.0,21.4,3.0,2.0,1.0,0.0,28.0,0.0,4.0,1.0,31.0,0.27,-2.0,-0.07,207.0,446.0,46.4,642.0,96.0,48.0,38.8,244.0,56.6,43.7,273.0,16.0,5.9,16.0,0.57,14.5,19/20,Bordeaux,Ligue 1,France,benoit costil,benoit,costil,b,france,FRA,France,Goalkeeper
Thibaut Courtois,be BEL,GK,Real Madrid,27,1992,34.0,34.0,3060.0,20.0,0.59,95.0,74.0,0.789,23.0,8.0,3.0,18.0,52.9,0.0,0.0,0.0,0.0,34.0,0.0,4.0,0.0,22.8,0.24,2.8,0.08,90.0,311.0,28.9,865.0,200.0,26.1,33.0,219.0,38.8,40.3,285.0,25.0,8.8,22.0,0.65,14.8,19/20,Real Madrid,La Liga,Spain,thibaut courtois,thibaut,courtois,t,spain,BEL,Belgium,Goalkeeper
Alessio Cragno,it ITA,GK,Cagliari,25,1994,16.0,16.0,1440.0,21.0,1.31,86.0,66.0,0.767,2.0,6.0,8.0,3.0,18.8,2.0,1.0,1.0,0.0,16.0,0.0,2.0,1.0,23.6,0.26,3.6,0.23,87.0,251.0,34.7,318.0,67.0,51.6,40.7,157.0,55.4,43.0,176.0,14.0,8.0,5.0,0.31,11.5,19/20,Cagliari,Serie A,Italy,alessio cragno,alessio,cragno,a,italy,ITA,Italy,Goalkeeper
Iván Cuéllar,es ESP,GK,Leganés,35,1984,27.0,27.0,2429.0,33.0,1.22,99.0,67.0,0.677,7.0,9.0,11.0,8.0,29.6,2.0,1.0,1.0,0.0,27.0,1.0,8.0,0.0,29.6,0.29,-3.4,-0.13,230.0,623.0,36.9,605.0,108.0,69.9,52.1,218.0,91.7,67.8,272.0,32.0,11.8,34.0,1.26,16.0,19/20,Leganés,La Liga,Spain,ivan cuellar,ivan,cuellar,i,spain,ESP,Spain,Goalkeeper
Paul Delecroix,fr FRA,GK,Metz,30,1988,2.0,1.0,135.0,4.0,2.67,5.0,2.0,0.4,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.5,0.0,0.0,0.0,2.6,0.32,-1.4,-0.95,15.0,32.0,46.9,33.0,4.0,72.7,49.7,11.0,72.7,57.4,6.0,1.0,16.7,2.0,1.33,16.3,19/20,Metz,Ligue 1,France,paul delecroix,paul,delecroix,p,france,FRA,France,Goalkeeper
Lucas Dias,fr FRA,GK,Nîmes,20,1999,4.0,3.0,316.0,6.0,1.71,18.0,12.0,0.667,0.0,2.0,1.0,1.0,33.3,0.0,0.0,0.0,0.0,3.5,1.0,2.0,0.0,6.5,0.39,0.5,0.15,27.0,72.0,37.5,58.0,5.0,62.1,45.9,39.0,92.3,62.9,37.0,2.0,5.4,3.0,0.85,14.0,19/20,Nîmes,Ligue 1,France,lucas dias,lucas,dias,l,france,FRA,France,Goalkeeper
Marko Dmitrović,rs SRB,GK,Eibar,27,1992,35.0,35.0,3150.0,51.0,1.46,113.0,67.0,0.584,9.0,9.0,17.0,10.0,28.6,5.0,4.0,1.0,0.0,35.0,2.0,3.0,1.0,44.1,0.36,-5.9,-0.17,273.0,842.0,32.4,817.0,91.0,74.1,58.3,245.0,96.7,76.4,274.0,20.0,7.3,48.0,1.37,17.4,19/20,Eibar,La Liga,Spain,marko dmitrovic,marko,dmitrovic,m,spain,SRB,Serbia,Goalkeeper
Jaume Doménech,es ESP,GK,Valencia,28,1990,15.0,14.0,1324.0,23.0,1.56,80.0,58.0,0.725,4.0,4.0,6.0,3.0,21.4,1.0,1.0,0.0,0.0,14.7,1.0,4.0,0.0,22.7,0.28,-0.3,-0.02,106.0,255.0,41.6,325.0,61.0,48.3,38.8,132.0,74.2,53.9,178.0,7.0,3.9,6.0,0.41,12.8,19/20,Valencia,La Liga,Spain,jaume domenech,jaume,domenech,j,spain,ESP,Spain,Goalkeeper
Gianluigi Donnarumma,it ITA,GK,Milan,20,1999,36.0,36.0,3201.0,42.0,1.18,134.0,97.0,0.716,18.0,9.0,9.0,12.0,33.3,8.0,4.0,4.0,0.0,35.6,0.0,7.0,1.0,45.7,0.29,4.7,0.13,222.0,469.0,47.3,882.0,172.0,38.4,34.4,260.0,50.0,39.1,306.0,29.0,9.5,20.0,0.56,14.7,19/20,Milan,Serie A,Italy,gianluigi donnarumma,gianluigi,donnarumma,g,italy,ITA,Italy,Goalkeeper
Bartłomiej Drągowski,pl POL,GK,Fiorentina,21,1997,31.0,31.0,2790.0,43.0,1.39,131.0,94.0,0.718,7.0,12.0,12.0,8.0,25.8,8.0,6.0,2.0,0.0,31.0,2.0,6.0,0.0,43.0,0.29,0.0,0.0,138.0,380.0,36.3,682.0,195.0,39.9,37.0,222.0,48.6,42.1,285.0,19.0,6.7,14.0,0.45,12.6,19/20,Fiorentina,Serie A,Italy,bartomiej dragowski,bartomiej,dragowski,b,italy,POL,Poland,Goalkeeper
