player,nationality,position,squad,age,birth_year,games_gk,games_starts_gk,minutes_gk,goals_against_gk,goals_against_per90_gk,shots_on_target_against,saves,save_pct,wins_gk,draws_gk,losses_gk,clean_sheets,clean_sheets_pct,pens_att_gk,pens_allowed,pens_saved,pens_missed_gk,minutes_90s_gk,free_kick_goals_against_gk,corner_kick_goals_against_gk,own_goals_against_gk,psxg_gk,psnpxg_per_shot_on_target_against,psxg_net_gk,psxg_net_per90_gk,passes_completed_launched_gk,passes_launched_gk,passes_pct_launched_gk,passes_gk,passes_throws_gk,pct_passes_launched_gk,passes_length_avg_gk,goal_kicks,pct_goal_kicks_launched,goal_kick_length_avg,crosses_gk,crosses_stopped_gk,crosses_stopped_pct_gk,def_actions_outside_pen_area_gk,def_actions_outside_pen_area_per90_gk,avg_distance_def_actions_gk,Season,team_name,league_name,league_country,player_lower,firstname_lower,lastname_lower,firstinitial_lower,league_country_lower,nationality_code,nationality_cleaned,position_grouped
Albano Bizzarri,ar ARG,GK,Udinese,39,1977,32.0,32.0,2880.0,52.0,1.62,137.0,91.0,0.635,11.0,4.0,17.0,8.0,25.0,5.0,2.0,2.0,1.0,32.0,1.0,9.0,4.0,41.9,0.29,-6.1,-0.19,262.0,612.0,42.8,774.0,135.0,52.5,41.1,271.0,76.0,53.2,306.0,26.0,8.5,13.0,0.41,13.0,17/18,Udinese,Serie A,Italy,albano bizzarri,albano,bizzarri,a,italy,ARG,Argentina,Goalkeeper
Rubén Blanco,es ESP,GK,Celta Vigo,22,1995,22.0,22.0,1941.0,31.0,1.44,90.0,62.0,0.6890000000000001,10.0,4.0,8.0,4.0,18.2,4.0,3.0,0.0,1.0,21.6,0.0,4.0,0.0,25.5,0.26,-5.5,-0.26,112.0,357.0,31.4,602.0,57.0,48.0,41.2,82.0,82.9,62.4,231.0,28.0,12.1,7.0,0.32,14.9,17/18,Celta Vigo,La Liga,Spain,ruben blanco,ruben,blanco,r,spain,ESP,Spain,Goalkeeper
Landry Bonnefoi,fr FRA,GK,Strasbourg,33,1983,4.0,3.0,272.0,6.0,1.99,17.0,11.0,0.647,2.0,0.0,1.0,1.0,33.3,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,5.5,0.33,-0.5,-0.16,17.0,42.0,40.5,39.0,8.0,59.0,43.1,26.0,73.1,50.9,33.0,0.0,0.0,0.0,0.0,10.5,17/18,Strasbourg,Ligue 1,France,landry bonnefoi,landry,bonnefoi,l,france,FRA,France,Goalkeeper
Jean-Christophe Bouet,fr FRA,GK,Amiens,34,1983,1.0,1.0,90.0,1.0,1.0,6.0,5.0,0.833,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.1,0.19,0.1,0.14,2.0,15.0,13.3,12.0,2.0,58.3,48.8,8.0,100.0,62.6,11.0,3.0,27.3,0.0,0.0,18.0,17/18,Amiens,Ligue 1,France,jean-christophe bouet,jean-christophe,bouet,j,france,FRA,France,Goalkeeper
Yassine Bounou,ma MAR,GK,Girona,26,1991,30.0,30.0,2655.0,46.0,1.56,136.0,95.0,0.691,13.0,6.0,11.0,9.0,30.0,5.0,4.0,0.0,1.0,29.5,2.0,1.0,1.0,40.8,0.28,-4.2,-0.14,177.0,485.0,36.5,507.0,62.0,67.9,48.9,153.0,92.2,66.3,259.0,20.0,7.7,10.0,0.34,13.0,17/18,Girona,La Liga,Spain,yassine bounou,yassine,bounou,y,spain,MAR,Morocco,Goalkeeper
Claudio Bravo,cl CHI,GK,Manchester City,34,1983,3.0,2.0,226.0,1.0,0.4,5.0,4.0,0.8,2.0,0.0,0.0,1.0,50.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,1.4,0.29,0.4,0.17,2.0,7.0,28.6,49.0,8.0,8.2,25.8,4.0,75.0,52.8,14.0,0.0,0.0,3.0,1.2,18.9,17/18,Manchester City,Premier League,England,claudio bravo,claudio,bravo,c,england,CHI,Chile,Goalkeeper
Alberto Brignoli,it ITA,GK,Benevento,25,1991,13.0,11.0,1126.0,31.0,2.48,71.0,42.0,0.5920000000000001,1.0,2.0,10.0,2.0,18.2,4.0,2.0,0.0,2.0,12.5,0.0,6.0,0.0,29.1,0.4,-1.9,-0.16,92.0,266.0,34.6,374.0,61.0,51.3,43.2,103.0,71.8,56.1,144.0,25.0,17.4,16.0,1.28,17.0,17/18,Benevento,Serie A,Italy,alberto brignoli,alberto,brignoli,a,italy,ITA,Italy,Goalkeeper
Gianluigi Buffon,it ITA,GK,Juventus,39,1978,21.0,21.0,1862.0,14.0,0.68,58.0,48.0,0.81,17.0,2.0,2.0,11.0,52.4,4.0,3.0,1.0,0.0,20.7,0.0,2.0,2.0,15.8,0.22,3.8,0.18,87.0,187.0,46.5,431.0,71.0,32.5,34.2,101.0,46.5,40.2,167.0,12.0,7.2,14.0,0.68,14.5,17/18,Juventus,Serie A,Italy,gianluigi buffon,gianluigi,buffon,g,italy,ITA,Italy,Goalkeeper
Roman Bürki,ch SUI,GK,Dortmund,26,1990,33.0,33.0,2969.0,43.0,1.3,140.0,100.0,0.7070000000000001,15.0,9.0,9.0,12.0,36.4,2.0,2.0,0.0,0.0,33.0,1.0,3.0,0.0,47.9,0.33,4.9,0.15,184.0,517.0,35.6,1027.0,169.0,35.7,36.1,219.0,68.5,55.2,268.0,27.0,10.1,38.0,1.15,17.5,17/18,Dortmund,Bundesliga,Germany,roman burki,roman,burki,r,germany,SUI,Switzerland,Goalkeeper
Ludovic Butelle,fr FRA,GK,Angers,34,1983,19.0,19.0,1652.0,22.0,1.2,70.0,52.0,0.7290000000000001,6.0,5.0,7.0,4.0,21.1,3.0,3.0,0.0,0.0,18.4,1.0,1.0,1.0,20.4,0.26,-0.6,-0.03,63.0,228.0,27.6,303.0,63.0,48.8,40.4,89.0,89.9,60.6,175.0,21.0,12.0,23.0,1.25,17.5,17/18,Angers,Ligue 1,France,ludovic butelle,ludovic,butelle,l,france,FRA,France,Goalkeeper
Jack Butland,eng ENG,GK,Stoke City,24,1993,35.0,35.0,3150.0,61.0,1.74,198.0,144.0,0.7170000000000001,7.0,11.0,17.0,6.0,17.1,5.0,5.0,0.0,0.0,35.0,0.0,10.0,2.0,57.4,0.28,-1.6,-0.05,310.0,795.0,39.0,794.0,72.0,74.4,54.2,219.0,93.2,69.3,433.0,34.0,7.9,25.0,0.71,14.9,17/18,Stoke City,Premier League,England,jack butland,jack,butland,j,england,ENG,England,Goalkeeper
Willy Caballero,ar ARG,GK,Chelsea,35,1981,3.0,3.0,270.0,4.0,1.33,11.0,7.0,0.636,1.0,1.0,1.0,1.0,33.3,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.3,0.33,-0.7,-0.24,11.0,32.0,34.4,74.0,9.0,33.8,32.2,9.0,77.8,55.2,23.0,1.0,4.3,2.0,0.67,18.5,17/18,Chelsea,Premier League,England,willy caballero,willy,caballero,w,england,ARG,Argentina,Goalkeeper
Yoan Cardinale,fr FRA,GK,Nice,23,1994,10.0,10.0,900.0,16.0,1.6,43.0,28.0,0.628,3.0,1.0,6.0,3.0,30.0,0.0,0.0,0.0,0.0,10.0,1.0,1.0,1.0,13.3,0.31,-1.7,-0.17,33.0,71.0,46.5,158.0,26.0,22.8,27.0,42.0,83.3,57.6,95.0,3.0,3.2,3.0,0.3,14.3,17/18,Nice,Ligue 1,France,yoan cardinale,yoan,cardinale,y,france,FRA,France,Goalkeeper
Kiko Casilla,es ESP,GK,Real Madrid,30,1986,10.0,10.0,900.0,11.0,1.1,32.0,22.0,0.6559999999999999,6.0,2.0,2.0,3.0,30.0,0.0,0.0,0.0,0.0,10.0,0.0,1.0,1.0,10.5,0.37,0.5,0.05,27.0,69.0,39.1,159.0,33.0,30.8,33.8,34.0,58.8,45.6,80.0,6.0,7.5,5.0,0.5,14.9,17/18,Real Madrid,La Liga,Spain,kiko casilla,kiko,casilla,k,spain,ESP,Spain,Goalkeeper
Koen Casteels,be BEL,GK,Wolfsburg,25,1992,34.0,34.0,3060.0,48.0,1.41,143.0,102.0,0.706,6.0,15.0,13.0,8.0,23.5,10.0,6.0,3.0,1.0,34.0,1.0,5.0,2.0,51.2,0.31,5.2,0.15,269.0,704.0,38.2,1026.0,198.0,49.9,41.1,270.0,71.1,55.1,298.0,35.0,11.7,22.0,0.65,13.6,17/18,Wolfsburg,Bundesliga,Germany,koen casteels,koen,casteels,k,germany,BEL,Belgium,Goalkeeper
Petr Čech,cz CZE,GK,Arsenal,35,1982,34.0,34.0,3039.0,48.0,1.42,129.0,86.0,0.667,16.0,6.0,12.0,11.0,32.4,6.0,5.0,1.0,0.0,33.8,0.0,8.0,0.0,48.0,0.34,0.0,0.0,135.0,359.0,37.6,699.0,164.0,39.5,37.9,109.0,76.1,58.3,318.0,39.0,12.3,28.0,0.83,15.9,17/18,Arsenal,Premier League,England,petr cech,petr,cech,p,england,CZE,Czech Republic,Goalkeeper
Nereo Champagne,ar ARG,GK,Leganés,32,1985,2.0,2.0,180.0,6.0,3.0,9.0,4.0,0.444,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,4.1,0.36,-1.9,-0.97,19.0,43.0,44.2,37.0,4.0,75.7,48.1,15.0,100.0,63.8,15.0,0.0,0.0,1.0,0.5,14.9,17/18,Leganés,La Liga,Spain,nereo champagne,nereo,champagne,n,spain,ARG,Argentina,Goalkeeper
Leandro Chichizola,ar ARG,GK,Las Palmas,27,1990,27.0,27.0,2430.0,47.0,1.74,152.0,109.0,0.711,4.0,5.0,18.0,4.0,14.8,3.0,3.0,0.0,0.0,27.0,1.0,5.0,1.0,46.2,0.29,0.2,0.01,154.0,416.0,37.0,798.0,128.0,41.5,37.0,131.0,64.9,53.0,225.0,31.0,13.8,35.0,1.3,16.1,17/18,Las Palmas,La Liga,Spain,leandro chichizola,leandro,chichizola,l,spain,ARG,Argentina,Goalkeeper
Jasper Cillessen,nl NED,GK,Barcelona,28,1989,1.0,1.0,90.0,1.0,1.0,7.0,6.0,0.857,1.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.3,0.18,0.3,0.26,2.0,9.0,22.2,18.0,4.0,33.3,30.1,9.0,33.3,40.8,7.0,1.0,14.3,0.0,0.0,15.0,17/18,Barcelona,La Liga,Spain,jasper cillessen,jasper,cillessen,j,spain,NED,Netherlands,Goalkeeper
Andrea Consigli,it ITA,GK,Sassuolo,30,1987,37.0,37.0,3316.0,58.0,1.57,172.0,117.0,0.674,11.0,10.0,16.0,10.0,27.0,3.0,2.0,1.0,0.0,36.8,3.0,10.0,1.0,52.2,0.29,-4.8,-0.13,283.0,620.0,45.6,782.0,160.0,53.2,43.2,262.0,77.9,52.5,411.0,36.0,8.8,19.0,0.52,13.3,17/18,Sassuolo,Serie A,Italy,andrea consigli,andrea,consigli,a,italy,ITA,Italy,Goalkeeper
Alex Cordaz,it ITA,GK,Crotone,34,1983,38.0,38.0,3420.0,66.0,1.74,199.0,138.0,0.698,9.0,8.0,21.0,5.0,13.2,8.0,6.0,1.0,1.0,38.0,3.0,11.0,0.0,64.4,0.3,-1.6,-0.04,304.0,884.0,34.4,781.0,95.0,72.3,51.6,338.0,94.4,62.3,428.0,21.0,4.9,26.0,0.68,14.4,17/18,Crotone,Serie A,Italy,alex cordaz,alex,cordaz,a,italy,ITA,Italy,Goalkeeper
Angelo da Costa Júnior,br BRA,GK,Bologna,33,1983,4.0,4.0,360.0,5.0,1.25,16.0,12.0,0.75,1.0,0.0,3.0,1.0,25.0,1.0,1.0,0.0,0.0,4.0,0.0,1.0,0.0,4.7,0.24,-0.3,-0.08,30.0,78.0,38.5,121.0,25.0,38.8,36.8,40.0,77.5,56.6,37.0,3.0,8.1,5.0,1.25,15.9,17/18,Bologna,Serie A,Italy,angelo da costa junior,angelo,junior,a,italy,BRA,Brazil,Goalkeeper
Benoît Costil,fr FRA,GK,Bordeaux,30,1987,36.0,36.0,3240.0,45.0,1.25,119.0,79.0,0.655,16.0,7.0,13.0,10.0,27.8,9.0,4.0,4.0,1.0,36.0,4.0,6.0,1.0,35.8,0.25,-8.2,-0.23,171.0,527.0,32.4,757.0,97.0,48.5,42.6,178.0,89.9,65.5,341.0,28.0,8.2,20.0,0.56,14.3,17/18,Bordeaux,Ligue 1,France,benoit costil,benoit,costil,b,france,FRA,France,Goalkeeper
Thibaut Courtois,be BEL,GK,Chelsea,25,1992,35.0,35.0,3150.0,34.0,0.97,103.0,73.0,0.6890000000000001,20.0,6.0,9.0,15.0,42.9,2.0,2.0,0.0,0.0,35.0,0.0,1.0,2.0,31.2,0.3,-0.8,-0.02,138.0,388.0,35.6,845.0,158.0,34.2,36.3,152.0,65.1,56.8,318.0,39.0,12.3,18.0,0.51,15.1,17/18,Chelsea,Premier League,England,thibaut courtois,thibaut,courtois,t,england,BEL,Belgium,Goalkeeper
Alessio Cragno,it ITA,GK,Cagliari,23,1994,29.0,29.0,2536.0,47.0,1.67,121.0,80.0,0.6609999999999999,7.0,4.0,17.0,7.0,24.1,10.0,6.0,2.0,2.0,28.2,4.0,1.0,1.0,43.3,0.31,-2.7,-0.1,213.0,476.0,44.7,526.0,123.0,51.1,41.1,237.0,87.3,60.2,285.0,24.0,8.4,13.0,0.46,13.5,17/18,Cagliari,Serie A,Italy,alessio cragno,alessio,cragno,a,italy,ITA,Italy,Goalkeeper
Luca Crosta,it ITA,GK,Cagliari,19,1998,1.0,1.0,90.0,3.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.1,0.66,-0.9,-0.85,2.0,11.0,18.2,14.0,4.0,28.6,36.4,10.0,70.0,49.6,14.0,2.0,14.3,0.0,0.0,13.0,17/18,Cagliari,Serie A,Italy,luca crosta,luca,crosta,l,italy,ITA,Italy,Goalkeeper
Iván Cuéllar,es ESP,GK,Leganés,33,1984,35.0,35.0,3150.0,43.0,1.23,143.0,105.0,0.7340000000000001,11.0,8.0,18.0,14.0,40.0,6.0,5.0,1.0,0.0,35.0,3.0,5.0,0.0,40.2,0.26,-2.8,-0.08,270.0,779.0,34.7,729.0,64.0,80.1,55.4,198.0,98.5,69.8,309.0,30.0,9.7,28.0,0.8,15.6,17/18,Leganés,La Liga,Spain,ivan cuellar,ivan,cuellar,i,spain,ESP,Spain,Goalkeeper
Karl Darlow,eng ENG,GK,Newcastle Utd,26,1990,10.0,10.0,900.0,15.0,1.5,43.0,32.0,0.721,1.0,5.0,4.0,2.0,20.0,3.0,3.0,0.0,0.0,10.0,0.0,0.0,2.0,15.8,0.31,2.8,0.28,65.0,197.0,33.0,215.0,26.0,64.2,48.3,66.0,89.4,63.9,107.0,13.0,12.1,6.0,0.6,14.4,17/18,Newcastle Utd,Premier League,England,karl darlow,karl,darlow,k,england,ENG,England,Goalkeeper
Abdoulaye Diallo,sn SEN,GK,Rennes,25,1992,3.0,3.0,270.0,5.0,1.67,16.0,12.0,0.75,0.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,6.9,0.37,1.9,0.64,9.0,32.0,28.1,53.0,10.0,37.7,36.2,12.0,100.0,64.2,19.0,3.0,15.8,2.0,0.67,18.9,17/18,Rennes,Ligue 1,France,abdoulaye diallo,abdoulaye,diallo,a,france,SEN,Senegal,Goalkeeper
Thomas Didillon,fr FRA,GK,Metz,21,1995,9.0,9.0,810.0,14.0,1.56,36.0,26.0,0.6940000000000001,1.0,1.0,7.0,2.0,22.2,3.0,3.0,0.0,0.0,9.0,0.0,0.0,1.0,12.7,0.28,-0.3,-0.03,50.0,119.0,42.0,156.0,37.0,48.7,40.7,46.0,93.5,60.9,126.0,13.0,10.3,3.0,0.33,13.6,17/18,Metz,Ligue 1,France,thomas didillon,thomas,didillon,t,france,FRA,France,Goalkeeper
