player,nationality,position,squad,age,birth_year,games_gk,games_starts_gk,minutes_gk,goals_against_gk,goals_against_per90_gk,shots_on_target_against,saves,save_pct,wins_gk,draws_gk,losses_gk,clean_sheets,clean_sheets_pct,pens_att_gk,pens_allowed,pens_saved,pens_missed_gk,minutes_90s_gk,free_kick_goals_against_gk,corner_kick_goals_against_gk,own_goals_against_gk,psxg_gk,psnpxg_per_shot_on_target_against,psxg_net_gk,psxg_net_per90_gk,passes_completed_launched_gk,passes_launched_gk,passes_pct_launched_gk,passes_gk,passes_throws_gk,pct_passes_launched_gk,passes_length_avg_gk,goal_kicks,pct_goal_kicks_launched,goal_kick_length_avg,crosses_gk,crosses_stopped_gk,crosses_stopped_pct_gk,def_actions_outside_pen_area_gk,def_actions_outside_pen_area_per90_gk,avg_distance_def_actions_gk
Emiliano Martínez,ar ARG,GK,Aston Villa,28-095,1992,9.0,9.0,810.0,13.0,1.44,35.0,21.0,0.629,5.0,0.0,4.0,4.0,44.4,1.0,0.0,1.0,0.0,9.0,2.0,1.0,0.0,13.4,0.36,0.4,0.04,71.0,186.0,38.2,254.0,33.0,54.7,44.4,62.0,75.8,57.5,94.0,7.0,7.4,1.0,0.11,13.2
Jordi Masip,es ESP,GK,Valladolid,31-338,1989,6.0,6.0,540.0,8.0,1.33,20.0,14.0,0.7,2.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,6.0,1.0,2.0,0.0,7.4,0.27,-0.6,-0.09,53.0,144.0,36.8,132.0,17.0,68.2,50.6,60.0,90.0,65.0,74.0,4.0,5.4,3.0,0.5,12.9
Alex McCarthy,eng ENG,GK,Southampton,31-003,1989,10.0,10.0,900.0,16.0,1.6,47.0,31.0,0.681,5.0,2.0,3.0,4.0,40.0,1.0,1.0,0.0,0.0,10.0,0.0,2.0,0.0,15.0,0.3,-1.0,-0.1,49.0,180.0,27.2,319.0,39.0,44.8,36.7,51.0,72.5,52.7,90.0,9.0,10.0,8.0,0.8,16.4
Edouard Mendy,sn SEN,GK,Chelsea,28-280,1992,7.0,7.0,630.0,2.0,0.29,12.0,10.0,0.833,5.0,2.0,0.0,5.0,71.4,0.0,0.0,0.0,0.0,7.0,0.0,1.0,0.0,2.5,0.21,0.5,0.07,32.0,72.0,44.4,182.0,20.0,29.7,29.4,36.0,50.0,38.6,52.0,4.0,7.7,6.0,0.86,17.6
Edouard Mendy,sn SEN,GK,Rennes,28-280,1992,1.0,1.0,90.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.6,0.56,-0.4,-0.44,7.0,12.0,58.3,23.0,2.0,43.5,37.9,6.0,33.3,35.2,6.0,1.0,16.7,0.0,0.0,10.0
Alex Meret,it ITA,GK,Napoli,23-259,1997,4.0,4.0,360.0,4.0,1.0,11.0,7.0,0.636,3.0,0.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,3.5,0.32,-0.5,-0.11,4.0,9.0,44.4,111.0,19.0,7.2,23.4,19.0,5.3,19.6,20.0,2.0,10.0,1.0,0.25,11.3
Illan Meslier,fr FRA,GK,Leeds United,20-279,2000,11.0,11.0,990.0,20.0,1.82,53.0,37.0,0.698,4.0,2.0,5.0,4.0,36.4,4.0,4.0,0.0,0.0,11.0,1.0,3.0,1.0,21.1,0.33,2.1,0.19,62.0,111.0,55.9,317.0,79.0,26.5,29.0,80.0,33.8,30.8,56.0,2.0,3.6,7.0,0.64,13.8
Antonio Mirante,it ITA,GK,Roma,37-151,1983,8.0,8.0,720.0,11.0,1.37,29.0,19.0,0.69,4.0,2.0,2.0,3.0,37.5,3.0,2.0,1.0,0.0,8.0,1.0,0.0,0.0,9.4,0.23,-1.6,-0.2,49.0,89.0,55.1,206.0,40.0,35.4,33.6,48.0,33.3,32.5,62.0,2.0,3.2,8.0,1.0,15.9
Lorenzo Montipò,it ITA,GK,Benevento,24-290,1996,9.0,9.0,810.0,21.0,2.33,48.0,28.0,0.583,3.0,1.0,5.0,2.0,22.2,1.0,1.0,0.0,0.0,9.0,0.0,3.0,0.0,19.1,0.38,-1.9,-0.21,87.0,197.0,44.2,279.0,51.0,53.8,40.1,70.0,67.1,46.5,71.0,4.0,5.6,2.0,0.22,12.0
Jessy Moulin,fr FRA,GK,Saint-Étienne,34-328,1986,12.0,12.0,1080.0,20.0,1.67,46.0,27.0,0.587,3.0,2.0,7.0,3.0,25.0,1.0,1.0,0.0,0.0,12.0,1.0,4.0,1.0,16.6,0.34,-2.4,-0.2,70.0,169.0,41.4,329.0,69.0,34.0,35.9,90.0,63.3,48.4,99.0,4.0,4.0,4.0,0.33,13.4
