,Player,Weekly GrossBase Salary(IN EUR),Annual GrossBase Salary(IN EUR),Pos.,Age,Status,Expiration,Length,EstimatedGross Total(IN EUR),Team,League,Season
9,Pere Milla,"€ 6,538","€ 340,000",LW,28,Reserve,"Jun 30, 2022",2-yrs,"€ 680,000",Elche,La Liga,2020-2021
10,Antonio Barragán,"€ 6,538","€ 340,000",RB,33,Reserve,"Jun 30, 2021",1-yr,"€ 340,000",Elche,La Liga,2020-2021
11,Lucas Boyé,"€ 6,154","€ 320,000",CF,24,Starter,"Jun 30, 2021",1-yr,"€ 320,000",Elche,La Liga,2020-2021
12,Víctor Rodríguez,"€ 5,962","€ 310,000",LW,31,Reserve,"Jun 30, 2021",1-yr,"€ 310,000",Elche,La Liga,2020-2021
13,Tete Morente,"€ 5,577","€ 290,000",LW,24,Reserve,"Jun 30, 2024",4-yrs,"€ 1,160,000",Elche,La Liga,2020-2021
14,Omenuke Mfulu,"€ 4,423","€ 230,000",DM,26,Reserve,"Jun 30, 2021",1-yr,"€ 230,000",Elche,La Liga,2020-2021
15,Miguel Cifuentes,"€ 4,231","€ 220,000",RB,30,Starter,"Jun 30, 2022",2-yrs,"€ 440,000",Elche,La Liga,2020-2021
16,Josema,"€ 3,462","€ 180,000",CB,24,Starter,"Jun 30, 2023",3-yrs,"€ 540,000",Elche,La Liga,2020-2021
17,Dani Calvo,"€ 3,462","€ 180,000",CB,26,Reserve,"Jun 30, 2021",1-yr,"€ 180,000",Elche,La Liga,2020-2021
18,Diego González,"€ 2,692","€ 140,000",CB,26,Starter,"Jun 30, 2022",2-yrs,"€ 280,000",Elche,La Liga,2020-2021
19,Gonzalo Verdú,"€ 2,500","€ 130,000",CB,32,Reserve,"Jun 30, 2022",2-yrs,"€ 260,000",Elche,La Liga,2020-2021
20,Josan,"€ 2,500","€ 130,000",RW,31,Starter,"Jun 30, 2022",2-yrs,"€ 260,000",Elche,La Liga,2020-2021
21,Nino,"€ 2,308","€ 120,000",CF,40,Reserve,"Jun 30, 2021",1-yr,"€ 120,000",Elche,La Liga,2020-2021
0,Marc Cucurella,"€ 45,962","€ 2,390,000",LM,22,Starter,"Jun 30, 2024",4-yrs,"€ 9,560,000",Getafe,La Liga,2020-2021
1,Djené,"€ 42,308","€ 2,200,000",CB,29,Reserve,"Jun 30, 2023",3-yrs,"€ 6,600,000",Getafe,La Liga,2020-2021
2,Jaime Mata,"€ 41,154","€ 2,140,000",CF,32,Reserve,"Jun 30, 2024",4-yrs,"€ 8,560,000",Getafe,La Liga,2020-2021
3,Nemanja Maksimovic,"€ 40,000","€ 2,080,000",CM,26,Starter,"Jun 30, 2024",4-yrs,"€ 8,320,000",Getafe,La Liga,2020-2021
4,Mauro Arambarri,"€ 29,423","€ 1,530,000",CM,25,Starter,"Jun 30, 2023",3-yrs,"€ 4,590,000",Getafe,La Liga,2020-2021
5,David Soria,"€ 29,038","€ 1,510,000",GK,27,Starter,"Jun 30, 2023",3-yrs,"€ 4,530,000",Getafe,La Liga,2020-2021
6,Ángel Rodríguez,"€ 26,154","€ 1,360,000",CF,33,Starter,"Jun 30, 2021",1-yr,"€ 1,360,000",Getafe,La Liga,2020-2021
7,Takefusa Kubo,"€ 24,808","€ 1,290,000",RW,19,Reserve,"Jun 30, 2021",1-yr,"€ 1,290,000",Getafe,La Liga,2020-2021
8,Cucho Hernández,"€ 19,423","€ 1,010,000",CF,21,Starter,"Jun 30, 2021",1-yr,"€ 1,010,000",Getafe,La Liga,2020-2021
