,Unnamed: 0,Player,Weekly GrossBase Salary(IN EUR),Annual GrossBase Salary(IN EUR),"Adj. GrossBase Salary(2021, IN EUR)",Pos.,Age,Country,Team,League,Season
2,2,Manuel Neuer,"€ 288,462","€ 15,000,000","€ 15,000,000",K,33,Germany,Bayern Munich,Bundesliga,2019-2020
3,3,Lucas Hernández,"€ 250,000","€ 13,000,000","€ 13,000,000",D,23,France,Bayern Munich,Bundesliga,2019-2020
4,4,Jérôme Boateng,"€ 230,769","€ 12,000,000","€ 12,000,000",D,31,Germany,Bayern Munich,Bundesliga,2019-2020
5,5,Thiago,"€ 230,769","€ 12,000,000","€ 12,000,000",M,28,Spain,Bayern Munich,Bundesliga,2019-2020
6,6,Philippe Coutinho,"€ 215,385","€ 11,200,000","€ 11,200,000",F,27,Brazil,Bayern Munich,Bundesliga,2019-2020
7,7,David Alaba,"€ 192,308","€ 10,000,000","€ 10,000,000",D,27,Austria,Bayern Munich,Bundesliga,2019-2020
8,8,Leon Goretzka,"€ 153,846","€ 8,000,000","€ 8,000,000",M,24,Germany,Bayern Munich,Bundesliga,2019-2020
9,9,Kingsley Coman,"€ 153,846","€ 8,000,000","€ 8,000,000",F,23,France,Bayern Munich,Bundesliga,2019-2020
10,10,Joshua Kimmich,"€ 151,923","€ 7,900,000","€ 7,900,000",D,24,Germany,Bayern Munich,Bundesliga,2019-2020
11,11,Ivan Perisic,"€ 142,308","€ 7,400,000","€ 7,400,000",F,30,Croatia,Bayern Munich,Bundesliga,2019-2020
12,12,Corentin Tolisso,"€ 134,615","€ 7,000,000","€ 7,000,000",M,25,France,Bayern Munich,Bundesliga,2019-2020
13,13,Javi Martínez,"€ 115,385","€ 6,000,000","€ 6,000,000",M,31,Spain,Bayern Munich,Bundesliga,2019-2020
14,14,Alphonso Davies,"€ 96,154","€ 5,000,000","€ 5,000,000",F,18,Canada,Bayern Munich,Bundesliga,2019-2020
15,15,Serge Gnabry,"€ 86,538","€ 4,500,000","€ 4,500,000",F,24,Germany,Bayern Munich,Bundesliga,2019-2020
16,16,Álvaro Odriozola,"€ 70,577","€ 3,670,000","€ 3,670,000",D,24,Spain,Bayern Munich,Bundesliga,2019-2020
17,17,Niklas Süle,"€ 57,692","€ 3,000,000","€ 3,000,000",D,24,Germany,Bayern Munich,Bundesliga,2019-2020
18,18,Sven Ulreich,"€ 48,077","€ 2,500,000","€ 2,500,000",K,31,Germany,Bayern Munich,Bundesliga,2019-2020
19,19,Michaël Cuisance,"€ 28,846","€ 1,500,000","€ 1,500,000",M,20,France,Bayern Munich,Bundesliga,2019-2020
20,20,Benjamin Pavard,"€ 23,077","€ 1,200,000","€ 1,200,000",D,23,France,Bayern Munich,Bundesliga,2019-2020
21,21,Fiete Arp,"€ 19,231","€ 1,000,000","€ 1,000,000",F,19,Germany,Bayern Munich,Bundesliga,2019-2020
22,22,Christian Früchtl,"€ 9,615","€ 500,000","€ 500,000",K,19,Germany,Bayern Munich,Bundesliga,2019-2020
23,23,Sarpreet Singh,"€ 9,615","€ 500,000","€ 500,000",F,20,New Zealand,Bayern Munich,Bundesliga,2019-2020
24,24,Lars Lukas Mai,"€ 6,731","€ 350,000","€ 350,000",D,19,Germany,Bayern Munich,Bundesliga,2019-2020
25,25,Leon Dajaku,"€ 4,808","€ 250,000","€ 250,000",F,18,Germany,Bayern Munich,Bundesliga,2019-2020
26,26,Ron-Thorben Hoffmann,"€ 1,923","€ 100,000","€ 100,000",K,20,Germany,Bayern Munich,Bundesliga,2019-2020
0,0,Marco Reus,"€ 211,538","€ 11,000,000","€ 11,000,000",F,30,Germany,Borussia Dortmund,Bundesliga,2019-2020
1,1,Mats Hummels,"€ 192,308","€ 10,000,000","€ 10,000,000",D,30,Germany,Borussia Dortmund,Bundesliga,2019-2020
2,2,Mario Götze,"€ 192,308","€ 10,000,000","€ 10,000,000",F,27,Germany,Borussia Dortmund,Bundesliga,2019-2020
3,3,Emre Can,"€ 173,077","€ 9,000,000","€ 9,000,000",M,26,Germany,Borussia Dortmund,Bundesliga,2019-2020
4,4,Axel Witsel,"€ 153,846","€ 8,000,000","€ 8,000,000",M,30,Belgium,Borussia Dortmund,Bundesliga,2019-2020
5,5,Erling Haaland,"€ 151,923","€ 7,900,000","€ 7,900,000",F,19,Norway,Borussia Dortmund,Bundesliga,2019-2020
6,6,Thomas Delaney,"€ 115,385","€ 6,000,000","€ 6,000,000",M,28,Denmark,Borussia Dortmund,Bundesliga,2019-2020
7,7,Mahmoud Dahoud,"€ 94,231","€ 4,900,000","€ 4,900,000",M,23,Germany,Borussia Dortmund,Bundesliga,2019-2020
8,8,Julian Brandt,"€ 76,923","€ 4,000,000","€ 4,000,000",F,23,Germany,Borussia Dortmund,Bundesliga,2019-2020
9,9,Julian Weigl,"€ 76,731","€ 3,990,000","€ 3,990,000",M,24,Germany,Borussia Dortmund,Bundesliga,2019-2020
10,10,Paco Alcácer,"€ 76,731","€ 3,990,000","€ 3,990,000",F,26,Spain,Borussia Dortmund,Bundesliga,2019-2020
11,11,Lukasz Piszczek,"€ 76,731","€ 3,990,000","€ 3,990,000",D,34,Poland,Borussia Dortmund,Bundesliga,2019-2020
12,12,Marcel Schmelzer,"€ 76,731","€ 3,990,000","€ 3,990,000",D,31,Germany,Borussia Dortmund,Bundesliga,2019-2020
13,13,Jadon Sancho,"€ 61,538","€ 3,200,000","€ 3,200,000",F,19,England,Borussia Dortmund,Bundesliga,2019-2020
14,14,Roman Bürki,"€ 57,692","€ 3,000,000","€ 3,000,000",K,28,Switzerland,Borussia Dortmund,Bundesliga,2019-2020
15,15,Manuel Akanji,"€ 48,077","€ 2,500,000","€ 2,500,000",D,24,Switzerland,Borussia Dortmund,Bundesliga,2019-2020
16,16,Raphaël Guerreiro,"€ 38,462","€ 2,000,000","€ 2,000,000",M,25,Portugal,Borussia Dortmund,Bundesliga,2019-2020
17,17,Thorgan Hazard,"€ 30,769","€ 1,600,000","€ 1,600,000",F,26,Belgium,Borussia Dortmund,Bundesliga,2019-2020
18,18,Achraf Hakimi,"€ 28,846","€ 1,500,000","€ 1,500,000",D,20,Morocco,Borussia Dortmund,Bundesliga,2019-2020
19,19,Leonardo Balerdi,"€ 28,846","€ 1,500,000","€ 1,500,000",D,20,Argentina,Borussia Dortmund,Bundesliga,2019-2020
20,20,Marwin Hitz,"€ 28,846","€ 1,500,000","€ 1,500,000",K,31,Switzerland,Borussia Dortmund,Bundesliga,2019-2020
21,21,Nico Schulz,"€ 25,000","€ 1,300,000","€ 1,300,000",D,26,Germany,Borussia Dortmund,Bundesliga,2019-2020
22,22,Mateu Morey,"€ 19,231","€ 1,000,000","€ 1,000,000",D,19,Spain,Borussia Dortmund,Bundesliga,2019-2020
23,23,Jacob Bruun Larsen,"€ 8,654","€ 450,000","€ 450,000",F,20,Denmark,Borussia Dortmund,Bundesliga,2019-2020
24,24,Dan-Axel Zagadou,"€ 4,423","€ 230,000","€ 230,000",D,20,France,Borussia Dortmund,Bundesliga,2019-2020
25,25,Giovanni Reyna,"€ 1,538","€ 80,000","€ 80,000",F,17,United States,Borussia Dortmund,Bundesliga,2019-2020
26,26,Eric Oelschlägel,"€ 1,538","€ 80,000","€ 80,000",K,23,Germany,Borussia Dortmund,Bundesliga,2019-2020
