Rank,Club,Country,Domestic Division,Elo,Year,Season
None,Troyes,FRA,2,1492.82409668,2019,2019/2020
None,Troyes,FRA,2,1494.56176758,2020,2020/2021
None,Troyes,FRA,1,1486.81213379,2021,2021/2022
None,US Quevilly,FRA,2,1291.7668457,2017,2017/2018
None,US Quevilly,FRA,2,1331.07617188,2018,2018/2019
None,US Quevilly,FRA,2,1302.61413574,2021,2021/2022
None,Valenciennes,FRA,2,1370.90441895,2015,2015/2016
None,Valenciennes,FRA,2,1420.50097656,2016,2016/2017
None,Valenciennes,FRA,2,1375.71276855,2017,2017/2018
None,Valenciennes,FRA,2,1318.66394043,2018,2018/2019
None,Valenciennes,FRA,2,1393.50512695,2019,2019/2020
None,Valenciennes,FRA,2,1378.57055664,2020,2020/2021
None,Valenciennes,FRA,2,1323.85681152,2021,2021/2022
None,Aalen,GER,2,1416.83093262,2015,2015/2016
None,Aue,GER,2,1418.74536133,2015,2015/2016
None,Aue,GER,2,1383.57678223,2016,2016/2017
None,Aue,GER,2,1376.32592773,2017,2017/2018
None,Aue,GER,2,1433.86096191,2018,2018/2019
None,Aue,GER,2,1452.20507812,2019,2019/2020
None,Aue,GER,2,1499.01806641,2020,2020/2021
None,Aue,GER,2,1416.67541504,2021,2021/2022
54,Augsburg,GER,1,1669.27783203,2015,2015/2016
66,Augsburg,GER,1,1666.26513672,2016,2016/2017
68,Augsburg,GER,1,1636.86608887,2017,2017/2018
77,Augsburg,GER,1,1621.3338623,2018,2018/2019
84,Augsburg,GER,1,1626.17578125,2019,2019/2020
79,Augsburg,GER,1,1636.79406738,2020,2020/2021
None,Augsburg,GER,1,1580.32067871,2021,2021/2022
3,Bayern,GER,1,2000.47375488,2015,2015/2016
3,Bayern,GER,1,2006.33740234,2016,2016/2017
5,Bayern,GER,1,1949.26525879,2017,2017/2018
5,Bayern,GER,1,1942.13366699,2018,2018/2019
4,Bayern,GER,1,1932.34472656,2019,2019/2020
1,Bayern,GER,1,2049.70214844,2020,2020/2021
2,Bayern,GER,1,2002.49169922,2021,2021/2022
None,Bielefeld,GER,2,1434.3112793,2015,2015/2016
None,Bielefeld,GER,2,1419.79248047,2016,2016/2017
None,Bielefeld,GER,2,1421.09802246,2017,2017/2018
None,Bielefeld,GER,2,1433.85534668,2018,2018/2019
None,Bielefeld,GER,2,1529.65258789,2019,2019/2020
98,Bielefeld,GER,1,1592.7199707,2020,2020/2021
89,Bielefeld,GER,1,1610.53320312,2021,2021/2022
None,Bochum,GER,2,1472.3371582,2015,2015/2016
None,Bochum,GER,2,1485.97973633,2016,2016/2017
None,Bochum,GER,2,1425.91418457,2017,2017/2018
None,Bochum,GER,2,1485.00488281,2018,2018/2019
None,Bochum,GER,2,1434.58850098,2019,2019/2020
None,Bochum,GER,2,1543.08752441,2020,2020/2021
None,Bochum,GER,1,1570.1307373,2021,2021/2022
None,Braunschweig,GER,2,1508.04614258,2015,2015/2016
None,Braunschweig,GER,2,1532.26342773,2016,2016/2017
None,Braunschweig,GER,2,1466.26062012,2017,2017/2018
None,Braunschweig,GER,2,1419.94274902,2018,2018/2019
None,Braunschweig,GER,2,1405.84765625,2020,2020/2021
None,Braunschweig,GER,2,1380.30224609,2021,2021/2022
None,Darmstadt,GER,1,1536.40393066,2015,2015/2016
None,Darmstadt,GER,1,1539.55529785,2016,2016/2017
None,Darmstadt,GER,2,1447.21630859,2017,2017/2018
None,Darmstadt,GER,2,1439.17004395,2018,2018/2019
None,Darmstadt,GER,2,1446.578125,2019,2019/2020
None,Darmstadt,GER,2,1526.51013184,2020,2020/2021
None,Darmstadt,GER,2,1524.82128906,2021,2021/2022
11,Dortmund,GER,1,1805.88574219,2015,2015/2016
6,Dortmund,GER,1,1873.89685059,2016,2016/2017
19,Dortmund,GER,1,1758.52038574,2017,2017/2018
12,Dortmund,GER,1,1847.67260742,2018,2018/2019
16,Dortmund,GER,1,1812.13342285,2019,2019/2020
16,Dortmund,GER,1,1824.33337402,2020,2020/2021
13,Dortmund,GER,1,1845.30505371,2021,2021/2022
None,Dresden,GER,2,1468.1340332,2016,2016/2017
None,Dresden,GER,2,1421.60229492,2017,2017/2018
None,Dresden,GER,2,1435.36328125,2018,2018/2019
None,Dresden,GER,2,1368.11315918,2019,2019/2020
None,Dresden,GER,2,1391.71691895,2020,2020/2021
None,Dresden,GER,2,1429.11010742,2021,2021/2022
None,Duesseldorf,GER,2,1431.88952637,2015,2015/2016
None,Duesseldorf,GER,2,1460.57800293,2016,2016/2017
None,Duesseldorf,GER,2,1440.59143066,2017,2017/2018
None,Duesseldorf,GER,1,1536.55895996,2018,2018/2019
None,Duesseldorf,GER,1,1575.56152344,2019,2019/2020
95,Duesseldorf,GER,2,1596.85961914,2020,2020/2021
None,Duesseldorf,GER,2,1526.16149902,2021,2021/2022
None,Duisburg,GER,2,1360.67236328,2015,2015/2016
None,Duisburg,GER,2,1398.52233887,2016,2016/2017
None,Duisburg,GER,2,1395.59570312,2017,2017/2018
None,Duisburg,GER,2,1377.66918945,2018,2018/2019
None,Duisburg,GER,2,1374.22546387,2019,2019/2020
None,FSV Frankfurt,GER,2,1409.94287109,2015,2015/2016
None,FSV Frankfurt,GER,2,1367.60961914,2016,2016/2017
72,Frankfurt,GER,1,1640.14038086,2015,2015/2016
34,Frankfurt,GER,1,1712.60168457,2016,2016/2017
77,Frankfurt,GER,1,1628.2232666,2017,2017/2018
27,Frankfurt,GER,1,1733.90588379,2018,2018/2019
55,Frankfurt,GER,1,1673.99963379,2019,2019/2020
36,Frankfurt,GER,1,1735.52709961,2020,2020/2021
33,Frankfurt,GER,1,1745.51977539,2021,2021/2022
79,Freiburg,GER,2,1635.8503418,2015,2015/2016
70,Freiburg,GER,1,1659.39648438,2016,2016/2017
None,Freiburg,GER,1,1580.64233398,2017,2017/2018
78,Freiburg,GER,1,1620.35424805,2018,2018/2019
76,Freiburg,GER,1,1641.02893066,2019,2019/2020
51,Freiburg,GER,1,1687.84484863,2020,2020/2021
51,Freiburg,GER,1,1697.0793457,2021,2021/2022
None,Fuerth,GER,2,1439.14074707,2015,2015/2016
None,Fuerth,GER,2,1432.62756348,2016,2016/2017
None,Fuerth,GER,2,1385.06201172,2017,2017/2018
None,Fuerth,GER,2,1418.36804199,2018,2018/2019
None,Fuerth,GER,2,1433.75964355,2019,2019/2020
None,Fuerth,GER,2,1522.32507324,2020,2020/2021
None,Fuerth,GER,1,1540.8170166,2021,2021/2022
16,Gladbach,GER,1,1793.5703125,2015,2015/2016
37,Gladbach,GER,1,1709.28588867,2016,2016/2017
49,Gladbach,GER,1,1682.93212891,2017,2017/2018
23,Gladbach,GER,1,1743.62561035,2018,2018/2019
35,Gladbach,GER,1,1719.54101562,2019,2019/2020
22,Gladbach,GER,1,1784.6373291,2020,2020/2021
36,Gladbach,GER,1,1733.52160645,2021,2021/2022
69,Hamburg,GER,1,1642.70336914,2015,2015/2016
92,Hamburg,GER,1,1615.65185547,2016,2016/2017
None,Hamburg,GER,1,1570.03894043,2017,2017/2018
None,Hamburg,GER,2,1583.60314941,2018,2018/2019
None,Hamburg,GER,2,1538.69287109,2019,2019/2020
None,Hamburg,GER,2,1558.52062988,2020,2020/2021
None,Hamburg,GER,2,1538.61877441,2021,2021/2022
None,Hannover,GER,1,1605.08679199,2015,2015/2016
None,Hannover,GER,2,1590.65185547,2016,2016/2017
99,Hannover,GER,1,1584.42883301,2017,2017/2018
None,Hannover,GER,1,1565.14233398,2018,2018/2019
None,Hannover,GER,2,1470.95800781,2019,2019/2020
None,Hannover,GER,2,1525.09985352,2020,2020/2021
None,Hannover,GER,2,1439.80639648,2021,2021/2022
None,Heidenheim,GER,2,1451.32543945,2015,2015/2016
None,Heidenheim,GER,2,1513.98156738,2016,2016/2017
None,Heidenheim,GER,2,1402.13354492,2017,2017/2018
None,Heidenheim,GER,2,1482.11706543,2018,2018/2019
None,Heidenheim,GER,2,1508.92590332,2019,2019/2020
None,Heidenheim,GER,2,1529.29675293,2020,2020/2021
None,Heidenheim,GER,2,1484.83837891,2021,2021/2022
47,Hertha,GER,1,1692.0402832,2015,2015/2016
38,Hertha,GER,1,1706.29614258,2016,2016/2017
85,Hertha,GER,1,1615.16516113,2017,2017/2018
63,Hertha,GER,1,1653.8770752,2018,2018/2019
86,Hertha,GER,1,1623.30603027,2019,2019/2020
63,Hertha,GER,1,1668.61340332,2020,2020/2021
82,Hertha,GER,1,1620.15844727,2021,2021/2022
75,Hoffenheim,GER,1,1638.75292969,2015,2015/2016
33,Hoffenheim,GER,1,1720.56762695,2016,2016/2017
53,Hoffenheim,GER,1,1668.7286377,2017,2017/2018
31,Hoffenheim,GER,1,1730.55102539,2018,2018/2019
41,Hoffenheim,GER,1,1695.01550293,2019,2019/2020
32,Hoffenheim,GER,1,1751.72167969,2020,2020/2021
48,Hoffenheim,GER,1,1701.01379395,2021,2021/2022
None,Holstein,GER,2,1438.52001953,2017,2017/2018
None,Holstein,GER,2,1526.48986816,2018,2018/2019
None,Holstein,GER,2,1469.2364502,2019,2019/2020
None,Holstein,GER,2,1549.18969727,2020,2020/2021
None,Holstein,GER,2,1500.19958496,2021,2021/2022
None,Ingolstadt,GER,1,1572.24206543,2015,2015/2016
None,Ingolstadt,GER,1,1585.38598633,2016,2016/2017
None,Ingolstadt,GER,2,1532.05847168,2017,2017/2018
None,Ingolstadt,GER,2,1399.84680176,2018,2018/2019
None,Ingolstadt,GER,2,1452.65100098,2019,2019/2020
None,Ingolstadt,GER,2,1389.78869629,2021,2021/2022
None,Karlsruhe,GER,2,1495.68811035,2015,2015/2016
None,Karlsruhe,GER,2,1455.99438477,2016,2016/2017
None,Karlsruhe,GER,2,1378.69812012,2017,2017/2018
None,Karlsruhe,GER,2,1402.82800293,2019,2019/2020
None,Karlsruhe,GER,2,1463.45422363,2020,2020/2021
None,Karlsruhe,GER,2,1504.08300781,2021,2021/2022
56,Koeln,GER,1,1667.5982666,2015,2015/2016
36,Koeln,GER,1,1709.59057617,2016,2016/2017
None,Koeln,GER,1,1552.5300293,2017,2017/2018
95,Koeln,GER,2,1595.62194824,2018,2018/2019
None,Koeln,GER,1,1568.23291016,2019,2019/2020
81,Koeln,GER,1,1628.59472656,2020,2020/2021
85,Koeln,GER,1,1613.85314941,2021,2021/2022
None,Lautern,GER,2,1507.48742676,2015,2015/2016
None,Lautern,GER,2,1474.47497559,2016,2016/2017
None,Lautern,GER,2,1362.08129883,2017,2017/2018
None,Lautern,GER,2,1401.27990723,2018,2018/2019
13,Leverkusen,GER,1,1798.48937988,2015,2015/2016
19,Leverkusen,GER,1,1782.64050293,2016,2016/2017
35,Leverkusen,GER,1,1712.46228027,2017,2017/2018
34,Leverkusen,GER,1,1720.2590332,2018,2018/2019
34,Leverkusen,GER,1,1732.29418945,2019,2019/2020
11,Leverkusen,GER,1,1855.38183594,2020,2020/2021
31,Leverkusen,GER,1,1761.03845215,2021,2021/2022
None,Magdeburg,GER,2,1353.09411621,2018,2018/2019
None,Magdeburg,GER,2,1377.6809082,2019,2019/2020
51,Mainz,GER,1,1682.1348877,2015,2015/2016
57,Mainz,GER,1,1676.01464844,2016,2016/2017
None,Mainz,GER,1,1582.57592773,2017,2017/2018
71,Mainz,GER,1,1634.65856934,2018,2018/2019
81,Mainz,GER,1,1631.29614258,2019,2019/2020
90,Mainz,GER,1,1610.10998535,2020,2020/2021
63,Mainz,GER,1,1667.24719238,2021,2021/2022
None,Muenchen 60,GER,2,1403.4107666,2015,2015/2016
None,Muenchen 60,GER,2,1412.8034668,2016,2016/2017
None,Muenchen 60,GER,2,1405.52734375,2017,2017/2018
None,Nuernberg,GER,2,1546.70141602,2015,2015/2016
None,Nuernberg,GER,2,1554.35009766,2016,2016/2017
None,Nuernberg,GER,2,1480.40539551,2017,2017/2018
None,Nuernberg,GER,1,1510.49475098,2018,2018/2019
None,Nuernberg,GER,2,1437.74072266,2019,2019/2020
None,Nuernberg,GER,2,1496.36486816,2020,2020/2021
None,Nuernberg,GER,2,1484.8515625,2021,2021/2022
None,Osnabrueck,GER,2,1450.35290527,2019,2019/2020
None,Osnabrueck,GER,2,1471.91564941,2020,2020/2021
None,Osnabrueck,GER,2,1377.61328125,2021,2021/2022
None,Paderborn,GER,2,1459.36621094,2015,2015/2016
None,Paderborn,GER,2,1417.96533203,2016,2016/2017
None,Paderborn,GER,2,1455.37414551,2018,2018/2019
None,Paderborn,GER,1,1494.65698242,2019,2019/2020
None,Paderborn,GER,2,1514.40966797,2020,2020/2021
None,Paderborn,GER,2,1542.83642578,2021,2021/2022
None,RB Leipzig,GER,2,1533.9876709,2015,2015/2016
48,RB Leipzig,GER,1,1692.06433105,2016,2016/2017
46,RB Leipzig,GER,1,1686.52172852,2017,2017/2018
28,RB Leipzig,GER,1,1732.29724121,2018,2018/2019
14,RB Leipzig,GER,1,1822.63842773,2019,2019/2020
7,RB Leipzig,GER,1,1881.59399414,2020,2020/2021
22,RB Leipzig,GER,1,1807.1697998,2021,2021/2022
None,Regensburg,GER,2,1388.34130859,2017,2017/2018
None,Regensburg,GER,2,1465.23864746,2018,2018/2019
None,Regensburg,GER,2,1468.83117676,2019,2019/2020
None,Regensburg,GER,2,1480.27380371,2020,2020/2021
None,Regensburg,GER,2,1472.11352539,2021,2021/2022
None,Rostock,GER,2,1396.29870605,2021,2021/2022
None,Sandhausen,GER,2,1464.63244629,2015,2015/2016
None,Sandhausen,GER,2,1466.9029541,2016,2016/2017
None,Sandhausen,GER,2,1426.63989258,2017,2017/2018
None,Sandhausen,GER,2,1398.92163086,2018,2018/2019
None,Sandhausen,GER,2,1447.97827148,2019,2019/2020
None,Sandhausen,GER,2,1427.79260254,2020,2020/2021
None,Sandhausen,GER,2,1401.17663574,2021,2021/2022
31,Schalke,GER,1,1728.12280273,2015,2015/2016
28,Schalke,GER,1,1727.40039062,2016,2016/2017
38,Schalke,GER,1,1704.51818848,2017,2017/2018
36,Schalke,GER,1,1716.12390137,2018,2018/2019
44,Schalke,GER,1,1691.54223633,2019,2019/2020
None,Schalke,GER,1,1573.13134766,2020,2020/2021
None,Schalke,GER,2,1515.50500488,2021,2021/2022
None,St Pauli,GER,2,1465.32617188,2015,2015/2016
None,St Pauli,GER,2,1427.53234863,2016,2016/2017
None,St Pauli,GER,2,1425.81896973,2017,2017/2018
None,St Pauli,GER,2,1497.28430176,2018,2018/2019
None,St Pauli,GER,2,1432.46130371,2019,2019/2020
None,St Pauli,GER,2,1421.48205566,2020,2020/2021
None,St Pauli,GER,2,1480.31945801,2021,2021/2022
None,Stuttgart,GER,1,1602.29650879,2015,2015/2016
None,Stuttgart,GER,2,1587.86230469,2016,2016/2017
None,Stuttgart,GER,1,1556.79040527,2017,2017/2018
83,Stuttgart,GER,1,1613.0213623,2018,2018/2019
None,Stuttgart,GER,2,1552.2989502,2019,2019/2020
66,Stuttgart,GER,1,1657.10388184,2020,2020/2021
76,Stuttgart,GER,1,1639.76953125,2021,2021/2022
None,Union Berlin,GER,2,1478.54870605,2015,2015/2016
None,Union Berlin,GER,2,1526.4510498,2016,2016/2017
None,Union Berlin,GER,2,1472.68664551,2017,2017/2018
None,Union Berlin,GER,2,1522.33666992,2018,2018/2019
None,Union Berlin,GER,1,1564.58666992,2019,2019/2020
57,Union Berlin,GER,1,1680.98010254,2020,2020/2021
50,Union Berlin,GER,1,1698.00817871,2021,2021/2022
None,Wehen,GER,2,1387.42419434,2019,2019/2020
None,Wehen,GER,2,1398.59558105,2020,2020/2021
93,Werder,GER,1,1614.32495117,2015,2015/2016
77,Werder,GER,1,1642.36535645,2016,2016/2017
83,Werder,GER,1,1619.43688965,2017,2017/2018
56,Werder,GER,1,1667.7791748,2018,2018/2019
80,Werder,GER,1,1633.42724609,2019,2019/2020
68,Werder,GER,1,1654.0802002,2020,2020/2021
None,Werder,GER,2,1583.5201416,2021,2021/2022
20,Wolfsburg,GER,1,1783.32885742,2015,2015/2016
41,Wolfsburg,GER,1,1696.61682129,2016,2016/2017
72,Wolfsburg,GER,1,1635.24658203,2017,2017/2018
53,Wolfsburg,GER,1,1674.92114258,2018,2018/2019
47,Wolfsburg,GER,1,1688.0213623,2019,2019/2020
29,Wolfsburg,GER,1,1760.60302734,2020,2020/2021
25,Wolfsburg,GER,1,1786.56689453,2021,2021/2022
None,Wuerzburg,GER,2,1469.97290039,2016,2016/2017
None,Wuerzburg,GER,2,1393.15197754,2017,2017/2018
None,Wuerzburg,GER,2,1383.63537598,2020,2020/2021
None,Wuerzburg,GER,2,1357.19934082,2021,2021/2022
None,Alessandria,ITA,2,1356.2199707,2021,2021/2022
None,Ascoli,ITA,2,1373.91491699,2015,2015/2016
None,Ascoli,ITA,2,1381.91674805,2016,2016/2017
None,Ascoli,ITA,2,1368.01489258,2017,2017/2018
None,Ascoli,ITA,2,1376.64428711,2018,2018/2019
None,Ascoli,ITA,2,1376.43859863,2019,2019/2020
None,Ascoli,ITA,2,1334.10681152,2020,2020/2021
None,Ascoli,ITA,2,1417.32458496,2021,2021/2022
95,Atalanta,ITA,1,1612.18725586,2015,2015/2016
82,Atalanta,ITA,1,1632.51501465,2016,2016/2017
27,Atalanta,ITA,1,1730.87524414,2017,2017/2018
40,Atalanta,ITA,1,1711.1472168,2018,2018/2019
26,Atalanta,ITA,1,1766.36547852,2019,2019/2020
17,Atalanta,ITA,1,1821.92199707,2020,2020/2021
15,Atalanta,ITA,1,1834.02758789,2021,2021/2022
None,Avellino,ITA,2,1463.13928223,2015,2015/2016
None,Avellino,ITA,2,1333.08740234,2016,2016/2017
None,Avellino,ITA,2,1382.27807617,2017,2017/2018
None,Avellino,ITA,2,1386.01281738,2018,2018/2019
None,Bari,ITA,2,1453.24975586,2015,2015/2016
None,Bari,ITA,2,1429.31726074,2016,2016/2017
None,Bari,ITA,2,1439.375,2017,2017/2018
None,Bari,ITA,2,1463.02258301,2018,2018/2019
None,Benevento,ITA,2,1450.19128418,2016,2016/2017
None,Benevento,ITA,1,1424.53344727,2017,2017/2018
None,Benevento,ITA,2,1439.92016602,2018,2018/2019
None,Benevento,ITA,2,1531.36157227,2019,2019/2020
None,Benevento,ITA,1,1578.60327148,2020,2020/2021
None,Benevento,ITA,2,1514.22558594,2021,2021/2022
None,Bologna,ITA,1,1534.42687988,2015,2015/2016
None,Bologna,ITA,1,1544.17871094,2016,2016/2017
None,Bologna,ITA,1,1578.83691406,2017,2017/2018
None,Bologna,ITA,1,1509.96911621,2018,2018/2019
None,Bologna,ITA,1,1589.39221191,2019,2019/2020
100,Bologna,ITA,1,1591.67565918,2020,2020/2021
95,Bologna,ITA,1,1605.56323242,2021,2021/2022
None,Brescia,ITA,2,1467.5949707,2015,2015/2016
None,Brescia,ITA,2,1383.7767334,2016,2016/2017
None,Brescia,ITA,2,1390.13452148,2017,2017/2018
None,Brescia,ITA,2,1440.75756836,2018,2018/2019
None,Brescia,ITA,1,1475.77770996,2019,2019/2020
None,Brescia,ITA,2,1456.13769531,2020,2020/2021
None,Brescia,ITA,2,1496.42663574,2021,2021/2022
None,Cagliari,ITA,2,1592.5378418,2015,2015/2016
None,Cagliari,ITA,1,1534.29223633,2016,2016/2017
None,Cagliari,ITA,1,1563.99230957,2017,2017/2018
None,Cagliari,ITA,1,1543.59912109,2018,2018/2019
93,Cagliari,ITA,1,1605.56481934,2019,2019/2020
None,Cagliari,ITA,1,1590.4934082,2020,2020/2021
None,Cagliari,ITA,1,1582.31237793,2021,2021/2022
None,Carpi,ITA,1,1501.98828125,2015,2015/2016
None,Carpi,ITA,2,1496.29443359,2016,2016/2017
None,Carpi,ITA,2,1450.84020996,2017,2017/2018
None,Carpi,ITA,2,1349.01196289,2018,2018/2019
None,Carpi,ITA,2,1292.0402832,2019,2019/2020
None,Catania,ITA,2,1459.50354004,2015,2015/2016
None,Cesena,ITA,2,1468.1607666,2015,2015/2016
None,Cesena,ITA,2,1417.69592285,2016,2016/2017
None,Cesena,ITA,2,1424.20825195,2017,2017/2018
None,Cesena,ITA,2,1435.34741211,2018,2018/2019
85,Chievo,ITA,1,1623.55163574,2015,2015/2016
None,Chievo,ITA,1,1606.11828613,2016,2016/2017
None,Chievo,ITA,1,1560.78869629,2017,2017/2018
None,Chievo,ITA,1,1504.78173828,2018,2018/2019
None,Chievo,ITA,2,1440.28051758,2019,2019/2020
None,Chievo,ITA,2,1485.02734375,2020,2020/2021
None,Chievo,ITA,2,1467.93920898,2021,2021/2022
None,Cittadella,ITA,2,1385.41784668,2015,2015/2016
None,Cittadella,ITA,2,1411.92663574,2016,2016/2017
None,Cittadella,ITA,2,1451.63537598,2017,2017/2018
None,Cittadella,ITA,2,1438.91870117,2018,2018/2019
None,Cittadella,ITA,2,1432.78393555,2019,2019/2020
None,Cittadella,ITA,2,1485.73034668,2020,2020/2021
None,Cittadella,ITA,2,1479.68286133,2021,2021/2022
None,Como,ITA,2,1327.90930176,2015,2015/2016
None,Como,ITA,2,1327.87976074,2016,2016/2017
None,Como,ITA,2,1375.73120117,2021,2021/2022
None,Cosenza,ITA,2,1358.21850586,2018,2018/2019
None,Cosenza,ITA,2,1387.22009277,2019,2019/2020
None,Cosenza,ITA,2,1413.26550293,2020,2020/2021
None,Cosenza,ITA,2,1348.17602539,2021,2021/2022
None,Cremonese,ITA,2,1426.90429688,2017,2017/2018
None,Cremonese,ITA,2,1376.41247559,2018,2018/2019
None,Cremonese,ITA,2,1382.89013672,2019,2019/2020
None,Cremonese,ITA,2,1402.67810059,2020,2020/2021
None,Cremonese,ITA,2,1448.59631348,2021,2021/2022
None,Crotone,ITA,2,1507.22839355,2015,2015/2016
None,Crotone,ITA,1,1449.18444824,2016,2016/2017
None,Crotone,ITA,1,1503.37573242,2017,2017/2018
None,Crotone,ITA,2,1406.49902344,2018,2018/2019
None,Crotone,ITA,2,1457.4276123,2019,2019/2020
None,Crotone,ITA,1,1504.58154297,2020,2020/2021
None,Crotone,ITA,2,1467.71130371,2021,2021/2022
77,Empoli,ITA,1,1636.26953125,2015,2015/2016
None,Empoli,ITA,1,1536.3861084,2016,2016/2017
None,Empoli,ITA,2,1516.3482666,2017,2017/2018
None,Empoli,ITA,1,1537.98632812,2018,2018/2019
None,Empoli,ITA,2,1466.08496094,2019,2019/2020
None,Empoli,ITA,2,1518.01940918,2020,2020/2021
None,Empoli,ITA,1,1553.62780762,2021,2021/2022
None,Entella,ITA,2,1394.6862793,2015,2015/2016
None,Entella,ITA,2,1422.4543457,2016,2016/2017
None,Entella,ITA,2,1401.10009766,2017,2017/2018
None,Entella,ITA,2,1362.24768066,2018,2018/2019
None,Entella,ITA,2,1408.96289062,2019,2019/2020
None,Entella,ITA,2,1347.18835449,2020,2020/2021
None,Entella,ITA,2,1291.95324707,2021,2021/2022
23,Fiorentina,ITA,1,1776.11328125,2015,2015/2016
52,Fiorentina,ITA,1,1680.95202637,2016,2016/2017
47,Fiorentina,ITA,1,1685.36547852,2017,2017/2018
55,Fiorentina,ITA,1,1668.52722168,2018,2018/2019
None,Fiorentina,ITA,1,1577.64294434,2019,2019/2020
78,Fiorentina,ITA,1,1639.74194336,2020,2020/2021
80,Fiorentina,ITA,1,1628.87963867,2021,2021/2022
None,Foggia,ITA,2,1374.52990723,2017,2017/2018
None,Foggia,ITA,2,1389.80932617,2018,2018/2019
None,Foggia,ITA,2,1375.67138672,2019,2019/2020
None,Frosinone,ITA,1,1468.81311035,2015,2015/2016
None,Frosinone,ITA,2,1466.42163086,2016,2016/2017
None,Frosinone,ITA,2,1512.53613281,2017,2017/2018
None,Frosinone,ITA,1,1466.55932617,2018,2018/2019
None,Frosinone,ITA,2,1457.06396484,2019,2019/2020
None,Frosinone,ITA,2,1462.0489502,2020,2020/2021
None,Frosinone,ITA,2,1447.14697266,2021,2021/2022
82,Genoa,ITA,1,1632.30273438,2015,2015/2016
None,Genoa,ITA,1,1607.52514648,2016,2016/2017
None,Genoa,ITA,1,1556.6048584,2017,2017/2018
None,Genoa,ITA,1,1543.37023926,2018,2018/2019
None,Genoa,ITA,1,1505.1875,2019,2019/2020
None,Genoa,ITA,1,1540.75854492,2020,2020/2021
99,Genoa,ITA,1,1597.96386719,2021,2021/2022
29,Inter,ITA,1,1744.55395508,2015,2015/2016
54,Inter,ITA,1,1677.00146484,2016,2016/2017
24,Inter,ITA,1,1748.74658203,2017,2017/2018
21,Inter,ITA,1,1771.41918945,2018,2018/2019
19,Inter,ITA,1,1791.03259277,2019,2019/2020
10,Inter,ITA,1,1858.84106445,2020,2020/2021
8,Inter,ITA,1,1905.38745117,2021,2021/2022
None,Juve Stabia,ITA,2,1368.36865234,2019,2019/2020
None,Juve Stabia,ITA,2,1345.33422852,2020,2020/2021
6,Juventus,ITA,1,1913.26611328,2015,2015/2016
5,Juventus,ITA,1,1915.71801758,2016,2016/2017
4,Juventus,ITA,1,1955.10742188,2017,2017/2018
3,Juventus,ITA,1,1962.04528809,2018,2018/2019
5,Juventus,ITA,1,1906.95837402,2019,2019/2020
12,Juventus,ITA,1,1852.11914062,2020,2020/2021
14,Juventus,ITA,1,1835.35571289,2021,2021/2022
None,Latina,ITA,2,1407.16870117,2015,2015/2016
None,Latina,ITA,2,1383.79541016,2016,2016/2017
None,Latina,ITA,2,1347.23156738,2017,2017/2018
37,Lazio,ITA,1,1714.28552246,2015,2015/2016
42,Lazio,ITA,1,1696.61450195,2016,2016/2017
26,Lazio,ITA,1,1747.93273926,2017,2017/2018
42,Lazio,ITA,1,1703.11499023,2018,2018/2019
36,Lazio,ITA,1,1717.68664551,2019,2019/2020
37,Lazio,ITA,1,1733.08081055,2020,2020/2021
34,Lazio,ITA,1,1745.11975098,2021,2021/2022
None,Lecce,ITA,2,1414.21313477,2018,2018/2019
None,Lecce,ITA,1,1482.26477051,2019,2019/2020
None,Lecce,ITA,2,1498.93481445,2020,2020/2021
None,Lecce,ITA,2,1477.98999023,2021,2021/2022
None,Livorno,ITA,2,1399.39501953,2015,2015/2016
None,Livorno,ITA,2,1359.36413574,2016,2016/2017
None,Livorno,ITA,2,1341.18994141,2018,2018/2019
None,Livorno,ITA,2,1302.21069336,2019,2019/2020
None,Livorno,ITA,2,1250.93518066,2020,2020/2021
41,Milan,ITA,1,1703.90112305,2015,2015/2016
49,Milan,ITA,1,1691.82714844,2016,2016/2017
56,Milan,ITA,1,1656.3079834,2017,2017/2018
48,Milan,ITA,1,1691.61621094,2018,2018/2019
60,Milan,ITA,1,1667.3503418,2019,2019/2020
18,Milan,ITA,1,1807.72839355,2020,2020/2021
21,Milan,ITA,1,1810.32873535,2021,2021/2022
None,Modena,ITA,2,1412.13146973,2015,2015/2016
None,Modena,ITA,2,1352.95471191,2016,2016/2017
None,Monza,ITA,2,1456.99890137,2020,2020/2021
None,Monza,ITA,2,1469.51501465,2021,2021/2022
10,Napoli,ITA,1,1823.27197266,2015,2015/2016
17,Napoli,ITA,1,1799.41760254,2016,2016/2017
12,Napoli,ITA,1,1876.14172363,2017,2017/2018
13,Napoli,ITA,1,1842.30175781,2018,2018/2019
23,Napoli,ITA,1,1781.41442871,2019,2019/2020
25,Napoli,ITA,1,1767.13208008,2020,2020/2021
20,Napoli,ITA,1,1810.83789062,2021,2021/2022
None,Novara,ITA,2,1466.35668945,2015,2015/2016
None,Novara,ITA,2,1426.04797363,2016,2016/2017
None,Novara,ITA,2,1415.2902832,2017,2017/2018
None,Novara,ITA,2,1374.30444336,2018,2018/2019
None,Padova,ITA,2,1314.36022949,2018,2018/2019
None,Padova,ITA,2,1323.29467773,2019,2019/2020
None,Palermo,ITA,1,1600.82739258,2015,2015/2016
None,Palermo,ITA,1,1494.35058594,2016,2016/2017
None,Palermo,ITA,2,1521.21179199,2017,2017/2018
None,Palermo,ITA,2,1526.03186035,2018,2018/2019
