Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%.1,Matches,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att.1,Thr,Launch%,AvgLen,Att.2,Launch%.1,AvgLen.1,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Gls,Ast,G-PK,PK,CrdY,CrdR,Gls.1,Ast.1,G+A,G-PK.1,G+A-PK,xG,npxG,xA,npxG+xA,xG.1,xA.1,xG+xA,npxG.1,npxG+xA.1,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off.1,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,Recov,Won,Lost,Won%,League Name,League ID,Season
Angelo da Costa JÃºnior,br BRA,GK,Bologna,it Serie A,33,1983,4,4,360,4.0,5,1.25,16,12,75.0,1,0,3,1,25.0,1,1,0,0,0.0,Matches,0,1,0,4.7,0.24,-0.3,-0.08,30,78,38.5,121,25,38.8,36.8,40,77.5,56.6,37,3,8.1,5,1.25,15.9,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,10.5,,4,0,,24,0.75,3,5,-2,-0.50,-0.21,5.0,5.4,-0.5,-0.12,+0.35,0,0,0,0,0,0,0,0,0,35,0,0,,Big-5-European-Leagues,Big5,2017-2018
Anthony Lopes,pt POR,GK,Lyon,fr Ligue 1,26,1990,34,34,3060,34.0,37,1.09,135,106,76.3,21,8,5,14,41.2,8,5,2,1,28.6,Matches,1,3,3,35.8,0.22,+1.8,+0.05,110,285,38.6,688,113,31.8,34.4,123,53.7,48.5,365,29,7.9,18,0.53,14.8,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,89.5,,34,0,,0,2.09,78,37,+41,+1.21,+0.46,61.3,34.6,+26.6,+0.78,+0.62,0,2,4,0,0,0,0,0,1,139,0,0,,Big-5-European-Leagues,Big5,2017-2018
Antonio AdÃ¡n,es ESP,GK,Betis,es La Liga,30,1987,30,30,2700,30.0,53,1.77,128,82,60.9,14,4,12,9,30.0,4,3,1,0,25.0,Matches,0,6,4,38.5,0.28,-10.5,-0.35,177,459,38.6,905,95,41.1,36.3,130,66.9,48.8,289,30,10.4,18,0.60,14.7,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.4,0.4,0.00,0.01,0.01,0.00,0.01,90,78.9,,30,0,,0,1.53,50,53,-3,-0.10,-0.35,31.2,42.0,-10.8,-0.36,-0.52,0,0,4,0,0,0,0,0,0,127,0,0,,Big-5-European-Leagues,Big5,2017-2018
Antonio Mirante,it ITA,GK,Bologna,it Serie A,34,1983,33,33,2970,33.0,46,1.39,143,100,69.2,10,5,18,7,21.2,3,2,0,1,0.0,Matches,1,5,3,41.6,0.28,-1.4,-0.04,372,715,52.0,922,139,53.5,42.7,289,76.8,54.0,403,28,6.9,31,0.94,15.1,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.00,0.00,0.00,0.00,0.00,90,86.8,,33,0,,0,1.06,36,46,-10,-0.30,+0.10,31.8,46.7,-14.9,-0.45,-0.09,0,5,1,0,0,0,0,0,0,215,1,0,100.0,Big-5-European-Leagues,Big5,2017-2018
Antonio Santurro,it ITA,GK,Bologna,it Serie A,25,1992,1,1,90,1.0,1,1.00,5,4,80.0,0,1,0,0,0.0,0,0,0,0,,Matches,0,0,0,2.1,0.42,+1.1,+1.08,10,33,30.3,29,3,69.0,54.2,13,100.0,62.0,14,0,0.0,1,1.00,10.9,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,2.6,,1,0,,13,1.00,1,1,0,0.00,+0.32,0.3,1.6,-1.3,-1.30,-0.88,0,0,0,0,0,0,0,0,0,15,0,0,,Big-5-European-Leagues,Big5,2017-2018
Antonio Sivera,es ESP,GK,AlavÃ©s,es La Liga,20,1996,1,1,60,0.7,1,1.50,2,2,50.0,0,0,0,0,0.0,0,0,0,0,,Matches,0,0,0,0.3,0.17,+0.3,+0.48,5,10,50.0,8,2,75.0,50.1,4,100.0,67.8,5,1,20.0,0,0.00,11.5,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,60,1.8,,0,0,,34,0.00,0,0,0,0.00,+0.27,0.0,0.5,-0.5,-0.73,-0.36,0,0,0,0,0,0,0,0,0,2,0,0,,Big-5-European-Leagues,Big5,2017-2018
Asier Riesgo,es ESP,GK,Eibar,es La Liga,33,1983,1,1,90,1.0,1,1.00,4,3,75.0,1,0,0,0,0.0,0,0,0,0,,Matches,0,1,0,1.6,0.40,+0.6,+0.62,10,28,35.7,19,1,100.0,60.3,9,100.0,67.3,16,3,18.8,0,0.00,7.0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,2.6,,1,0,,28,3.00,4,1,+3,+3.00,+3.24,1.7,2.1,-0.4,-0.40,-0.29,0,0,0,0,0,0,0,0,0,2,0,0,,Big-5-European-Leagues,Big5,2017-2018
Asmir BegoviÄ,ba BIH,GK,Bournemouth,eng Premier League,30,1987,38,38,3420,38.0,61,1.61,171,113,65.5,11,11,16,6,15.8,4,2,1,1,33.3,Matches,2,8,1,57.5,0.33,-2.5,-0.07,233,668,34.9,823,227,48.8,41.5,329,80.9,58.5,389,35,9.0,8,0.21,13.2,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,100.0,,38,0,,0,1.16,45,61,-16,-0.42,,44.8,61.4,-16.6,-0.44,,0,2,8,0,0,0,0,0,1,213,1,0,100.0,Big-5-European-Leagues,Big5,2017-2018
Axel Werner,ar ARG,GK,AtlÃ©tico Madrid,es La Liga,21,1996,1,1,90,1.0,0,0.00,3,3,100.0,1,0,0,1,100.0,0,0,0,0,,Matches,0,0,0,0.5,0.16,+0.5,+0.47,2,10,20.0,9,1,66.7,49.9,4,100.0,60.3,12,0,0.0,0,0.00,9.7,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,2.6,,1,0,,12,3.00,1,0,+1,+1.00,+0.05,2.6,0.9,+1.8,+1.77,+1.53,0,0,0,0,0,0,0,0,0,3,0,0,,Big-5-European-Leagues,Big5,2017-2018
Baptiste Reynet,fr FRA,GK,Dijon,fr Ligue 1,26,1990,38,38,3420,38.0,73,1.92,198,139,68.7,13,9,16,5,13.2,15,11,3,1,21.4,Matches,2,7,3,74.7,0.32,+4.7,+0.12,285,650,43.8,1153,171,45.8,40.2,182,67.0,52.6,446,47,10.5,48,1.26,16.9,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,100.0,,38,0,,0,1.26,55,73,-18,-0.47,,42.9,69.2,-26.3,-0.69,,0,3,7,0,0,1,0,0,0,215,0,0,,Big-5-European-Leagues,Big5,2017-2018
BartÅomiej DrÄgowski,pl POL,GK,Fiorentina,it Serie A,19,1997,3,1,217,2.4,8,3.32,18,10,55.6,0,0,2,0,0.0,0,0,0,0,,Matches,1,1,0,5.9,0.36,-2.1,-0.86,9,26,34.6,35,5,57.1,46.8,8,75.0,55.6,20,1,5.0,1,0.42,14.5,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,72,6.3,,1,2,,33,0.00,3,8,-5,-2.07,-2.44,2.2,3.7,-1.6,-0.65,-1.10,0,3,2,0,0,0,0,0,0,8,0,0,,Big-5-European-Leagues,Big5,2017-2018
Ben Foster,eng ENG,GK,West Brom,eng Premier League,34,1983,37,37,3330,37.0,55,1.49,152,98,64.5,6,12,19,10,27.0,1,1,0,0,0.0,Matches,3,9,1,48.8,0.32,-5.2,-0.14,346,925,37.4,797,74,75.7,54.3,337,95.5,70.5,436,29,6.7,19,0.51,14.0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,97.4,,37,0,,0,0.81,30,55,-25,-0.68,-0.68,34.3,47.6,-13.4,-0.36,+0.36,0,1,4,0,0,0,0,0,0,178,0,0,,Big-5-European-Leagues,Big5,2017-2018
