player,season,league,team,position,outfielder_goalkeeper,age,country,weekly_gross_base_salary_gbp,annual_gross_base_salary_gbp,adj_current_gross_base_salary_gbp,estimated_gross_total_gbp,current_contract_status,current_contract_expiration,current_contract_length
Ivan Obradovic,2015-2016,Belgian First Division A,Anderlecht,Defender,Outfielder,26,Serbia,8676,451165,480506,,nan,,
Kara,2015-2016,Belgian First Division A,Anderlecht,Defender,Outfielder,25,Senegal,11568,601554,640675,,nan,,
Leander Dendoncker,2015-2016,Belgian First Division A,Anderlecht,Midfielder,Outfielder,20,Belgium,8676,451165,480506,,nan,,
Liam Bossin,2015-2016,Belgian First Division A,Anderlecht,Goalkeeper,Goalkeeper,18,Ireland,571,29717,31650,,nan,,
Matías Suárez,2015-2016,Belgian First Division A,Anderlecht,Forward,Outfielder,27,Argentina,15481,805073,857431,,nan,,
Maxime Colin,2015-2016,Belgian First Division A,Anderlecht,Defender,Outfielder,23,France,0,0,0,,nan,,
Michaël Heylen,2015-2016,Belgian First Division A,Anderlecht,Defender,Outfielder,21,Belgium,2892,150388,160169,,nan,,
Nathan Kabasele,2015-2016,Belgian First Division A,Anderlecht,Forward,Outfielder,21,Belgium,0,0,0,,nan,,
Nathan de Medina,2015-2016,Belgian First Division A,Anderlecht,Defender,Outfielder,17,Belgium,571,29717,31650,,nan,,
Olivier Deschacht,2015-2016,Belgian First Division A,Anderlecht,Defender,Outfielder,34,Belgium,11568,601554,640675,,nan,,
Oswal Álvarez,2015-2016,Belgian First Division A,Anderlecht,Forward,Outfielder,20,Colombia,1159,60335,64259,,nan,,
Rafael Galhardo,2015-2016,Belgian First Division A,Anderlecht,Defender,Outfielder,23,Brazil,0,0,0,,nan,,
Silvio Proto,2015-2016,Belgian First Division A,Anderlecht,Goalkeeper,Goalkeeper,32,Belgium,11568,601554,640675,,nan,,
Stefano Okaka,2015-2016,Belgian First Division A,Anderlecht,Forward,Outfielder,25,Italy,15049,782560,833454,,nan,,
Steven Defour,2015-2016,Belgian First Division A,Anderlecht,Midfielder,Outfielder,27,Belgium,16781,872613,929363,,nan,,
Stéphane Badji,2015-2016,Belgian First Division A,Anderlecht,Midfielder,Outfielder,25,Senegal,2892,150388,160169,,nan,,
Trezeguet,2015-2016,Belgian First Division A,Anderlecht,Forward,Outfielder,20,Egypt,1956,101759,108377,,nan,,
Youri Tielemans,2015-2016,Belgian First Division A,Anderlecht,Midfielder,Outfielder,18,Belgium,16209,842896,897713,,nan,,
Adrian Adam,2015-2016,Belgian First Division A,Charleroi,Midfielder,Outfielder,20,France,0,0,0,,nan,,
Amara Baby,2015-2016,Belgian First Division A,Charleroi,Forward,Outfielder,26,Senegal,2424,126074,134273,,nan,,
Benjamin Boulenger,2015-2016,Belgian First Division A,Charleroi,Defender,Outfielder,25,France,1177,61236,65218,,nan,,
Christophe Diandy,2015-2016,Belgian First Division A,Charleroi,Midfielder,Outfielder,24,Senegal,1437,74743,79605,,nan,,
Clinton Mata,2015-2016,Belgian First Division A,Charleroi,Defender,Outfielder,22,Angola,571,29717,31650,,nan,,
Clément Tainmont,2015-2016,Belgian First Division A,Charleroi,Forward,Outfielder,29,France,2026,105362,112214,,nan,,
Cristian Benavente,2015-2016,Belgian First Division A,Charleroi,Midfielder,Outfielder,21,Peru,1628,84649,90154,,nan,,
Damien Marcq,2015-2016,Belgian First Division A,Charleroi,Midfielder,Outfielder,26,France,1731,90053,95909,,nan,,
David Pollet,2015-2016,Belgian First Division A,Charleroi,Forward,Outfielder,26,Belgium,3463,180106,191819,,nan,,
Dieumerci Ndongala,2015-2016,Belgian First Division A,Charleroi,Forward,Outfielder,24,Democratic Republic of the Congo,1159,60335,64259,,nan,,
Dorian Dessoleil,2015-2016,Belgian First Division A,Charleroi,Defender,Outfielder,22,Belgium,866,45026,47955,,nan,,
Enes Saglik,2015-2016,Belgian First Division A,Charleroi,Midfielder,Outfielder,23,Belgium,866,45026,47955,,nan,,
Florent Stevance,2015-2016,Belgian First Division A,Charleroi,Forward,Outfielder,26,France,571,29717,31650,,nan,,
Francis N'Ganga,2015-2016,Belgian First Division A,Charleroi,Defender,Outfielder,30,The Congo,1437,74743,79605,,nan,,
Gjoko Zajkov,2015-2016,Belgian First Division A,Charleroi,Defender,Outfielder,20,North Macedonia,917,47728,50832,,nan,,
Gregoire Martin,2015-2016,Belgian First Division A,Charleroi,Midfielder,Outfielder,19,Belgium,0,0,0,,nan,,
Guillaume François,2015-2016,Belgian First Division A,Charleroi,Defender,Outfielder,25,Belgium,1159,60335,64259,,nan,,
Habib Daf,2015-2016,Belgian First Division A,Charleroi,Midfielder,Outfielder,21,Senegal,0,0,0,,nan,,
Javi Martos,2015-2016,Belgian First Division A,Charleroi,Defender,Outfielder,31,Spain,1159,60335,64259,,nan,,
Jessy Gálvez López,2015-2016,Belgian First Division A,Charleroi,Forward,Outfielder,19,Belgium,0,0,0,,nan,,
Jérémy Perbet,2015-2016,Belgian First Division A,Charleroi,Forward,Outfielder,30,France,13091,680800,725076,,nan,,
Karel Geraerts,2015-2016,Belgian First Division A,Charleroi,Midfielder,Outfielder,33,Belgium,1731,90053,95909,,nan,,
Louka Franco,2015-2016,Belgian First Division A,Charleroi,Midfielder,Outfielder,17,Belgium,0,0,0,,nan,,
Neeskens Kebano,2015-2016,Belgian First Division A,Charleroi,Midfielder,Outfielder,23,Democratic Republic of the Congo,7238,376421,400901,,nan,,
Nicolas Penneteau,2015-2016,Belgian First Division A,Charleroi,Goalkeeper,Goalkeeper,34,France,5316,276462,294442,,nan,,
Parfait Mandanda,2015-2016,Belgian First Division A,Charleroi,Goalkeeper,Goalkeeper,25,Democratic Republic of the Congo,2320,120671,128519,,nan,,
Roman Ferber,2015-2016,Belgian First Division A,Charleroi,Forward,Outfielder,22,Belgium,571,29717,31650,,nan,,
Sotiris Ninis,2015-2016,Belgian First Division A,Charleroi,Midfielder,Outfielder,25,Greece,2892,150388,160169,,nan,,
Steeven Willems,2015-2016,Belgian First Division A,Charleroi,Defender,Outfielder,24,France,866,45026,47955,,nan,,
Stergos Marinos,2015-2016,Belgian First Division A,Charleroi,Defender,Outfielder,27,Greece,1731,90053,95909,,nan,,
Sébastien Dewaest,2015-2016,Belgian First Division A,Charleroi,Defender,Outfielder,24,Belgium,7238,376421,400901,,nan,,
Valentin Baume,2015-2016,Belgian First Division A,Charleroi,Goalkeeper,Goalkeeper,18,Belgium,433,22513,23977,,nan,,
Abdoulay Diaby,2015-2016,Belgian First Division A,Club Brugges,Forward,Outfielder,24,Mali,7238,376421,400901,,nan,,
Benoît Poulain,2015-2016,Belgian First Division A,Club Brugges,Defender,Outfielder,27,France,5784,300777,320338,,nan,,
Bernie Ibini-Isei,2015-2016,Belgian First Division A,Club Brugges,Forward,Outfielder,22,Australia,0,0,0,,nan,,
Björn Engels,2015-2016,Belgian First Division A,Club Brugges,Defender,Outfielder,20,Belgium,10425,542119,577375,,nan,,
Boli Bolingoli,2015-2016,Belgian First Division A,Club Brugges,Defender,Outfielder,20,Belgium,2892,150388,160169,,nan,,
Brandon Mechele,2015-2016,Belgian First Division A,Club Brugges,Defender,Outfielder,22,Belgium,4624,240441,256078,,nan,,
Claudemir,2015-2016,Belgian First Division A,Club Brugges,Midfielder,Outfielder,27,Brazil,2874,149487,159210,,nan,,
Davy De fauw,2015-2016,Belgian First Division A,Club Brugges,Defender,Outfielder,33,Belgium,5784,300777,320338,,nan,,
Dion Cools,2015-2016,Belgian First Division A,Club Brugges,Defender,Outfielder,19,Belgium,2026,105362,112214,,nan,,
Dylan Seys,2015-2016,Belgian First Division A,Club Brugges,Forward,Outfielder,18,Belgium,0,0,0,,nan,,
Felipe Gedoz,2015-2016,Belgian First Division A,Club Brugges,Forward,Outfielder,21,Brazil,571,29717,31650,,nan,,
Fran Brodic,2015-2016,Belgian First Division A,Club Brugges,Forward,Outfielder,18,Croatia,1159,60335,64259,,nan,,
Hans Vanaken,2015-2016,Belgian First Division A,Club Brugges,Midfielder,Outfielder,22,Belgium,11568,601554,640675,,nan,,
Jean-Charles Castelletto,2015-2016,Belgian First Division A,Club Brugges,Defender,Outfielder,20,Cameroon,0,0,0,,nan,,
Jelle Vossen,2015-2016,Belgian First Division A,Club Brugges,Forward,Outfielder,26,Belgium,17369,903231,961973,,nan,,
Jens Teunckens,2015-2016,Belgian First Division A,Club Brugges,Goalkeeper,Goalkeeper,17,Belgium,52,2701,2877,,nan,,
José Izquierdo,2015-2016,Belgian First Division A,Club Brugges,Forward,Outfielder,22,Colombia,571,29717,31650,,nan,,
Laurens De Bock,2015-2016,Belgian First Division A,Club Brugges,Defender,Outfielder,22,Belgium,9264,481783,513115,,nan,,
Leandro Pereira,2015-2016,Belgian First Division A,Club Brugges,Forward,Outfielder,23,Brazil,11568,601554,640675,,nan,,
Lennert De Smul,2015-2016,Belgian First Division A,Club Brugges,Defender,Outfielder,19,Belgium,294,15309,16304,,nan,,
Lior Refaelov,2015-2016,Belgian First Division A,Club Brugges,Midfielder,Outfielder,29,Israel,11568,601554,640675,,nan,,
Ludovic Butelle,2015-2016,Belgian First Division A,Club Brugges,Goalkeeper,Goalkeeper,32,France,12590,654685,697262,,nan,,
Michaël Cordier,2015-2016,Belgian First Division A,Club Brugges,Goalkeeper,Goalkeeper,31,Belgium,2026,105362,112214,,nan,,
Mikel Agu,2015-2016,Belgian First Division A,Club Brugges,Midfielder,Outfielder,22,Nigeria,1159,60335,64259,,nan,,
Mushaga Bakenga,2015-2016,Belgian First Division A,Club Brugges,Forward,Outfielder,22,Norway,0,0,0,,nan,,
Nikola Storm,2015-2016,Belgian First Division A,Club Brugges,Forward,Outfielder,20,Belgium,2892,150388,160169,,nan,,
Obbi Oulare,2015-2016,Belgian First Division A,Club Brugges,Forward,Outfielder,19,Belgium,0,0,0,,nan,,
Ruud Vormer,2015-2016,Belgian First Division A,Club Brugges,Midfielder,Outfielder,27,Netherlands,12728,661889,704934,,nan,,
Sander Coopman,2015-2016,Belgian First Division A,Club Brugges,Midfielder,Outfielder,20,Belgium,866,45026,47955,,nan,,
Sinan Bolat,2015-2016,Belgian First Division A,Club Brugges,Goalkeeper,Goalkeeper,26,Turkey,2026,105362,112214,,nan,,
Stefano Denswil,2015-2016,Belgian First Division A,Club Brugges,Defender,Outfielder,22,Netherlands,2788,144985,154414,,nan,,
Sébastien Bruzzese,2015-2016,Belgian First Division A,Club Brugges,Goalkeeper,Goalkeeper,26,Belgium,3757,195415,208123,,nan,,
Thomas Meunier,2015-2016,Belgian First Division A,Club Brugges,Defender,Outfielder,23,Belgium,13888,722225,769194,,nan,,
Timmy Simons,2015-2016,Belgian First Division A,Club Brugges,Midfielder,Outfielder,38,Belgium,14477,752843,801803,,nan,,
Tom De Sutter,2015-2016,Belgian First Division A,Club Brugges,Forward,Outfielder,29,Belgium,0,0,0,,nan,,
Tuur Dierckx,2015-2016,Belgian First Division A,Club Brugges,Forward,Outfielder,20,Belgium,2026,105362,112214,,nan,,
Víctor Vázquez,2015-2016,Belgian First Division A,Club Brugges,Midfielder,Outfielder,28,Spain,0,0,0,,nan,,
Wesley,2015-2016,Belgian First Division A,Club Brugges,Forward,Outfielder,18,Brazil,1159,60335,64259,,nan,,
Yannick Reuten,2015-2016,Belgian First Division A,Club Brugges,Midfielder,Outfielder,20,Belgium,0,0,0,,nan,,
Óscar Duarte,2015-2016,Belgian First Division A,Club Brugges,Defender,Outfielder,26,Costa Rica,0,0,0,,nan,,
Anice Badri,2015-2016,Belgian First Division A,Excel Mouscron,Forward,Outfielder,24,Tunisia,1039,54031,57545,,nan,,
Aristote Nkaka,2015-2016,Belgian First Division A,Excel Mouscron,Midfielder,Outfielder,19,Belgium,0,0,0,,nan,,
Benjamin Van Durmen,2015-2016,Belgian First Division A,Excel Mouscron,Midfielder,Outfielder,18,Belgium,225,11706,12467,,nan,,
Corentin Koçur,2015-2016,Belgian First Division A,Excel Mouscron,Midfielder,Outfielder,19,Belgium,225,11706,12467,,nan,,
Cristian Manea,2015-2016,Belgian First Division A,Excel Mouscron,Defender,Outfielder,17,Romania,4052,210724,224428,,nan,,
David Hubert,2015-2016,Belgian First Division A,Excel Mouscron,Midfielder,Outfielder,27,Belgium,4052,210724,224428,,nan,,
Dimitri Mohamed,2015-2016,Belgian First Division A,Excel Mouscron,Midfielder,Outfielder,26,France,571,29717,31650,,nan,,
Elimane Coulibaly,2015-2016,Belgian First Division A,Excel Mouscron,Forward,Outfielder,35,Senegal,2199,114367,121804,,nan,,
Emir Dautovic,2015-2016,Belgian First Division A,Excel Mouscron,Defender,Outfielder,20,Slovenia,0,0,0,,nan,,
Fabrice Olinga,2015-2016,Belgian First Division A,Excel Mouscron,Forward,Outfielder,19,Cameroon,1159,60335,64259,,nan,,
Fejsal Mulic,2015-2016,Belgian First Division A,Excel Mouscron,Forward,Outfielder,20,Serbia,2320,120671,128519,,nan,,
Filip Marković,2015-2016,Belgian First Division A,Excel Mouscron,Forward,Outfielder,23,Serbia,0,0,0,,nan,,
François Marquet,2015-2016,Belgian First Division A,Excel Mouscron,Midfielder,Outfielder,20,Belgium,398,20712,22059,,nan,,
Frédéric Maciel,2015-2016,Belgian First Division A,Excel Mouscron,Forward,Outfielder,21,Portugal,1628,84649,90154,,nan,,
Jean-Charles Castelletto,2015-2016,Belgian First Division A,Excel Mouscron,Defender,Outfielder,20,Cameroon,0,0,0,,nan,,
Julian Michel,2015-2016,Belgian First Division A,Excel Mouscron,Midfielder,Outfielder,23,France,571,29717,31650,,nan,,
Jérémy Houzé,2015-2016,Belgian First Division A,Excel Mouscron,Forward,Outfielder,18,Belgium,571,29717,31650,,nan,,
Kevin Tapoko,2015-2016,Belgian First Division A,Excel Mouscron,Midfielder,Outfielder,21,France,0,0,0,,nan,,
Luigi Vaccaro,2015-2016,Belgian First Division A,Excel Mouscron,Midfielder,Outfielder,24,Belgium,467,24314,25895,,nan,,
Maksym Bah,2015-2016,Belgian First Division A,Excel Mouscron,Forward,Outfielder,17,Belgium,0,0,0,,nan,,
Marin Jakolis,2015-2016,Belgian First Division A,Excel Mouscron,Forward,Outfielder,18,Croatia,0,0,0,,nan,,
Marko Pavlovski,2015-2016,Belgian First Division A,Excel Mouscron,Midfielder,Outfielder,21,Serbia,0,0,0,,nan,,
Marko Scepovic,2015-2016,Belgian First Division A,Excel Mouscron,Forward,Outfielder,24,Serbia,7654,398034,423919,,nan,,
Melvin Neves,2015-2016,Belgian First Division A,Excel Mouscron,Midfielder,Outfielder,19,France,259,13507,14386,,nan,,
Mickaël Tirpan,2015-2016,Belgian First Division A,Excel Mouscron,Defender,Outfielder,21,Belgium,0,0,0,,nan,,
Mustapha Oussalah,2015-2016,Belgian First Division A,Excel Mouscron,Defender,Outfielder,33,Belgium,4052,210724,224428,,nan,,
Nikola Aksentijevic,2015-2016,Belgian First Division A,Excel Mouscron,Defender,Outfielder,22,Serbia,709,36921,39322,,nan,,
Nikola Gulan,2015-2016,Belgian First Division A,Excel Mouscron,Defender,Outfielder,26,Serbia,866,45026,47955,,nan,,
Noë Dussenne,2015-2016,Belgian First Division A,Excel Mouscron,Defender,Outfielder,23,Belgium,0,0,0,,nan,,
Ofir Marciano,2015-2016,Belgian First Division A,Excel Mouscron,Goalkeeper,Goalkeeper,25,Israel,1247,64838,69054,,nan,,
Pieter-Jan Monteyne,2015-2016,Belgian First Division A,Excel Mouscron,Defender,Outfielder,32,Belgium,1437,74743,79605,,nan,,
Selim Amallah,2015-2016,Belgian First Division A,Excel Mouscron,Midfielder,Outfielder,18,Morocco,346,18010,19182,,nan,,
Teddy Mézague,2015-2016,Belgian First Division A,Excel Mouscron,Defender,Outfielder,25,France,1159,60335,64259,,nan,,
Thibault Peyre,2015-2016,Belgian First Division A,Excel Mouscron,Defender,Outfielder,22,France,0,0,0,,nan,,
Thibaut Rausin,2015-2016,Belgian First Division A,Excel Mouscron,Goalkeeper,Goalkeeper,22,Belgium,467,24314,25895,,nan,,
Théo Defourny,2015-2016,Belgian First Division A,Excel Mouscron,Goalkeeper,Goalkeeper,23,Belgium,433,22513,23977,,nan,,
Tozé Marreco,2015-2016,Belgian First Division A,Excel Mouscron,Forward,Outfielder,27,Portugal,0,0,0,,nan,,
Tristan Dingomé,2015-2016,Belgian First Division A,Excel Mouscron,Midfielder,Outfielder,24,Cameroon,1159,60335,64259,,nan,,
Vagner,2015-2016,Belgian First Division A,Excel Mouscron,Goalkeeper,Goalkeeper,29,Brazil,0,0,0,,nan,,
Valentín Viola,2015-2016,Belgian First Division A,Excel Mouscron,Forward,Outfielder,23,Argentina,2892,150388,160169,,nan,,
Yahya Boumediene,2015-2016,Belgian First Division A,Excel Mouscron,Forward,Outfielder,25,Belgium,0,0,0,,nan,,
Alejandro Pozuelo,2015-2016,Belgian First Division A,Genk,Midfielder,Outfielder,23,Spain,2840,147686,157291,,nan,,
Aleksandar Cavric,2015-2016,Belgian First Division A,Genk,Forward,Outfielder,21,Serbia,0,0,0,,nan,,
Alessandro Ciranni,2015-2016,Belgian First Division A,Genk,Defender,Outfielder,19,Belgium,0,0,0,,nan,,
Anele Ngcongca,2015-2016,Belgian First Division A,Genk,Defender,Outfielder,27,South Africa,0,0,0,,nan,,
Bennard Kumordzi,2015-2016,Belgian First Division A,Genk,Midfielder,Outfielder,30,Ghana,5784,300777,320338,,nan,,
Brian Hamalainen,2015-2016,Belgian First Division A,Genk,Defender,Outfielder,26,Denmark,6373,331395,352947,,nan,,
Bryan Heynen,2015-2016,Belgian First Division A,Genk,Midfielder,Outfielder,18,Belgium,380,19811,21100,,nan,,
Christian Kabasele,2015-2016,Belgian First Division A,Genk,Defender,Outfielder,24,Belgium,2026,105362,112214,,nan,,
Derrick Tshimanga,2015-2016,Belgian First Division A,Genk,Defender,Outfielder,26,Belgium,8104,421448,448856,,nan,,
Dries Wouters,2015-2016,Belgian First Division A,Genk,Midfielder,Outfielder,18,Belgium,398,20712,22059,,nan,,
Enes Ünal,2015-2016,Belgian First Division A,Genk,Forward,Outfielder,18,Turkey,0,0,0,,nan,,
Gaëtan Coucke,2015-2016,Belgian First Division A,Genk,Goalkeeper,Goalkeeper,16,Belgium,0,0,0,,nan,,
Igor de Camargo,2015-2016,Belgian First Division A,Genk,Forward,Outfielder,32,Belgium,10130,526810,561070,,nan,,
Jere Uronen,2015-2016,Belgian First Division A,Genk,Defender,Outfielder,20,Finland,3324,172901,184146,,nan,,
Julien Gorius,2015-2016,Belgian First Division A,Genk,Midfielder,Outfielder,30,France,8971,466474,496811,,nan,,
Kara,2015-2016,Belgian First Division A,Genk,Defender,Outfielder,25,Senegal,11568,601554,640675,,nan,,
Kim Ojo,2015-2016,Belgian First Division A,Genk,Forward,Outfielder,26,Nigeria,2320,120671,128519,,nan,,
Leon Bailey,2015-2016,Belgian First Division A,Genk,Forward,Outfielder,17,Jamaica,1039,54031,57545,,nan,,
Luka Zarandia,2015-2016,Belgian First Division A,Genk,Forward,Outfielder,19,Georgia,1159,60335,64259,,nan,,
László Köteles,2015-2016,Belgian First Division A,Genk,Goalkeeper,Goalkeeper,30,Hungary,2892,150388,160169,,nan,,
Marco Bizot,2015-2016,Belgian First Division A,Genk,Goalkeeper,Goalkeeper,24,Netherlands,5784,300777,320338,,nan,,
Mbwana Samatta,2015-2016,Belgian First Division A,Genk,Forward,Outfielder,22,Tanzania,3394,176503,187982,,nan,,
Neeskens Kebano,2015-2016,Belgian First Division A,Genk,Midfielder,Outfielder,23,Democratic Republic of the Congo,7238,376421,400901,,nan,,
Nikolaos Karelis,2015-2016,Belgian First Division A,Genk,Forward,Outfielder,23,Greece,0,0,0,,nan,,
Nordin Jackers,2015-2016,Belgian First Division A,Genk,Goalkeeper,Goalkeeper,17,Belgium,467,24314,25895,,nan,,
Paolino Bertaccini,2015-2016,Belgian First Division A,Genk,Forward,Outfielder,17,Belgium,571,29717,31650,,nan,,
Pieter Gerkens,2015-2016,Belgian First Division A,Genk,Midfielder,Outfielder,20,Belgium,1177,61236,65218,,nan,,
Ruslan Malinovskyi,2015-2016,Belgian First Division A,Genk,Midfielder,Outfielder,22,Ukraine,6476,336798,358701,,nan,,
Sandy Walsh,2015-2016,Belgian First Division A,Genk,Defender,Outfielder,20,Netherlands,1437,74743,79605,,nan,,
Sekou Cissé,2015-2016,Belgian First Division A,Genk,Forward,Outfielder,30,Cote d'Ivoire,0,0,0,,nan,,
Siebe Schrijvers,2015-2016,Belgian First Division A,Genk,Forward,Outfielder,18,Belgium,2892,150388,160169,,nan,,
Sébastien Dewaest,2015-2016,Belgian First Division A,Genk,Defender,Outfielder,24,Belgium,7238,376421,400901,,nan,,
Thomas Buffel,2015-2016,Belgian First Division A,Genk,Forward,Outfielder,34,Belgium,4624,240441,256078,,nan,,
Timothy Castagne,2015-2016,Belgian First Division A,Genk,Defender,Outfielder,19,Belgium,1731,90053,95909,,nan,,
Tornike Okriashvili,2015-2016,Belgian First Division A,Genk,Midfielder,Outfielder,23,Georgia,0,0,0,,nan,,
Wilfred Ndidi,2015-2016,Belgian First Division A,Genk,Midfielder,Outfielder,18,Nigeria,1039,54031,57545,,nan,,
Yoni Buyens,2015-2016,Belgian First Division A,Genk,Midfielder,Outfielder,27,Belgium,4346,226033,240733,,nan,,
Alexis Scholl,2015-2016,Belgian First Division A,Gent,Defender,Outfielder,19,Belgium,571,29717,31650,,nan,,
Benito Raman,2015-2016,Belgian First Division A,Gent,Forward,Outfielder,20,Belgium,2026,105362,112214,,nan,,
Brecht Dejaegere,2015-2016,Belgian First Division A,Gent,Midfielder,Outfielder,24,Belgium,4052,210724,224428,,nan,,
Brian Vandenbussche,2015-2016,Belgian First Division A,Gent,Goalkeeper,Goalkeeper,33,Belgium,4052,210724,224428,,nan,,
Danijel Milicevic,2015-2016,Belgian First Division A,Gent,Midfielder,Outfielder,29,Bosnia-Herzegovina,9438,490788,522707,,nan,,
Erik Berg,2015-2016,Belgian First Division A,Gent,Defender,Outfielder,26,Sweden,0,0,0,,nan,,
Gustav Wikheim,2015-2016,Belgian First Division A,Gent,Forward,Outfielder,22,Norway,4346,226033,240733,,nan,,
Hannes Van der Bruggen,2015-2016,Belgian First Division A,Gent,Midfielder,Outfielder,22,Belgium,4052,210724,224428,,nan,,
Hatem Abd Elhamed,2015-2016,Belgian First Division A,Gent,Defender,Outfielder,24,Israel,1731,90053,95909,,nan,,
Kalifa Coulibaly,2015-2016,Belgian First Division A,Gent,Forward,Outfielder,23,Mali,1437,74743,79605,,nan,,
Kenny Saief,2015-2016,Belgian First Division A,Gent,Midfielder,Outfielder,21,United States,2770,144084,153455,,nan,,
Lasse Nielsen,2015-2016,Belgian First Division A,Gent,Defender,Outfielder,27,Denmark,4346,226033,240733,,nan,,
Laurent Depoitre,2015-2016,Belgian First Division A,Gent,Forward,Outfielder,26,Belgium,2892,150388,160169,,nan,,
Lucas Deaux,2015-2016,Belgian First Division A,Gent,Midfielder,Outfielder,26,France,6650,345803,368292,,nan,,
Marko Poletanovic,2015-2016,Belgian First Division A,Gent,Midfielder,Outfielder,21,Serbia,1991,103560,110296,,nan,,
Matz Sels,2015-2016,Belgian First Division A,Gent,Goalkeeper,Goalkeeper,23,Belgium,4624,240441,256078,,nan,,
Moses Simon,2015-2016,Belgian First Division A,Gent,Forward,Outfielder,19,Nigeria,7238,376421,400901,,nan,,
Moubarak Boussoufa,2015-2016,Belgian First Division A,Gent,Midfielder,Outfielder,30,Morocco,0,0,0,,nan,,
Nana Asare,2015-2016,Belgian First Division A,Gent,Defender,Outfielder,28,Ghana,6650,345803,368292,,nan,,
Nicklas Pedersen,2015-2016,Belgian First Division A,Gent,Forward,Outfielder,27,Denmark,4624,240441,256078,,nan,,
Peter Olayinka,2015-2016,Belgian First Division A,Gent,Forward,Outfielder,19,Nigeria,1264,65738,70014,,nan,,
Rafinha,2015-2016,Belgian First Division A,Gent,Defender,Outfielder,33,Brazil,2892,150388,160169,,nan,,
Rami Gershon,2015-2016,Belgian First Division A,Gent,Defender,Outfielder,26,Israel,4052,210724,224428,,nan,,
Renato Neto,2015-2016,Belgian First Division A,Gent,Midfielder,Outfielder,23,Brazil,4624,240441,256078,,nan,,
Rob Schoofs,2015-2016,Belgian First Division A,Gent,Midfielder,Outfielder,21,Belgium,866,45026,47955,,nan,,
Serge Tabekou,2015-2016,Belgian First Division A,Gent,Forward,Outfielder,18,Cameroon,0,0,0,,nan,,
Simon Diédhiou,2015-2016,Belgian First Division A,Gent,Forward,Outfielder,23,Senegal,0,0,0,,nan,,
Stefan Mitrovic,2015-2016,Belgian First Division A,Gent,Defender,Outfielder,25,Serbia,4918,255750,272383,,nan,,
Sven Kums,2015-2016,Belgian First Division A,Gent,Midfielder,Outfielder,27,Belgium,12451,647481,689589,,nan,,
Thomas Foket,2015-2016,Belgian First Division A,Gent,Defender,Outfielder,20,Belgium,571,29717,31650,,nan,,
Thomas Matton,2015-2016,Belgian First Division A,Gent,Midfielder,Outfielder,29,Belgium,2598,135079,143864,,nan,,
Uros Vitas,2015-2016,Belgian First Division A,Gent,Defender,Outfielder,22,Serbia,1159,60335,64259,,nan,,
Yannick Thoelen,2015-2016,Belgian First Division A,Gent,Goalkeeper,Goalkeeper,24,Belgium,571,29717,31650,,nan,,
