Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%.1,Matches,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att.1,Thr,Launch%,AvgLen,Att.2,Launch%.1,AvgLen.1,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Gls,Ast,G-PK,PK,CrdY,CrdR,Gls.1,Ast.1,G+A,G-PK.1,G+A-PK,xG,npxG,xA,npxG+xA,xG.1,xA.1,xG+xA,npxG.1,npxG+xA.1,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off.1,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,Recov,Won,Lost,Won%,League Name,League ID,Season
57,Åukasz FabiaÅski,pl POL,GK,West Ham,eng Premier League,33,1985,38,38,3420,38.0,55,1.45,192,140,73.4,15,7,16,7,18.4,5,4,1,0,20.0,Matches,0,10,1,65.4,0.33,+11.4,+0.30,323,871,37.1,928,155,62.9,49.4,308,93.2,68.2,367,36,9.8,17,0.45,13.5,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.2,0.00,0.00,0.00,0.00,0.00,90,100.0,90,38,0,,0,1.37,52,55,-3,-0.08,,48.2,62.0,-13.8,-0.36,,0,0,6,0,0,0,0,0,0,200,0,0,,Big-5-European-Leagues,Big5,2018-2019
58,Fabricio,es ESP,GK,Fulham,eng Premier League,30,1987,2,2,180,2.0,5,2.50,22,16,77.3,0,0,2,0,0.0,0,0,0,0,,Matches,1,0,0,7.2,0.33,+2.2,+1.10,16,29,55.2,47,14,42.6,38.6,14,64.3,41.5,18,0,0.0,2,1.00,14.4,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,5.3,90,2,0,,17,0.00,1,5,-4,-2.00,-0.81,1.8,4.2,-2.3,-1.15,-0.49,0,0,1,0,0,0,0,0,0,12,0,0,,Big-5-European-Leagues,Big5,2018-2019
59,Ralf FÃ¤hrmann,de GER,GK,Schalke 04,de Bundesliga,29,1988,17,16,1469,16.3,26,1.59,80,57,70.0,4,3,9,3,18.8,2,2,0,0,0.0,Matches,1,4,1,25.4,0.32,+0.4,+0.03,114,256,44.5,396,68,46.2,40.6,118,61.9,49.4,138,12,8.7,15,0.92,17.2,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.00,0.00,0.00,0.00,86,48.0,90,16,1,29,9,0.88,18,26,-8,-0.49,+0.08,21.7,24.1,-2.4,-0.15,+0.08,0,0,0,0,0,0,0,0,0,64,0,0,,Big-5-European-Leagues,Big5,2018-2019
60,Aitor FernÃ¡ndez,es ESP,GK,Levante,es La Liga,27,1991,16,16,1440,16.0,24,1.50,74,56,73.0,4,5,7,2,12.5,4,4,0,0,0.0,Matches,0,4,2,23.1,0.27,+1.1,+0.07,104,282,36.9,292,74,56.5,44.3,163,71.8,53.1,142,8,5.6,9,0.56,13.4,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,42.1,90,16,0,,21,1.06,25,24,+1,+0.06,+0.43,19.0,23.2,-4.2,-0.26,+0.36,0,0,4,0,0,0,0,0,0,91,0,0,,Big-5-European-Leagues,Big5,2018-2019
61,AndrÃ©s FernÃ¡ndez,es ESP,GK,Villarreal,es La Liga,31,1986,6,6,540,6.0,7,1.17,22,16,72.7,3,2,1,2,33.3,1,1,0,0,0.0,Matches,0,1,0,8.6,0.34,+1.6,+0.26,52,105,49.5,138,18,51.4,42.2,49,69.4,50.3,70,5,7.1,6,1.00,14.9,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,15.8,90,6,0,,32,1.83,9,7,+2,+0.33,+0.49,6.0,8.0,-2.0,-0.33,-0.30,0,0,0,0,0,0,0,0,0,27,0,0,,Big-5-European-Leagues,Big5,2018-2019
62,Mark Flekken,nl NED,GK,Freiburg,de Bundesliga,25,1993,1,1,90,1.0,1,1.00,5,4,80.0,1,0,0,0,0.0,0,0,0,0,,Matches,0,0,0,0.9,0.17,-0.1,-0.15,8,13,61.5,24,1,41.7,37.2,5,60.0,53.6,3,0,0.0,0,0.00,13.0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,2.9,90,1,0,,27,3.00,5,1,+4,+4.00,+4.58,1.2,0.9,+0.3,+0.28,+0.69,0,0,0,0,0,0,0,0,0,1,0,0,,Big-5-European-Leagues,Big5,2018-2019
63,Fraser Forster,eng ENG,GK,Southampton,eng Premier League,30,1988,1,1,90,1.0,3,3.00,6,3,50.0,0,0,1,0,0.0,0,0,0,0,,Matches,0,0,0,1.9,0.32,-1.1,-1.08,5,18,27.8,16,4,68.8,47.9,7,100.0,74.3,4,0,0.0,0,0.00,10.0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,2.6,90,1,0,,4,0.00,0,3,-3,-3.00,-2.54,0.4,1.8,-1.4,-1.36,-1.15,0,0,0,0,0,0,0,0,0,2,0,0,,Big-5-European-Leagues,Big5,2018-2019
64,Ben Foster,eng ENG,GK,Watford,eng Premier League,35,1983,38,38,3420,38.0,59,1.55,170,114,67.6,14,8,16,7,18.4,5,4,1,0,20.0,Matches,2,7,3,56.3,0.32,+0.3,+0.01,366,979,37.4,944,106,73.7,52.8,307,92.2,68.2,380,35,9.2,48,1.26,15.7,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.3,0.4,0.00,0.01,0.01,0.00,0.01,90,100.0,90,38,0,,0,1.32,52,59,-7,-0.18,,48.1,54.5,-6.3,-0.17,,0,2,9,0,0,0,0,0,2,198,0,0,,Big-5-European-Leagues,Big5,2018-2019
65,Pierluigi Frattali,it ITA,GK,Parma,it Serie A,32,1985,1,1,90,1.0,2,2.00,9,7,77.8,0,0,1,0,0.0,0,0,0,0,,Matches,0,0,0,2.0,0.23,0.0,+0.04,5,16,31.3,23,6,34.8,35.5,15,53.3,41.7,13,1,7.7,0,0.00,7.4,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,2.6,90,1,0,,37,0.00,1,2,-1,-1.00,-0.49,1.2,2.2,-0.9,-0.91,-0.21,0,0,0,0,0,0,0,0,0,5,0,0,,Big-5-European-Leagues,Big5,2018-2019
66,Alberto GarcÃ­a,es ESP,GK,Rayo Vallecano,es La Liga,33,1985,17,17,1530,17.0,35,2.06,83,51,59.0,3,4,10,4,23.5,4,1,3,0,75.0,Matches,0,5,2,29.6,0.32,-3.4,-0.20,137,279,49.1,408,82,47.8,40.8,124,67.7,50.9,187,11,5.9,9,0.53,14.4,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,44.7,90,17,0,,21,0.76,18,35,-17,-1.00,-0.43,19.9,25.7,-5.8,-0.34,+0.03,0,0,2,0,0,0,0,0,0,99,0,0,,Big-5-European-Leagues,Big5,2018-2019
