Player,Nation,Team,League,Season,TeamElo,AgeDuringSeason,CurrentAge,Position,PlayStyle,Min,Starts,PercentLeftFooted,PercentRightFooted,Footedness,DAVIES,DAVIESPer90,xGoalsAdded,xGoalsAddedAbovePlayStyle,xGoalsAddedPer90,Salary($),xSalary($),CurrentMarketValue(€),xMarketValue(€),xGAM,name_lower,firstname_lower,lastname_lower,firstinitial_lower
Dries Mertens,BEL,Napoli,Serie A,17/18,1855.68,30.0,33,FW,Finisher,3002,35,9.29,90.71,Right,6.56,0.06,10.12,6.71,0.3,,,18000000.0,,,dries mertens,dries,mertens,d
Dele Alli,ENG,Tottenham,Premier League,17/18,1910.87,21.0,24,"MF,FW",Dribbler,2958,34,7.94,92.06,Right,6.56,0.05,9.62,6.62,0.29,,,64000000.0,,,dele alli,dele,alli,d
David Luiz,BRA,Chelsea,Premier League,18/19,1883.25,31.0,33,DF,PossessionOrientedCentralDefender,3238,36,22.77,77.23,Right,6.54,0.1,9.31,6.51,0.26,8621822.0,7318018.0,,,,david luiz,david,luiz,d
Wilfried Zaha,CIV,Crystal Palace,Premier League,19/20,1677.91,26.0,28,"MF,FW",Dribbler,3280,37,13.37,86.63,Right,6.52,0.03,9.71,6.72,0.27,8918671.0,7914604.0,44000000.0,41214567.0,,wilfried zaha,wilfried,zaha,w
Nordi Mukiele,FRA,Montpellier,Ligue 1,17/18,1590.91,19.0,23,DF,DefensiveWideProgressor,2791,31,10.62,89.38,Right,6.49,0.11,7.52,4.79,0.24,,,,,,nordi mukiele,nordi,mukiele,n
Romelu Lukaku,BEL,Inter,Serie A,19/20,1801.59,26.0,27,FW,Finisher,2979,33,65.02,34.98,Left,6.44,0.06,10.0,6.59,0.3,,,85000000.0,73731983.0,,romelu lukaku,romelu,lukaku,r
Luis Alberto,ESP,Lazio,Serie A,17/18,1753.81,24.0,28,"MF,FW",Playmaker,2669,32,6.22,93.78,Right,6.44,0.11,10.35,6.67,0.35,,,50000000.0,,,luis alberto,luis,alberto,l
Edin Dzeko,BIH,Roma,Serie A,18/19,1747.43,32.0,34,FW,Finisher,2579,28,21.19,78.81,Right,6.44,0.11,10.25,6.84,0.36,9424123.0,8713511.0,10000000.0,,,edin dzeko,edin,dzeko,e
Jose Luis Morales,ESP,Levante,La Liga,17/18,1693.33,30.0,33,"MF,FW",Dribbler,3053,35,18.59,81.41,Right,6.44,0.04,9.63,6.63,0.28,,,5000000.0,,,jose luis morales,jose,morales,j
Daniel Caligiuri,ITA,Schalke 04,Bundesliga,18/19,1646.45,30.0,32,DF,DefensiveWideProgressor,2756,31,12.98,87.02,Right,6.41,0.14,9.35,6.62,0.31,2817172.0,4425204.0,3000000.0,,,daniel caligiuri,daniel,caligiuri,d
