Player,Nation,Team,League,Season,TeamElo,AgeDuringSeason,CurrentAge,Position,PlayStyle,Min,Starts,PercentLeftFooted,PercentRightFooted,Footedness,DAVIES,DAVIESPer90,xGoalsAdded,xGoalsAddedAbovePlayStyle,xGoalsAddedPer90,Salary($),xSalary($),CurrentMarketValue(€),xMarketValue(€),xGAM,name_lower,firstname_lower,lastname_lower,firstinitial_lower
Walace,BRA,Udinese,Serie A,19/20,1582.55,24.0,25,MF,DefensiveCentralProgressor,1139,12,11.9,88.1,Right,-0.43,0.0,1.61,-0.37,0.13,,,5000000.0,5561188.0,,walace,walace,walace,w
Reiss Nelson,ENG,Arsenal,Premier League,19/20,1803.37,19.0,21,FW,Dribbler,631,7,13.54,86.46,Right,-0.43,-0.06,1.29,-1.71,0.18,,,12500000.0,16979513.0,,reiss nelson,reiss,nelson,r
Gaetan Bong,CMR,Brighton,Premier League,18/19,1616.4,30.0,32,DF,DefensiveWideProgressor,1808,19,86.43,13.57,Left,-0.43,-0.04,2.51,-0.22,0.12,1385297.0,1533216.0,,,,gaetan bong,gaetan,bong,g
Karim Bellarabi,GER,Leverkusen,Bundesliga,18/19,1760.88,28.0,30,"FW,MF",Playmaker,1057,14,6.79,93.21,Right,-0.43,0.06,3.48,-0.2,0.3,5635474.0,3276515.0,12000000.0,,,karim bellarabi,karim,bellarabi,k
Toni Leistner,GER,Koln,Bundesliga,19/20,1600.18,28.0,30,DF,LowBlockCentralDefender,1012,11,14.83,85.17,Right,-0.43,0.05,2.06,-0.38,0.18,,,,,,toni leistner,toni,leistner,t
Reece Oxford,ENG,M'Gladbach,Bundesliga,17/18,1659.45,18.0,22,"DF,MF",DefensiveWideProgressor,463,5,7.87,92.13,Right,-0.43,-0.02,0.6,-2.14,0.12,,,,,,reece oxford,reece,oxford,r
Marten de Roon,NED,Atalanta,Serie A,20/21,1821.92,29.76,29,MF,DefensiveCentralProgressor,907,10,14.66,85.34,Right,-0.43,0.04,1.6,-0.38,0.16,,,23000000.0,,,marten de roon,marten,roon,m
Federico Chiesa,ITA,Juventus,Serie A,20/21,1852.12,23.19,23,"MF,DF",Dribbler,568,7,22.22,77.78,Right,-0.43,0.2,2.76,-0.24,0.44,,,,,,federico chiesa,federico,chiesa,f
Bastian Oczipka,GER,Schalke 04,Bundesliga,20/21,1573.13,31.97,31,DF,DefensiveWideProgressor,1072,12,80.2,19.8,Left,-0.44,0.01,1.93,-0.8,0.16,,,2800000.0,,,bastian oczipka,bastian,oczipka,b
Cristiano Biraghi,ITA,Fiorentina,Serie A,20/21,1639.74,28.33,28,DF,OffensiveWideProgressor,1172,13,84.88,15.12,Left,-0.44,0.05,3.03,-0.14,0.23,,,,,,cristiano biraghi,cristiano,biraghi,c
Raul Albiol,ESP,Villarreal,La Liga,20/21,1783.36,35.33,35,DF,LowBlockCentralDefender,1420,16,13.44,86.56,Right,-0.44,0.04,2.73,0.29,0.17,,,2500000.0,,,raul albiol,raul,albiol,r
Hicham Boudaoui,ALG,Nice,Ligue 1,19/20,1605.34,19.0,21,"MF,FW",Dribbler,490,6,12.37,87.63,Right,-0.44,-0.01,1.28,-1.71,0.24,,,3600000.0,3586678.0,,hicham boudaoui,hicham,boudaoui,h
Daniel Opare,GHA,Augsburg,Bundesliga,17/18,1614.1,26.0,30,"DF,MF",DefensiveWideProgressor,1417,17,12.17,87.83,Right,-0.44,0.0,2.5,-0.23,0.16,,,,,,daniel opare,daniel,opare,d
Benjamin Stambouli,FRA,Schalke 04,Bundesliga,18/19,1646.45,27.0,30,"DF,MF",PossessionOrientedCentralDefender,1763,20,25.34,74.66,Right,-0.44,-0.02,2.63,-0.17,0.13,2234737.0,2595818.0,8000000.0,,,benjamin stambouli,benjamin,stambouli,b
Marco Andreolli,ITA,Cagliari,Serie A,17/18,1550.05,31.0,34,DF,LowBlockCentralDefender,1829,20,22.95,77.05,Right,-0.44,-0.03,2.21,-0.22,0.11,,,,,,marco andreolli,marco,andreolli,m
Eric Dier,ENG,Tottenham,Premier League,20/21,1840.64,26.96,26,DF,LowBlockCentralDefender,1260,14,20.31,79.69,Right,-0.44,0.02,2.05,-0.39,0.15,,,20000000.0,,,eric dier,eric,dier,e
Paulo Oliveira,POR,Eibar,La Liga,18/19,1709.06,26.0,28,DF,PossessionOrientedCentralDefender,2245,24,7.35,92.65,Right,-0.45,-0.05,2.63,-0.17,0.11,1342426.0,1463563.0,5000000.0,,,paulo oliveira,paulo,oliveira,p
Manuel Gulde,GER,Freiburg,Bundesliga,19/20,1660.59,28.0,29,DF,PossessionOrientedCentralDefender,1371,15,16.69,83.31,Right,-0.45,0.02,2.63,-0.17,0.17,540589.0,1365920.0,2400000.0,3312877.0,,manuel gulde,manuel,gulde,m
Jeremy Ngakia,ENG,West Ham,Premier League,19/20,1689.95,18.0,20,DF,DefensiveWideProgressor,440,5,17.65,82.35,Right,-0.45,-0.01,0.58,-2.15,0.12,,,250000.0,1549620.0,,jeremy ngakia,jeremy,ngakia,j
Victor Lindelof,SWE,Manchester Utd,Premier League,20/21,1869.6,26.46,26,DF,LowBlockCentralDefender,1145,13,16.12,83.88,Right,-0.45,0.03,2.04,-0.39,0.16,,,28000000.0,,,victor lindelof,victor,lindelof,v
Rachid Alioui,MAR,Nimes,Ligue 1,18/19,1570.43,26.0,28,FW,Finisher,1252,11,21.54,78.46,Right,-0.45,-0.02,3.11,-0.3,0.22,378865.0,1569805.0,,,,rachid alioui,rachid,alioui,r
Borja Sainz,ESP,Alaves,La Liga,19/20,1642.09,18.0,19,"MF,FW",Dribbler,573,5,10.08,89.92,Right,-0.45,-0.04,1.27,-1.72,0.2,,,,,,borja sainz,borja,sainz,b
Philippe Coutinho,BRA,Barcelona,La Liga,20/21,1903.79,28.56,28,"MF,FW",Dribbler,654,8,9.33,90.67,Right,-0.45,0.14,2.74,-0.26,0.38,,,,,,philippe coutinho,philippe,coutinho,p
Fabian Balbuena,PAR,West Ham,Premier League,19/20,1689.95,27.0,29,DF,LowBlockCentralDefender,1177,13,16.2,83.8,Right,-0.45,0.03,2.04,-0.4,0.16,2744206.0,3454918.0,9500000.0,6045433.0,,fabian balbuena,fabian,balbuena,f
Robin Knoche,GER,Union Berlin,Bundesliga,20/21,1680.98,28.61,28,DF,LowBlockCentralDefender,1170,13,16.74,83.26,Right,-0.45,0.03,2.04,-0.4,0.16,,,,,,robin knoche,robin,knoche,r
James Tomkins,ENG,Crystal Palace,Premier League,19/20,1677.91,30.0,31,DF,LowBlockCentralDefender,1582,18,14.59,85.41,Right,-0.45,-0.01,2.04,-0.4,0.12,3430258.0,2898699.0,4000000.0,3820990.0,,james tomkins,james,tomkins,j
Yuri Berchiche,ESP,Paris S-G,Ligue 1,17/18,1878.75,27.0,30,DF,OffensiveWideProgressor,1715,19,93.46,6.54,Left,-0.45,-0.03,3.01,-0.16,0.16,,,,,,yuri berchiche,yuri,berchiche,y
Duje Caleta-Car,CRO,Marseille,Ligue 1,20/21,1652.39,24.29,24,DF,LowBlockCentralDefender,1162,13,31.57,68.43,Right,-0.45,0.03,2.04,-0.4,0.16,,,,,,duje caleta-car,duje,caleta-car,d
Alvaro Tejero,ESP,Eibar,La Liga,19/20,1684.45,23.0,24,DF,DefensiveWideProgressor,1447,16,13.11,86.89,Right,-0.45,-0.03,2.15,-0.58,0.13,,,2000000.0,5930973.0,,alvaro tejero,alvaro,tejero,a
Mergim Mavraj,ALB,Hamburger SV,Bundesliga,17/18,1567.97,31.0,34,DF,LowBlockCentralDefender,1445,17,84.89,15.11,Left,-0.45,0.0,2.2,-0.23,0.14,,,,,,mergim mavraj,mergim,mavraj,m
Miguel Trauco,PER,Saint-Etienne,Ligue 1,19/20,1549.8,26.0,28,DF,DefensiveWideProgressor,1476,17,92.74,7.26,Left,-0.45,-0.01,2.49,-0.24,0.15,,,,,,miguel trauco,miguel,trauco,m
Alex Berenguer,ESP,Torino,Serie A,17/18,1677.54,22.0,25,FW,Dribbler,1043,11,17.62,82.38,Right,-0.45,-0.01,2.6,-0.39,0.22,,,10000000.0,,,alex berenguer,alex,berenguer,a
Roger Ibanez,BRA,Roma,Serie A,20/21,1766.95,22.11,22,DF,PossessionOrientedCentralDefender,1147,13,16.64,83.36,Right,-0.45,0.02,2.08,-0.71,0.16,,,,,,roger ibanez,roger,ibanez,r
Aleksandar Dragovic,AUT,Leverkusen,Bundesliga,18/19,1760.88,27.0,29,DF,PossessionOrientedCentralDefender,1335,13,19.79,80.21,Right,-0.45,0.02,2.62,-0.18,0.18,3392820.0,2198596.0,,,,aleksandar dragovic,aleksandar,dragovic,a
Jack Stephens,ENG,Southampton,Premier League,18/19,1673.84,24.0,26,DF,PossessionOrientedCentralDefender,1700,19,9.5,90.5,Right,-0.45,-0.02,2.62,-0.18,0.14,3293048.0,3728916.0,5500000.0,,,jack stephens,jack,stephens,j
Keita Balde,SEN,Monaco,Ligue 1,19/20,1587.32,24.0,25,"FW,MF",Finisher,858,9,23.48,76.52,Right,-0.46,0.08,3.1,-0.31,0.32,,,16000000.0,13496033.0,,keita balde,keita,balde,k
Danny Welbeck,ENG,Arsenal,Premier League,17/18,1818.72,26.0,30,"FW,MF",Finisher,1194,12,9.27,90.73,Right,-0.46,-0.01,3.1,-0.31,0.23,,,,,,danny welbeck,danny,welbeck,d
Edimilson Fernandes,SUI,Fiorentina,Serie A,18/19,1591.35,22.0,24,MF,AttackingCentralProgressor,1970,23,13.21,86.79,Right,-0.46,-0.06,2.15,-0.6,0.1,1780100.0,1116630.0,,,,edimilson fernandes,edimilson,fernandes,e
Luis Milla,ESP,Granada,La Liga,20/21,1710.02,26.24,26,MF,DefensiveCentralProgressor,1003,12,9.66,90.34,Right,-0.46,0.02,1.58,-0.4,0.14,,,,,,luis milla,luis,milla,l
Joe Ralls,ENG,Cardiff City,Premier League,18/19,1607.3,24.0,27,MF,AttackingCentralProgressor,1959,22,85.71,14.29,Left,-0.46,-0.04,2.69,-0.06,0.12,,,,,,joe ralls,joe,ralls,j
Yangel Herrera,VEN,Huesca,La Liga,18/19,1612.89,20.0,22,"MF,DF",DefensiveCentralProgressor,1154,14,21.61,78.39,Right,-0.46,0.0,1.5,-0.48,0.12,654814.0,968276.0,,,,yangel herrera,yangel,herrera,y
Paulo Oliveira,POR,Eibar,La Liga,19/20,1684.45,27.0,28,DF,PossessionOrientedCentralDefender,2090,23,8.74,91.26,Right,-0.46,-0.04,2.61,-0.18,0.11,1342426.0,1312417.0,5000000.0,4808403.0,,paulo oliveira,paulo,oliveira,p
Yohan Cabaye,FRA,Saint-Etienne,Ligue 1,19/20,1549.8,33.0,34,MF,DefensiveCentralProgressor,858,12,3.82,96.18,Right,-0.46,0.05,1.54,-0.44,0.16,,,,,,yohan cabaye,yohan,cabaye,y
Ander Capa,ESP,Athletic Club,La Liga,20/21,1693.78,28.9,28,DF,OffensiveWideProgressor,1333,16,11.11,88.89,Right,-0.46,0.02,3.0,-0.17,0.2,,,5000000.0,,,ander capa,ander,capa,a
Jonas Ramalho,ESP,Girona,La Liga,17/18,1662.4,24.0,27,DF,PossessionOrientedCentralDefender,2299,25,6.06,93.94,Right,-0.46,-0.05,2.61,-0.18,0.1,,,,,,jonas ramalho,jonas,ramalho,j
Borja Baston,ESP,Alaves,La Liga,18/19,1679.75,25.0,28,FW,Finisher,1439,18,10.97,89.03,Right,-0.46,-0.05,3.09,-0.32,0.19,2948361.0,2857891.0,,,,borja baston,borja,baston,b
Marco Reus,GER,Dortmund,Bundesliga,17/18,1737.74,28.0,31,"MF,FW",Playmaker,928,11,23.69,76.31,Right,-0.46,0.1,3.45,-0.24,0.33,,,25000000.0,,,marco reus,marco,reus,m
Faitout Maouassa,FRA,Rennes,Ligue 1,17/18,1639.7,19.0,22,"MF,FW",Dribbler,961,9,82.66,17.34,Left,-0.46,-0.12,1.26,-1.74,0.12,,,12000000.0,,,faitout maouassa,faitout,maouassa,f
Sebastian Walukiewicz,POL,Cagliari,Serie A,19/20,1585.66,19.0,20,DF,PossessionOrientedCentralDefender,1165,13,7.75,92.25,Right,-0.46,-0.01,1.73,-1.07,0.13,,,4000000.0,3976732.0,,sebastian walukiewicz,sebastian,walukiewicz,s
Ohis Felix Uduokhai,GER,Augsburg,Bundesliga,20/21,1636.79,23.31,23,DF,LowBlockCentralDefender,1170,13,75.7,24.3,Left,-0.46,0.03,2.02,-0.41,0.16,,,,,,ohis felix uduokhai,ohis,uduokhai,o
Mikel Vesga,ESP,Athletic Club,La Liga,19/20,1720.37,26.0,27,MF,DefensiveCentralProgressor,1269,13,72.93,27.07,Left,-0.47,-0.01,1.57,-0.41,0.11,,,2000000.0,4841350.0,,mikel vesga,mikel,vesga,m
Bartosz Salamon,POL,Frosinone,Serie A,18/19,1453.52,27.0,29,DF,LowBlockCentralDefender,1725,19,17.69,82.31,Right,-0.47,-0.02,2.02,-0.41,0.11,838027.0,1298025.0,,,,bartosz salamon,bartosz,salamon,b
Adrien Rabiot,FRA,Juventus,Serie A,19/20,1860.02,24.0,25,MF,AttackingCentralProgressor,1912,21,82.29,17.71,Left,-0.47,-0.04,2.68,-0.07,0.13,,,28000000.0,21926750.0,,adrien rabiot,adrien,rabiot,a
Adama Traore,ESP,Wolves,Premier League,20/21,1765.83,24.94,24,"FW,DF",Dribbler,946,9,13.33,86.67,Right,-0.47,0.02,2.73,-0.27,0.26,,,35000000.0,,,adama traore,adama,traore,a
Moussa Diaby,FRA,Leverkusen,Bundesliga,20/21,1855.38,21.49,21,"FW,MF",Dribbler,1147,13,70.35,29.65,Left,-0.47,-0.04,2.59,-0.41,0.2,,,32000000.0,,,moussa diaby,moussa,diaby,m
Cristiano Lombardi,ITA,Benevento,Serie A,17/18,1449.56,21.0,25,"DF,MF",Dribbler,1112,13,10.33,89.67,Right,-0.47,-0.03,2.59,-0.41,0.21,,,,,,cristiano lombardi,cristiano,lombardi,c
Faouzi Ghoulam,ALG,Napoli,Serie A,17/18,1855.68,26.0,29,DF,OffensiveWideProgressor,985,11,85.99,14.01,Left,-0.47,0.09,2.99,-0.18,0.27,,,7000000.0,,,faouzi ghoulam,faouzi,ghoulam,f
Benno Schmitz,GER,Koln,Bundesliga,19/20,1600.18,24.0,26,DF,DefensiveWideProgressor,1158,13,25.67,74.33,Right,-0.47,0.03,2.47,-0.26,0.19,,,,,,benno schmitz,benno,schmitz,b
Michel,BRA,Las Palmas,La Liga,17/18,1539.63,27.0,30,DF,OffensiveWideProgressor,2151,26,8.39,91.61,Right,-0.47,-0.06,2.99,-0.18,0.13,,,,,,michel,michel,michel,m
David Zurutuza,ESP,Real Sociedad,La Liga,18/19,1715.61,32.0,34,"MF,FW",DefensiveCentralProgressor,1222,13,12.55,87.45,Right,-0.47,0.0,1.53,-0.45,0.11,901359.0,1074590.0,,,,david zurutuza,david,zurutuza,d
Ben Chilwell,ENG,Chelsea,Premier League,20/21,1847.73,24.03,24,DF,OffensiveWideProgressor,1080,13,91.45,8.55,Left,-0.47,0.07,2.99,-0.18,0.25,,,,,,ben chilwell,ben,chilwell,b
Hamari Traore,MLI,Rennes,Ligue 1,20/21,1620.75,28.93,28,DF,OffensiveWideProgressor,1280,14,12.13,87.87,Right,-0.47,0.03,2.99,-0.18,0.21,,,5500000.0,,,hamari traore,hamari,traore,h
Julian Weigl,GER,Dortmund,Bundesliga,18/19,1822.8,22.0,25,"DF,MF",PossessionOrientedCentralDefender,1455,16,7.63,92.37,Right,-0.48,-0.02,2.06,-0.73,0.13,4507927.0,2549228.0,20000000.0,,,julian weigl,julian,weigl,j
Kevin De Bruyne,BEL,Manchester City,Premier League,18/19,2037.31,27.0,29,MF,Playmaker,975,11,13.19,86.81,Right,-0.48,0.08,3.44,-0.25,0.32,15788422.0,10618070.0,120000000.0,,,kevin de bruyne,kevin,bruyne,k
Romain Perraud,FRA,Brest,Ligue 1,20/21,1535.14,23.28,23,DF,OffensiveWideProgressor,1357,15,91.93,8.07,Left,-0.48,0.01,2.99,-0.18,0.2,,,2000000.0,,,romain perraud,romain,perraud,r
Andre Schurrle,GER,Fulham,Premier League,18/19,1585.52,27.0,30,"FW,MF",Dribbler,1641,21,15.31,84.69,Right,-0.48,-0.09,2.72,-0.28,0.15,7105911.0,6319726.0,,,,andre schurrle,andre,schurrle,a
Shane Duffy,IRL,Brighton,Premier League,19/20,1658.11,27.0,28,DF,LowBlockCentralDefender,1238,12,7.49,92.51,Right,-0.48,0.02,2.01,-0.42,0.15,2744206.0,3532146.0,9500000.0,7558930.0,,shane duffy,shane,duffy,s
Mathieu Debuchy,FRA,Saint-Etienne,Ligue 1,20/21,1522.23,35.43,35,DF,DefensiveWideProgressor,772,9,2.26,97.74,Right,-0.48,0.07,1.92,-0.81,0.22,,,,,,mathieu debuchy,mathieu,debuchy,m
Ximo Navarro,ESP,Alaves,La Liga,19/20,1642.09,29.0,30,DF,PossessionOrientedCentralDefender,1903,22,10.91,89.09,Right,-0.48,-0.03,2.6,-0.2,0.12,912669.0,1667328.0,,,,ximo navarro,ximo,navarro,x
Youri Tielemans,BEL,Leicester City,Premier League,18/19,1738.56,21.0,23,MF,AttackingCentralProgressor,1086,13,16.45,83.55,Right,-0.48,0.02,2.12,-0.62,0.18,2266609.0,2386700.0,44000000.0,,,youri tielemans,youri,tielemans,y
Lee Kangin,KOR,Valencia,La Liga,19/20,1733.38,18.0,19,"MF,FW",Playmaker,454,3,91.23,8.77,Left,-0.48,-0.07,0.63,-3.06,0.12,,,,,,lee kangin,lee,kangin,l
Dominik Kohr,GER,Eint Frankfurt,Bundesliga,19/20,1705.51,25.0,26,MF,AttackingCentralProgressor,1445,16,17.02,82.98,Right,-0.48,0.0,2.66,-0.08,0.17,,,6800000.0,7854737.0,,dominik kohr,dominik,kohr,d
Andres Iniesta,ESP,Barcelona,La Liga,17/18,2025.35,33.0,36,"MF,FW",Playmaker,1862,25,13.83,86.17,Right,-0.48,-0.09,3.23,-0.45,0.16,,,,,,andres iniesta,andres,iniesta,a
Riccardo Saponara,ITA,Lecce,Serie A,19/20,1501.84,27.0,29,"MF,FW",Playmaker,947,11,25.9,74.1,Right,-0.48,0.09,3.43,-0.25,0.33,,,2500000.0,2844519.0,,riccardo saponara,riccardo,saponara,r
Antonio Sanabria,PAR,Genoa,Serie A,18/19,1537.01,22.0,24,FW,Finisher,766,9,20.17,79.83,Right,-0.48,0.04,2.47,-0.93,0.29,1063084.0,1226706.0,6500000.0,,,antonio sanabria,antonio,sanabria,a
Adam Bodzek,GER,Dusseldorf,Bundesliga,18/19,1604.14,32.0,35,"MF,DF",DefensiveCentralProgressor,1596,20,10.82,89.18,Right,-0.48,-0.03,1.52,-0.46,0.09,394698.0,1165430.0,,,,adam bodzek,adam,bodzek,a
Jannik Vestergaard,DEN,Southampton,Premier League,20/21,1758.47,28.41,28,DF,PossessionOrientedCentralDefender,1125,12,21.83,78.17,Right,-0.48,0.05,2.59,-0.21,0.21,,,12000000.0,,,jannik vestergaard,jannik,vestergaard,j
Goncalo Guedes,POR,Valencia,La Liga,19/20,1733.38,22.0,24,"MF,FW",Dribbler,1266,14,9.13,90.87,Right,-0.48,-0.06,2.57,-0.43,0.18,6480286.0,5669891.0,,,,goncalo guedes,goncalo,guedes,g
Jorge Pulido,ESP,Huesca,La Liga,20/21,1586.61,29.73,29,DF,LowBlockCentralDefender,1075,12,9.27,90.73,Right,-0.48,0.04,2.0,-0.43,0.17,,,,,,jorge pulido,jorge,pulido,j
Carlos Soler,ESP,Valencia,La Liga,20/21,1704.95,24.0,23,MF,DefensiveCentralProgressor,1000,11,12.08,87.92,Right,-0.49,0.02,1.55,-0.43,0.14,,,30000000.0,,,carlos soler,carlos,soler,c
Diego Costa,ESP,Atletico Madrid,La Liga,19/20,1897.78,30.0,32,FW,Finisher,1350,14,10.39,89.61,Right,-0.49,-0.04,3.07,-0.34,0.2,18083731.0,9657077.0,,,,diego costa,diego,costa,d
Boubacar Kamara,FRA,Marseille,Ligue 1,17/18,1763.65,17.0,21,"DF,MF",DefensiveWideProgressor,455,5,17.76,82.24,Right,-0.49,-0.02,0.54,-2.19,0.11,,,27000000.0,,,boubacar kamara,boubacar,kamara,b
Jonathan Bamba,FRA,Lille,Ligue 1,20/21,1715.59,24.77,24,MF,Playmaker,1447,16,10.18,89.82,Right,-0.49,-0.02,3.42,-0.26,0.21,,,16000000.0,,,jonathan bamba,jonathan,bamba,j
Nicolas Nkoulou,CMR,Torino,Serie A,19/20,1581.91,29.0,30,DF,LowBlockCentralDefender,2692,30,14.13,85.87,Right,-0.49,-0.06,2.0,-0.43,0.07,,,,,,nicolas nkoulou,nicolas,nkoulou,n
Conor Coady,ENG,Wolves,Premier League,20/21,1765.83,27.85,27,DF,LowBlockCentralDefender,1350,15,2.93,97.07,Right,-0.49,0.0,2.0,-0.43,0.13,,,18000000.0,,,conor coady,conor,coady,c
Nassim Boujellab,MAR,Schalke 04,Bundesliga,18/19,1646.45,19.0,21,MF,Playmaker,378,4,9.68,90.32,Right,-0.49,-0.04,0.62,-3.07,0.15,,,1000000.0,,,nassim boujellab,nassim,boujellab,n
Ibrahima Sissoko,FRA,Strasbourg,Ligue 1,19/20,1577.77,21.0,23,MF,AttackingCentralProgressor,1598,18,15.13,84.87,Right,-0.49,-0.04,2.12,-0.63,0.12,270295.0,913437.0,4800000.0,5741663.0,,ibrahima sissoko,ibrahima,sissoko,i
Edmond Tapsoba,BFA,Leverkusen,Bundesliga,20/21,1855.38,21.92,21,DF,PossessionOrientedCentralDefender,852,9,15.47,84.53,Right,-0.49,0.07,2.05,-0.75,0.22,,,22000000.0,,,edmond tapsoba,edmond,tapsoba,e
Rene Krhin,SVN,Nantes,Ligue 1,17/18,1576.06,27.0,30,MF,DefensiveCentralProgressor,1313,16,5.59,94.41,Right,-0.49,-0.02,1.55,-0.43,0.11,,,1200000.0,,,rene krhin,rene,krhin,r
Stefan Savic,MNE,Atletico Madrid,La Liga,19/20,1897.78,28.0,29,DF,PossessionOrientedCentralDefender,1980,22,6.44,93.56,Right,-0.49,-0.04,2.59,-0.21,0.12,5075659.0,2520678.0,,,,stefan savic,stefan,savic,s
Amine Harit,MAR,Schalke 04,Bundesliga,18/19,1646.45,21.0,23,"MF,FW",Dribbler,1082,12,10.95,89.05,Right,-0.49,-0.03,2.57,-0.43,0.21,1696410.0,1377963.0,20000000.0,,,amine harit,amine,harit,a
Ben Davies,WAL,Tottenham,Premier League,19/20,1808.91,26.0,27,DF,DefensiveWideProgressor,1431,16,89.09,10.91,Left,-0.49,-0.01,2.45,-0.28,0.15,4116310.0,3551337.0,17500000.0,17894403.0,,ben davies,ben,davies,b
Didier Ibrahim Ndong,GAB,Dijon,Ligue 1,20/21,1486.82,26.54,26,MF,DefensiveCentralProgressor,1440,16,14.25,85.75,Right,-0.49,-0.03,1.55,-0.43,0.1,,,,,,didier ibrahim ndong,didier,ndong,d
Manu Morlanes,ESP,Villarreal,La Liga,18/19,1729.0,19.0,21,MF,AttackingCentralProgressor,610,7,18.45,81.55,Right,-0.49,-0.03,0.78,-1.97,0.11,,,1800000.0,,,manu morlanes,manu,morlanes,m
Nicolas Gonzalez,ARG,Stuttgart,Bundesliga,20/21,1657.1,22.74,22,"FW,DF",Finisher,432,4,82.93,17.07,Left,-0.49,0.26,2.46,-0.95,0.51,,,,,,nicolas gonzalez,nicolas,gonzalez,n
Virgil van Dijk,NED,Southampton,Premier League,17/18,1649.49,26.0,29,DF,LowBlockCentralDefender,994,11,8.64,91.36,Right,-0.49,0.05,2.0,-0.44,0.18,,,,,,virgil van dijk,virgil,dijk,v
Fabinho,BRA,Liverpool,Premier League,20/21,1965.28,27.19,27,"DF,MF",PossessionOrientedCentralDefender,1202,13,6.8,93.2,Right,-0.49,0.04,2.58,-0.22,0.19,,,56000000.0,,,fabinho,fabinho,fabinho,f
Gael Kakuta,COD,Lens,Ligue 1,20/21,1531.39,29.53,29,"MF,FW",Playmaker,1065,14,86.51,13.49,Left,-0.49,0.05,3.42,-0.27,0.29,,,,,,gael kakuta,gael,kakuta,g
Berat Djimsiti,ALB,Atalanta,Serie A,18/19,1746.85,25.0,27,DF,PossessionOrientedCentralDefender,1807,20,21.74,78.26,Right,-0.5,-0.03,2.58,-0.22,0.13,628803.0,1204713.0,15000000.0,,,berat djimsiti,berat,djimsiti,b
Davide Faraoni,ITA,Hellas Verona,Serie A,20/21,1597.7,29.19,29,DF,DefensiveWideProgressor,990,11,12.05,87.95,Right,-0.5,0.06,2.44,-0.29,0.22,,,6000000.0,,,davide faraoni,davide,faraoni,d
Omar Mascarell,ESP,Schalke 04,Bundesliga,19/20,1608.03,26.0,27,MF,PossessionOrientedCentralDefender,2026,23,19.98,80.02,Right,-0.5,-0.04,2.58,-0.22,0.11,5072266.0,2697096.0,10000000.0,6134500.0,,omar mascarell,omar,mascarell,o
Ferran Torres,ESP,Valencia,La Liga,17/18,1797.27,17.0,20,"MF,FW",Playmaker,320,2,10.87,89.13,Right,-0.5,-0.02,0.61,-3.08,0.17,,,45000000.0,,,ferran torres,ferran,torres,f
Laszlo Benes,SVK,M'Gladbach,Bundesliga,19/20,1760.23,21.0,23,MF,AttackingCentralProgressor,898,10,89.05,10.95,Left,-0.5,0.05,2.1,-0.64,0.21,,,8000000.0,10732790.0,,laszlo benes,laszlo,benes,l
Rafinha,BRA,Paris S-G,Ligue 1,20/21,1869.92,27.89,27,MF,AttackingCentralProgressor,774,9,89.02,10.98,Left,-0.5,0.14,2.64,-0.1,0.31,,,,,,rafinha,rafinha,rafinha,r
Pedro,ESP,Roma,Serie A,20/21,1766.95,33.43,33,"FW,MF",Dribbler,962,12,31.54,68.46,Right,-0.5,0.08,3.56,0.56,0.33,,,,,,pedro,pedro,pedro,p
Soualiho Meite,FRA,Bordeaux,Ligue 1,17/18,1633.16,23.0,26,MF,AttackingCentralProgressor,1335,15,21.82,78.18,Right,-0.5,-0.02,2.1,-0.64,0.14,,,,,,soualiho meite,soualiho,meite,s
Denis Suarez,ESP,Barcelona,La Liga,17/18,2025.35,23.0,26,"MF,FW",Dribbler,602,4,12.9,87.1,Right,-0.5,0.14,2.56,-0.44,0.38,,,,,,denis suarez,denis,suarez,d
Ryan Babel,NED,Fulham,Premier League,18/19,1585.52,31.0,34,FW,Dribbler,1251,15,7.32,92.68,Right,-0.5,0.0,3.56,0.56,0.26,2938148.0,4730309.0,,,,ryan babel,ryan,babel,r
Danny Simpson,ENG,Leicester City,Premier League,17/18,1693.43,30.0,33,DF,DefensiveWideProgressor,2306,27,15.01,84.99,Right,-0.5,-0.07,2.44,-0.29,0.1,,,,,,danny simpson,danny,simpson,d
Karol Linetty,POL,Torino,Serie A,20/21,1568.57,25.92,25,MF,DefensiveCentralProgressor,1219,14,41.74,58.26,Dual,-0.5,-0.01,1.54,-0.45,0.11,,,,,,karol linetty,karol,linetty,k
Dimitri Foulquier,FRA,Strasbourg,Ligue 1,17/18,1482.96,24.0,27,DF,DefensiveWideProgressor,1241,13,12.25,87.75,Right,-0.5,0.02,2.44,-0.29,0.18,,,,,,dimitri foulquier,dimitri,foulquier,d
Giuseppe Pezzella,ITA,Udinese,Serie A,17/18,1554.6,19.0,23,DF,OffensiveWideProgressor,903,10,83.53,16.47,Left,-0.5,-0.04,1.29,-1.88,0.13,,,,,,giuseppe pezzella,giuseppe,pezzella,g
Yann Karamoh,FRA,Inter,Serie A,17/18,1752.6,19.0,22,"FW,MF",Dribbler,489,4,13.85,86.15,Right,-0.5,-0.02,1.22,-1.78,0.22,,,,,,yann karamoh,yann,karamoh,y
