Rank,GM,optaTeamId,team,leagueId,league,week,SubOff,SubOn,GWG,SOG,SOTInBox,SOTOBox,BlkdInBox,BlkdOutBox,Off,OffTgtOBox,OffTgtInBox,PenTaken,PenGoal,ShotDirFK,GoalDirFK,GoalInBx,GoalOBx,GoalOP,GoalHead,OfTgHd,SOTHead,GoalLF,GoalRF,ShotLF,ShotRF,PsOpHfFl,PsOnHfFl,PsAtt,PsOnHfScs,PsOpHfScs,ExpG,Goal,Ast,ExpA,BgChnc,BgChncCrtd,ChncSetPl,ChncOpnPl,Chance,1v1,1v1InBox,Sc1v1InBox,SucflDuels,Success1v1,ThrghBalls,ThrghBlCmp,Touches,DuelLs,FailTackle,SucflTkls,Int,DefTouch,TcklMade%,Clrnce,HeadClear,Recovery,FlComA3,FlComD3,FlComM3,FlSufA3,FlSufD3,FlSufM3,Offsides,CleanSheet,CrossPunch,ErrGoal,ErrShot,Cleared,KeeperCtch,GoalCncd,GoalCnIBx,GoalCnOBx,PensWon,Saves,SvBody,SvCght,SvClct,SvDive,SvFeet,SvFTip,SvHands,SvInBox,SvOutBox,SvPrdDng,SvPrdSaf,SvReach,SvStand,SvStoop,2ndYellow,Red,Yellow,BgChncFace,Turnover,Disposs,TchsA3,TchsD3,TchsM3,TouchOpBox,%PassFwd,Pass%,PsCmpM3,PsCmpA3,PsCmpD3,PsAttA3,PsAttD3,PsAttM3,Pull Back Passes Completed,PsDist,ChlngeLost,Aerial%,Aerials,ExpGAg,Average Shot Distance Open Play,PullBk,BgChnc,BgChncGoal,CrossOpen,Crosses,FwdPassCmp%,DefTouchD3,DefTouchM3,DefTouchA3,Open Play xG,Set Piece XG,NonPenxG,Key Passes,Defensive Blocks,xG Per Shot,Shots Total,Cross_Success_Percentage,Cross_Success_Percentage_Open_Play,game,date,gameId,oppOptaTeamId,scatterId,scatterExtra
51,1,15380,Pacific,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,4,4,0,4,4,0,1,1,7,1,3,0,0,0,0,1,0,0,1,6,2,0,0,1,2,48,13,355,142,152,1.56,1,1,1.39,1,1,5,4,9,12,0,0,44,5,1,0,545,37,8,11,8,39,86.4%,11,6,37,3,6,7,3,1,5,2,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,2,1,4,4,177,172,196,20,39.4%,82.8%,133,61,100,78,122,155,1,22.7,3,55.0%,20,0.72,15,1,1,0,26,35,70.0%,26,10,3,0.55,1.01,1.56,8,2,0.12,13,22.9%,15.4%,PAC vs YRK,2020-08-19,7tas4i6lxq9imfed8t0627m6s,15382,b3436h8h14zw7f1uv6w9vqf6y:2126232,PAC vs YRK (2020-08-19)
52,1,15378,Valour,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,5,5,0,6,4,2,0,3,5,2,1,1,0,0,0,0,0,0,0,1,0,0,0,1,9,77,24,358,156,101,1.88,0,0,0.43,2,0,3,7,10,19,2,2,43,10,0,0,541,43,5,9,11,35,60.9%,7,2,48,5,2,4,3,1,9,1,0,0,0,1,0,0,2,2,0,1,6,0,0,3,2,0,1,5,5,1,0,2,0,2,2,0,0,1,2,4,5,118,195,228,20,38.3%,71.8%,123,34,100,47,139,172,0,22.6,9,33.3%,18,1.62,20,0,2,0,5,13,49.6%,23,9,3,0.35,1.53,1.09,10,2,0.13,14,15.4%,0.0%,PAC vs VAL,2020-08-26,7tw47791fe2i850ddmt0nthqs,15380,dd2vf0yzjm7jm7cak9tf11sa2:2126245,PAC vs VAL (2020-08-26)
53,1,15376,HFX Wanderers,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,5,5,1,4,3,1,2,0,3,2,0,0,0,0,0,3,0,3,0,1,0,1,2,3,3,69,19,344,119,137,1.17,3,3,1.17,3,3,1,8,10,19,0,0,58,10,1,1,532,69,9,19,15,59,68.3%,16,7,49,4,4,11,1,3,6,1,0,1,0,0,0,0,1,0,1,0,2,0,0,1,1,0,0,2,1,1,0,1,0,1,0,0,0,1,1,0,14,115,157,260,18,45.9%,74.4%,147,47,62,67,95,182,0,19.5,13,41.7%,24,1.25,17,0,3,2,7,12,62.0%,32,20,7,0.77,0.40,1.17,7,5,0.13,9,8.3%,0.0%,EDM vs HFX,2020-08-27,7u1iuq4d7judbzn8c1gawxp90,6925,5gmx3o5y2oc0i6rowjwtu7jvu:2126249,EDM vs HFX (2020-08-27)
54,1,15382,York United,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,5,5,0,2,1,1,1,1,5,1,1,0,0,1,0,1,0,1,0,2,0,1,0,3,2,49,21,338,162,106,0.72,1,0,0.51,1,1,3,2,5,13,1,0,37,3,0,0,530,44,4,5,19,62,64.3%,32,17,42,1,3,6,6,3,7,2,0,1,0,0,0,0,1,1,0,0,4,0,0,1,3,1,0,3,4,0,1,2,0,1,0,0,0,1,1,0,9,105,232,193,11,39.6%,79.3%,119,37,112,48,144,146,0,21.8,5,45.0%,20,1.56,18,0,1,0,7,10,57.5%,53,6,3,0.16,0.56,0.72,5,2,0.08,9,10.0%,0.0%,PAC vs YRK,2020-08-19,7tas4i6lxq9imfed8t0627m6s,15380,cqthcpums3aas2tdy0qhlkuwa:2126232,PAC vs YRK (2020-08-19)
55,1,15376,HFX Wanderers,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,4,4,0,5,5,0,0,1,3,0,1,2,2,0,0,2,0,0,0,2,1,0,2,0,5,59,26,325,121,119,2.22,2,0,0.61,3,1,3,3,6,23,0,0,59,16,2,0,525,65,6,13,11,44,51.4%,13,9,56,6,2,7,3,5,6,3,0,1,1,0,0,0,2,2,0,2,2,0,0,1,1,0,0,2,0,2,0,1,0,1,0,0,0,1,2,2,13,138,191,196,21,44.9%,73.8%,113,42,85,60,121,144,1,20.7,18,40.0%,25,1.15,13,1,3,2,14,23,60.3%,27,12,5,0.47,1.75,0.64,6,3,0.25,9,26.1%,28.6%,HFX vs PAC,2020-08-15,7t269w4kohpnnx91dmg5bwis4,15380,5gmx3o5y2oc0i6rowjwtu7jvu:2126221,HFX vs PAC (2020-08-15)
56,1,15381,Cavalry,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,5,5,1,7,7,0,0,0,6,0,5,1,1,0,0,3,0,2,0,1,1,1,2,2,9,68,27,349,127,127,3.01,3,1,1.78,5,3,2,6,8,13,1,1,36,5,1,1,524,45,2,11,5,40,72.2%,19,10,41,1,6,9,5,0,2,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,2,1,2,6,161,185,178,34,37.8%,72.8%,107,53,94,78,135,136,0,22.3,5,47.8%,23,0.49,12,0,5,2,17,28,49.2%,31,6,3,1.38,1.62,2.22,7,1,0.23,13,28.6%,23.5%,CAV vs PAC,2020-09-10,6pp5y6tmtbxolhpklcv0tx5as,15380,41ewt71n8fqwy6trsqta1bjvu:2137182,CAV vs PAC (2020-09-10)
57,1,6925,Edmonton,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,5,5,0,2,2,0,0,3,8,2,2,0,0,1,0,0,0,0,0,2,0,0,0,6,2,37,15,347,169,126,1.25,0,0,1.09,1,1,5,4,9,24,2,0,44,13,0,0,518,53,4,8,9,50,52.2%,26,13,43,2,5,6,3,3,3,2,0,0,0,0,0,0,2,1,1,0,2,0,0,2,1,0,0,2,1,1,0,0,0,1,0,0,0,0,0,4,6,107,198,213,15,30.3%,85.0%,145,43,107,51,129,167,0,21.2,11,41.7%,24,0.31,18,0,1,0,9,17,71.4%,40,8,2,0.42,0.84,1.25,9,2,0.10,13,11.8%,0.0%,FOR vs EDM,2020-08-16,7t5b01x3jsqkkavibyn5aej2s,15377,73xrv2025rnj0t3y9ayp83bec:2126225,FOR vs EDM (2020-08-16)
57,1,15378,Valour,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,5,5,0,8,5,3,1,1,4,2,2,0,0,0,0,2,0,1,2,1,4,0,0,2,5,56,25,305,116,108,1.65,2,2,1.55,4,4,1,10,11,19,1,0,60,10,0,0,518,60,8,16,15,54,66.7%,14,5,47,6,8,4,6,4,8,2,0,1,0,0,0,0,2,2,0,0,2,0,0,0,2,0,0,2,2,0,1,1,0,0,0,0,0,3,5,4,11,135,186,197,22,42.6%,73.4%,108,37,79,51,118,136,0,21.3,12,33.3%,27,2.24,17,0,4,2,14,29,53.8%,35,13,6,1.16,0.49,1.65,9,2,0.12,14,44.8%,57.1%,FOR vs VAL,2020-09-05,7utday42etwsaaqej3w9gmqz8,15377,dd2vf0yzjm7jm7cak9tf11sa2:2126266,FOR vs VAL (2020-09-05)
59,1,16614,Atlético Ottawa,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,2,2,0,4,2,2,1,1,5,3,1,0,0,1,0,2,0,2,0,1,0,0,2,4,4,62,20,344,102,160,0.73,2,2,0.62,1,1,1,7,8,13,0,0,52,4,0,0,516,58,7,14,11,53,65.6%,18,9,48,7,5,5,4,7,5,3,0,0,1,0,0,1,2,2,0,0,2,0,0,0,1,0,0,2,1,1,1,1,0,1,0,0,0,3,3,4,11,151,179,186,12,43.6%,76.2%,112,84,66,99,102,143,0,18.8,11,46.2%,26,2.38,20,0,1,1,10,14,62.0%,42,7,4,0.59,0.14,0.73,6,3,0.07,11,7.1%,0.0%,ATO vs EDM,2020-08-23,7tqr229an5mqpjp1qgvl7e0pg,6925,dn8tjhuq0bax4dgixqvluhzze:2126243,ATO vs EDM (2020-08-23)
60,1,15382,York United,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,4,4,1,5,4,1,1,0,7,5,1,1,1,2,0,3,0,0,1,1,1,0,2,4,6,45,17,305,109,134,1.76,3,1,0.35,2,0,2,5,7,18,0,0,61,11,0,0,512,63,11,13,12,52,70.6%,16,7,37,8,6,5,8,5,5,0,0,0,0,0,0,0,2,2,0,1,3,0,0,0,3,0,0,3,2,1,2,1,0,0,0,0,0,2,4,2,17,137,187,188,17,43.6%,79.7%,113,55,75,66,109,130,1,20.1,10,42.1%,19,2.91,28,1,2,2,13,22,66.9%,32,19,1,0.27,1.49,0.97,6,1,0.14,13,22.7%,7.7%,YRK vs FOR,2020-08-26,7tyu476shfl4lg1dm54shvt3o,15377,cqthcpums3aas2tdy0qhlkuwa:2126246,YRK vs FOR (2020-08-26)
61,1,15377,Forge,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,4,4,1,5,4,1,2,1,3,1,1,0,0,2,1,1,1,0,1,0,1,1,0,3,3,76,20,293,78,119,1.50,2,1,1.28,1,1,2,5,7,19,2,2,54,10,0,0,511,51,6,13,18,58,63.3%,21,10,51,7,6,5,3,6,6,1,1,2,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,2,1,1,0,0,0,2,0,0,0,2,1,6,10,190,182,139,24,49.8%,67.2%,61,56,80,83,116,94,0,21.9,11,66.7%,21,0.66,13,0,1,1,12,25,52.1%,33,17,8,0.50,1.00,1.50,6,3,0.14,11,8.0%,8.3%,FOR vs HFX,2020-09-19,5mrmbr6tngz69e9qmsn1b845w,15376,c2pdzdl3dgf5b0siidn2ay5ii:2137188,FOR vs HFX (2020-09-19)
62,1,16614,Atlético Ottawa,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,3,3,1,2,1,1,1,0,3,1,1,0,0,1,0,1,1,2,0,1,0,0,2,1,3,66,38,316,100,112,0.56,2,1,0.46,1,1,1,3,4,21,1,0,51,8,1,0,502,55,7,9,9,54,57.1%,23,12,43,4,3,8,2,2,9,3,1,1,0,0,0,0,0,0,0,0,4,0,0,3,1,1,0,3,2,2,0,1,1,1,0,0,0,2,2,4,7,102,180,220,10,48.1%,67.1%,120,39,53,53,101,162,0,19.7,12,55.6%,27,1.09,20,0,1,0,4,6,47.4%,40,11,3,0.23,0.33,0.56,3,3,0.09,6,16.7%,0.0%,ATO vs CAV,2020-08-27,7u47vp82i9898dpktaf5q6psk,15381,dn8tjhuq0bax4dgixqvluhzze:2126251,ATO vs CAV (2020-08-27)
63,1,15376,HFX Wanderers,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,3,3,0,2,1,1,1,0,2,0,1,0,0,1,1,0,1,0,0,1,1,1,0,1,1,54,7,315,145,109,1.16,1,0,1.11,2,2,1,3,4,10,0,0,54,10,0,0,497,34,5,11,15,52,84.2%,20,9,41,6,3,6,5,5,9,4,0,0,0,0,0,0,1,0,1,0,3,0,1,0,0,0,0,3,3,0,0,2,2,1,0,0,1,3,0,0,9,97,169,231,10,40.0%,80.6%,143,31,80,41,93,181,0,20.1,3,52.9%,17,0.57,10,0,2,0,5,13,61.1%,42,7,3,0.89,0.26,1.16,4,4,0.23,5,15.4%,20.0%,HFX vs YRK,2020-08-29,7ubxnr535nkdppzi934wdbdhw,15382,5gmx3o5y2oc0i6rowjwtu7jvu:2126256,HFX vs YRK (2020-08-29)
64,1,16614,Atlético Ottawa,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,3,3,1,6,5,1,0,0,2,0,1,0,0,0,0,1,0,0,0,2,0,0,1,4,2,58,22,301,123,98,1.61,1,0,1.00,3,2,3,3,6,12,0,0,46,6,2,1,490,68,4,8,11,37,37.5%,12,6,34,7,4,8,3,7,6,1,1,0,0,0,1,0,0,0,0,0,4,0,0,3,1,1,0,3,3,1,0,1,0,1,1,0,0,5,1,0,7,111,208,171,14,46.5%,73.4%,94,35,92,45,133,123,0,21.6,20,41.2%,34,1.30,15,0,3,1,10,19,60.0%,30,7,0,0.48,1.13,1.61,6,4,0.20,8,21.1%,20.0%,PAC vs ATO,2020-09-03,7uqr7tcyx5axz4fcls8m9stn8,15380,dn8tjhuq0bax4dgixqvluhzze:2126262,PAC vs ATO (2020-09-03)
65,1,16614,Atlético Ottawa,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,2,2,0,3,2,1,2,1,4,2,1,0,0,2,0,0,0,0,0,1,1,0,0,2,3,39,16,313,145,113,0.50,0,0,0.32,0,0,1,5,6,10,1,0,38,5,0,0,479,46,3,20,6,45,65.7%,15,7,38,5,6,4,2,3,4,0,0,0,0,0,0,0,4,3,1,0,7,0,0,1,5,0,0,7,5,2,1,5,0,1,1,1,0,2,2,0,10,121,172,186,13,37.7%,82.4%,119,49,90,53,112,148,0,20.0,12,20.0%,5,2.25,17,0,0,0,12,13,67.8%,32,9,4,0.36,0.14,0.50,6,5,0.05,10,23.1%,16.7%,ATO vs VAL,2020-08-19,7tdd1uok6zk7bgycge748czdg,15378,dn8tjhuq0bax4dgixqvluhzze:2126235,ATO vs VAL (2020-08-19)
66,1,15376,HFX Wanderers,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,5,5,0,3,2,1,1,0,5,4,1,0,0,1,0,0,1,1,0,0,1,0,1,2,5,66,29,316,123,98,0.54,1,1,0.31,0,0,1,4,5,10,3,1,50,6,0,0,477,41,9,6,10,48,62.5%,19,15,51,4,7,3,3,6,7,2,0,2,0,0,0,0,1,1,0,0,3,0,0,2,0,0,0,3,2,1,0,1,0,1,2,0,0,1,2,2,5,109,201,167,17,46.8%,69.9%,99,41,81,63,127,126,0,20.0,9,48.1%,27,1.38,18,0,0,0,3,8,50.7%,34,12,2,0.40,0.14,0.54,4,6,0.06,9,12.5%,0.0%,HFX vs FOR,2020-09-09,8plkm1srpcwr60o1i31ksltsk,15377,5gmx3o5y2oc0i6rowjwtu7jvu:2137183,HFX vs FOR (2020-09-09)
67,1,15377,Forge,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,5,5,1,3,3,0,2,1,3,0,2,1,1,0,0,2,0,1,0,1,0,2,0,3,2,76,25,251,63,87,1.33,2,1,0.54,1,0,1,7,8,17,1,0,53,5,0,0,476,50,4,15,20,66,73.1%,25,12,61,6,5,7,5,6,7,2,1,2,0,0,1,1,0,0,0,1,3,0,0,1,3,0,0,3,3,0,1,1,0,0,0,0,0,2,1,6,9,159,197,120,25,51.4%,59.8%,41,50,59,72,101,78,0,22.4,7,57.9%,19,0.80,14,0,1,1,14,20,47.3%,54,7,5,0.51,0.82,0.54,7,5,0.15,9,20.0%,28.6%,FOR vs PAC,2020-09-12,al6itp61bch64gv1bhhncxyqc,15380,c2pdzdl3dgf5b0siidn2ay5ii:2137184,FOR vs PAC (2020-09-12)
68,1,15376,HFX Wanderers,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,3,3,1,5,3,2,1,2,2,1,0,0,0,1,1,1,1,1,0,0,0,1,1,3,4,55,21,295,114,105,0.73,2,0,0.34,1,0,2,5,7,14,1,0,52,6,2,0,473,52,6,8,14,47,56.0%,18,9,42,3,3,9,6,10,6,3,1,0,0,0,2,1,0,0,0,0,4,0,1,1,2,0,0,3,2,2,0,2,0,1,0,0,0,2,0,6,7,120,191,162,19,43.7%,74.2%,98,46,75,64,109,122,1,19.9,11,42.3%,26,0.72,21,1,1,1,4,7,62.8%,34,7,6,0.49,0.25,0.73,7,4,0.07,10,14.3%,25.0%,VAL vs HFX,2020-09-02,7uo653c2y32d06v6dq2as5t04,15378,5gmx3o5y2oc0i6rowjwtu7jvu:2126261,VAL vs HFX (2020-09-02)
69,1,15378,Valour,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,5,5,0,0,0,0,1,0,3,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,56,22,321,138,105,0.12,0,0,0.09,0,0,0,3,3,10,1,0,36,4,0,0,466,52,5,6,8,32,61.1%,11,7,35,9,7,7,1,6,5,3,0,0,0,0,0,0,2,2,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,2,3,2,10,87,188,191,6,40.8%,75.7%,114,37,92,50,122,149,0,20.7,7,50.0%,22,1.90,30,0,0,0,8,8,55.0%,24,8,0,0.12,0.00,0.12,3,1,0.03,4,12.5%,12.5%,VAL vs CAV,2020-08-16,7t877d5i442n1ar3pg35nz02c,15381,dd2vf0yzjm7jm7cak9tf11sa2:2126228,VAL vs CAV (2020-08-16)
70,1,6925,Edmonton,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,4,4,0,0,0,0,0,0,5,2,1,0,0,1,0,0,0,0,0,2,0,0,0,2,1,58,13,235,82,82,0.26,0,0,0.11,0,0,2,0,2,13,0,0,52,6,0,0,417,46,4,7,11,51,64.7%,28,9,41,7,3,7,3,7,5,4,0,0,0,0,0,0,2,2,0,0,3,0,0,1,2,1,0,2,2,1,1,1,0,1,0,0,1,1,5,6,10,71,153,193,7,48.5%,69.8%,89,19,56,30,80,125,0,21.1,6,65.6%,32,2.92,19,0,0,0,4,8,54.4%,38,11,2,0.08,0.18,0.26,2,1,0.05,5,25.0%,0.0%,EDM vs CAV,2020-08-21,7tigxj35sgqjbet0qxe22v21g,15381,73xrv2025rnj0t3y9ayp83bec:2126240,EDM vs CAV (2020-08-21)
