Rank,GM,optaTeamId,team,leagueId,league,week,SubOff,SubOn,GWG,SOG,SOTInBox,SOTOBox,BlkdInBox,BlkdOutBox,Off,OffTgtOBox,OffTgtInBox,PenTaken,PenGoal,ShotDirFK,GoalDirFK,GoalInBx,GoalOBx,GoalOP,GoalHead,OfTgHd,SOTHead,GoalLF,GoalRF,ShotLF,ShotRF,PsOpHfFl,PsOnHfFl,PsAtt,PsOnHfScs,PsOpHfScs,ExpG,Goal,Ast,ExpA,BgChnc,BgChncCrtd,ChncSetPl,ChncOpnPl,Chance,1v1,1v1InBox,Sc1v1InBox,SucflDuels,Success1v1,ThrghBalls,ThrghBlCmp,Touches,DuelLs,FailTackle,SucflTkls,Int,DefTouch,TcklMade%,Clrnce,HeadClear,Recovery,FlComA3,FlComD3,FlComM3,FlSufA3,FlSufD3,FlSufM3,Offsides,CleanSheet,CrossPunch,ErrGoal,ErrShot,Cleared,KeeperCtch,GoalCncd,GoalCnIBx,GoalCnOBx,PensWon,Saves,SvBody,SvCght,SvClct,SvDive,SvFeet,SvFTip,SvHands,SvInBox,SvOutBox,SvPrdDng,SvPrdSaf,SvReach,SvStand,SvStoop,2ndYellow,Red,Yellow,BgChncFace,Turnover,Disposs,TchsA3,TchsD3,TchsM3,TouchOpBox,%PassFwd,Pass%,PsCmpM3,PsCmpA3,PsCmpD3,PsAttA3,PsAttD3,PsAttM3,Pull Back Passes Completed,PsDist,ChlngeLost,Aerial%,Aerials,ExpGAg,Average Shot Distance Open Play,PullBk,BgChnc,BgChncGoal,CrossOpen,Crosses,FwdPassCmp%,DefTouchD3,DefTouchM3,DefTouchA3,Open Play xG,Set Piece XG,NonPenxG,Key Passes,Defensive Blocks,xG Per Shot,Shots Total,game,date,gameId,oppOptaTeamId,scatterId,scatterExtra
29,1,15377,Forge,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,3,3,1,7,6,1,1,1,6,3,2,0,0,0,0,2,0,2,1,1,1,1,0,3,8,53,29,526,219,225,1.69,2,2,1.51,2,2,1,11,12,22,1,0,53,10,0,0,709,53,9,12,5,39,77.8%,11,4,49,2,1,7,1,3,3,2,0,2,0,0,1,2,1,1,0,0,3,0,0,1,2,0,0,3,2,1,0,2,0,1,0,0,0,0,1,2,11,193,227,289,21,39.0%,84.4%,218,90,136,109,174,243,0,17.6,6,50.0%,32,1.21,17,0,2,1,8,19,71.2%,26,10,3,1.62,0.08,1.69,10,2,0.11,15,FOR vs YRK,2019-09-08,556jgo29fuov3dnc9aab1kqy2,15382,c2pdzdl3dgf5b0siidn2ay5ii:1052428,FOR vs YRK (2019-09-08)
29,1,15381,Cavalry,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,2,2,0,1,1,0,0,0,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,3,66,17,543,293,167,1.06,0,0,0.27,1,0,0,2,2,14,1,0,46,8,0,0,709,55,8,11,9,37,47.5%,9,4,60,5,1,3,4,4,8,5,1,0,0,0,0,0,0,0,0,1,2,1,0,0,2,0,0,1,2,0,2,0,0,0,0,0,0,2,0,0,11,148,253,308,14,29.3%,84.7%,219,60,181,77,200,266,0,19.5,21,27.3%,11,0.45,12,0,1,0,9,10,62.3%,21,8,8,0.05,1.01,0.27,2,3,0.35,3,HFX vs CAV,2019-08-10,56cafkdiwsx3musxydvg9ydm2,15376,41ewt71n8fqwy6trsqta1bjvu:1052431,HFX vs CAV (2019-08-10)
31,1,15382,York United,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,3,3,1,6,4,2,1,3,6,4,1,0,0,0,0,0,0,1,0,1,1,0,0,3,7,69,23,450,199,159,0.88,1,0,0.85,1,1,1,14,15,46,5,0,77,21,0,0,705,65,8,18,15,51,81.3%,8,6,71,3,5,7,4,2,8,5,1,1,0,0,0,1,0,0,0,0,3,1,0,0,3,0,0,2,2,1,0,3,0,0,0,0,0,0,3,12,13,165,185,355,28,32.9%,79.6%,191,60,107,77,134,239,0,18.0,6,54.8%,31,2.30,20,0,1,0,9,13,58.8%,24,22,5,0.82,0.06,0.88,15,3,0.05,16,YRK vs PAC,2019-06-15,4s2bhlyuzkp953p3w0mdoqdey,15380,cqthcpums3aas2tdy0qhlkuwa:1052396,YRK vs PAC (2019-06-15)
32,1,15380,Pacific,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,2,2,0,4,3,1,1,1,5,2,2,0,0,1,0,2,0,2,1,0,1,0,1,0,8,64,25,515,269,157,1.64,2,2,1.47,2,2,1,8,9,25,2,2,55,12,0,0,702,53,7,12,6,45,73.1%,18,9,67,5,2,7,2,1,8,2,0,0,0,0,1,0,3,3,0,0,5,0,0,2,4,1,0,4,4,1,2,1,0,1,0,0,0,2,6,4,10,122,234,346,22,32.2%,82.7%,244,42,140,61,169,285,1,17.1,7,51.9%,27,3.07,14,1,2,2,6,9,62.7%,32,11,2,1.53,0.11,1.64,7,0,0.15,11,PAC vs CAV,2019-07-06,4z7uwbvrigyaaxjbfvbl02d0q,15381,b3436h8h14zw7f1uv6w9vqf6y:1052412,PAC vs CAV (2019-07-06)
32,1,15380,Pacific,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,3,3,0,5,3,2,1,1,4,1,2,0,0,1,1,0,1,0,0,1,0,0,1,2,6,76,33,502,236,157,1.20,1,0,1.14,2,2,1,9,10,20,1,0,60,11,0,0,702,68,8,15,9,54,65.7%,22,7,73,3,6,8,1,3,6,2,0,0,0,0,1,0,1,1,0,0,4,2,0,1,1,0,0,2,2,2,1,2,1,0,2,0,0,2,2,10,17,151,289,262,10,36.5%,78.3%,164,55,174,77,219,206,0,20.8,12,43.2%,37,1.35,16,0,2,0,13,16,56.8%,38,11,5,1.07,0.13,1.20,10,0,0.11,11,PAC vs HFX,2019-10-03,5k2vyf3lbvxx12td2no5kkfai,15376,b3436h8h14zw7f1uv6w9vqf6y:1052462,PAC vs HFX (2019-10-03)
34,1,6925,Edmonton,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,3,3,1,13,9,4,1,0,7,2,3,0,0,1,0,3,0,1,0,3,2,2,1,8,7,64,26,531,231,210,3.68,3,2,2.82,7,6,6,9,15,25,4,4,56,17,0,0,701,38,8,8,7,35,61.5%,11,6,53,3,3,5,2,5,4,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,2,0,0,2,2,0,1,1,0,0,0,0,0,0,1,6,6,165,199,337,36,33.9%,83.1%,263,64,114,84,155,292,0,19.1,10,54.5%,22,1.05,15,0,7,3,15,18,64.4%,22,10,3,2.14,1.54,3.68,13,3,0.18,21,EDM vs PAC,2019-08-10,56rc1pqth0zz4z61i5tjx282y,15380,73xrv2025rnj0t3y9ayp83bec:1052432,EDM vs PAC (2019-08-10)
35,1,15378,Valour,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,3,3,0,2,2,0,2,3,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,3,86,27,483,170,200,1.08,0,0,1.01,1,1,1,7,8,31,4,4,75,18,1,1,700,57,12,12,15,47,55.8%,8,6,66,2,4,4,2,2,11,1,0,0,0,1,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,10,189,201,310,17,37.7%,76.6%,187,77,106,101,135,247,0,17.0,19,69.2%,26,1.71,20,0,1,0,12,21,63.7%,30,16,1,0.86,0.22,1.08,8,6,0.11,10,VAL vs FOR,2019-05-17,4ntsd8m3ui3jxf14iv0ah2f6y,15377,dd2vf0yzjm7jm7cak9tf11sa2:1052386,VAL vs FOR (2019-05-17)
36,1,15377,Forge,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,3,3,1,3,3,0,0,1,5,1,4,1,1,0,0,1,0,0,0,0,0,1,0,5,3,67,21,505,208,209,1.18,1,0,0.28,1,0,1,5,6,18,2,0,41,8,2,0,696,53,4,9,13,50,56.5%,23,11,48,3,3,8,3,0,10,3,1,0,0,0,0,0,0,0,0,1,5,0,0,2,3,1,0,4,4,1,2,1,0,1,1,0,0,1,2,8,15,153,215,328,17,35.2%,82.6%,223,72,122,94,149,262,0,18.6,10,43.8%,16,2.30,17,0,1,1,6,9,69.7%,38,9,3,0.32,0.86,0.39,6,2,0.13,9,FOR vs YRK,2019-10-06,5lomje72gq8r3x9xte5tduwru,15382,c2pdzdl3dgf5b0siidn2ay5ii:1052465,FOR vs YRK (2019-10-06)
37,1,15381,Cavalry,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,3,3,0,5,3,2,3,0,5,1,1,0,0,1,0,0,0,0,0,1,0,0,0,5,4,69,31,480,237,143,1.70,0,0,0.79,2,1,6,3,9,24,4,4,77,15,0,0,695,44,7,16,9,42,71.9%,10,5,49,4,2,2,4,5,10,3,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,11,158,242,295,35,34.8%,79.2%,178,59,143,77,173,230,2,21.0,9,66.7%,30,1.03,17,2,2,0,16,20,59.3%,27,14,1,0.97,0.73,1.70,9,2,0.13,13,CAV vs FOR,2019-06-22,4vss0kvhfu78tzig6ibaksnl6,15377,41ewt71n8fqwy6trsqta1bjvu:1052402,CAV vs FOR (2019-06-22)
38,1,6925,Edmonton,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,3,3,0,2,2,0,1,1,6,2,2,0,0,1,0,0,0,0,0,2,1,0,0,2,3,56,24,494,216,198,0.71,0,0,0.42,0,0,2,4,6,10,1,0,47,5,0,0,692,49,9,15,13,58,66.7%,21,11,53,2,2,3,1,1,5,1,0,0,1,0,0,0,1,1,0,0,6,0,0,2,5,1,0,5,5,1,3,1,0,1,0,0,0,0,2,4,19,136,251,305,14,33.4%,83.8%,217,66,131,84,160,250,0,18.1,12,57.9%,19,1.46,16,0,0,0,12,14,69.1%,43,13,2,0.34,0.38,0.71,6,3,0.07,10,EDM vs FOR,2019-10-03,5ja0uunrontjjnbpxtcjqmjje,15377,73xrv2025rnj0t3y9ayp83bec:1052461,EDM vs FOR (2019-10-03)
38,1,15377,Forge,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,3,3,1,4,4,0,1,0,3,3,0,0,0,0,0,3,0,2,1,0,1,2,0,2,4,80,23,463,194,166,1.62,3,3,1.56,3,3,3,4,7,25,2,1,74,17,1,1,692,78,10,18,18,68,63.6%,21,7,71,5,1,8,3,2,6,0,1,0,0,1,0,1,0,0,0,0,2,0,0,1,1,0,0,2,1,1,0,1,0,1,0,0,0,1,2,4,24,133,187,372,14,32.8%,77.8%,230,46,84,65,118,280,0,17.8,16,48.6%,37,1.04,15,0,3,2,3,8,55.3%,35,28,5,0.93,0.69,1.62,4,2,0.20,8,FOR vs PAC,2019-05-08,4l9f4xu6zpjpzyxu1pzemvd62,15380,c2pdzdl3dgf5b0siidn2ay5ii:1052381,FOR vs PAC (2019-05-08)
38,1,15381,Cavalry,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,3,3,1,6,5,1,0,0,3,1,1,0,0,1,0,1,0,2,0,2,1,0,1,2,4,78,23,456,226,129,1.81,2,0,0.91,3,1,1,3,4,29,3,0,77,13,0,0,692,84,10,18,12,55,56.0%,13,3,72,6,4,7,3,6,6,2,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,3,0,10,17,183,220,289,18,36.2%,77.9%,172,55,128,72,168,216,0,20.0,22,54.8%,42,0.39,13,0,3,1,11,19,57.6%,25,17,13,1.32,0.49,1.81,4,1,0.20,9,HFX vs CAV,2019-06-19,4tfd4it6sv7n7x6cvlq4xoewa,15376,41ewt71n8fqwy6trsqta1bjvu:1052399,HFX vs CAV (2019-06-19)
38,1,15381,Cavalry,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,3,3,1,8,7,1,0,0,5,1,1,0,0,1,0,3,0,2,1,2,2,1,1,3,6,61,23,499,275,140,3.07,3,3,2.94,6,6,3,7,10,19,3,0,53,7,2,2,692,55,8,13,15,51,63.6%,14,8,68,2,2,8,2,4,7,4,0,1,0,0,0,0,2,2,0,0,2,0,0,2,0,0,0,2,1,1,0,0,0,1,1,0,0,1,2,4,9,140,289,263,24,35.3%,83.2%,172,55,188,69,228,202,0,20.1,12,48.1%,27,1.64,13,0,6,3,15,20,64.2%,32,15,4,2.16,0.91,3.07,7,2,0.24,13,PAC vs CAV,2019-07-06,4z7uwbvrigyaaxjbfvbl02d0q,15380,41ewt71n8fqwy6trsqta1bjvu:1052412,PAC vs CAV (2019-07-06)
42,1,15382,York United,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,3,3,1,4,4,0,2,0,6,3,3,0,0,0,0,2,0,2,0,0,0,0,2,3,7,60,27,492,283,122,1.54,2,2,1.30,3,2,1,9,10,18,0,0,59,9,2,2,691,49,12,10,10,56,62.9%,21,12,47,4,5,6,1,6,9,1,0,0,1,0,0,2,1,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,2,8,88,282,321,18,33.1%,82.3%,223,27,155,38,189,265,1,18.1,13,61.9%,21,0.60,19,1,3,2,5,7,64.4%,43,11,2,0.86,0.67,1.54,8,7,0.13,12,YRK vs EDM,2019-07-14,50csrm3c5dwo6x2beuh3pu0dm,6925,cqthcpums3aas2tdy0qhlkuwa:1052415,YRK vs EDM (2019-07-14)
43,1,6925,Edmonton,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,3,3,0,5,3,2,1,1,8,3,2,0,0,1,0,1,0,0,0,3,1,0,1,2,7,76,43,475,229,127,1.57,1,0,0.52,0,0,5,3,8,15,1,1,63,10,2,0,690,60,8,18,8,50,96.3%,14,9,64,3,2,10,1,3,9,2,0,0,0,0,0,0,1,1,0,0,4,0,1,2,2,0,0,4,3,1,1,0,0,2,0,0,0,1,2,0,22,126,289,275,26,38.9%,74.9%,168,34,154,54,203,218,0,21.6,1,47.1%,34,1.08,20,0,0,0,11,20,52.4%,40,9,1,0.25,1.32,1.57,8,1,0.10,15,HFX vs EDM,2019-09-28,5gk087h2bwqn6u7ux5gmezpm2,15376,73xrv2025rnj0t3y9ayp83bec:1052457,HFX vs EDM (2019-09-28)
44,1,15381,Cavalry,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,3,3,0,9,6,3,4,1,8,1,5,0,0,0,0,1,0,1,0,4,0,0,0,2,10,50,20,502,278,154,4.30,1,0,1.85,8,4,4,11,15,11,0,0,47,6,0,0,688,61,9,13,11,44,55.0%,11,2,48,4,2,8,5,3,4,1,0,0,0,0,0,0,3,0,3,0,4,0,0,2,1,1,0,3,1,3,1,1,0,0,3,0,2,4,2,0,15,167,253,268,28,32.3%,86.1%,197,67,168,77,193,232,0,20.4,18,43.8%,16,1.73,14,0,8,1,17,24,71.6%,29,12,3,3.73,0.58,4.30,15,1,0.20,22,PAC vs CAV,2019-07-01,4y80wf71m0f30yb3hu1lw0lt6,15380,41ewt71n8fqwy6trsqta1bjvu:1052408,PAC vs CAV (2019-07-01)
44,1,15381,Cavalry,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,3,3,0,2,2,0,0,1,5,2,2,0,0,2,0,0,0,0,0,1,0,0,0,4,2,94,37,463,193,139,0.59,0,0,0.51,1,1,1,5,6,21,1,1,71,10,0,0,688,71,11,15,14,49,72.2%,6,2,58,5,1,7,5,5,10,2,0,1,0,0,0,1,1,1,0,0,3,0,0,2,2,0,0,3,3,0,1,0,0,1,0,0,0,2,1,4,27,140,261,287,17,38.7%,71.7%,159,46,127,62,173,228,0,19.6,10,53.6%,28,1.00,15,0,1,0,10,17,48.0%,33,14,2,0.45,0.15,0.59,6,2,0.07,8,FOR vs CAV,2019-10-16,5n3wpjv5f0ccbrfa73tl80qju,15377,41ewt71n8fqwy6trsqta1bjvu:1052467,FOR vs CAV (2019-10-16)
46,1,15381,Cavalry,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,3,3,1,8,6,2,2,1,5,0,2,1,1,1,0,3,1,2,0,3,0,2,2,4,6,70,24,520,257,169,3.70,4,2,1.99,7,4,4,7,12,15,0,0,49,5,0,0,682,46,4,6,12,28,52.6%,6,2,53,4,4,5,2,3,7,2,0,1,0,0,0,1,1,1,0,1,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,2,4,7,149,238,295,34,39.8%,81.9%,197,70,159,87,190,243,0,20.2,9,63.9%,36,1.43,14,0,7,3,10,13,64.3%,19,6,3,1.96,1.74,2.91,10,3,0.23,16,CAV vs PAC,2019-09-22,5frccedgczakga77kz816gq5m,15380,41ewt71n8fqwy6trsqta1bjvu:1052456,CAV vs PAC (2019-09-22)
47,1,15377,Forge,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,3,3,0,5,2,3,0,2,4,2,2,0,0,1,0,0,1,1,0,0,0,1,0,5,4,63,18,439,185,173,1.25,1,1,0.55,3,1,0,7,7,27,3,2,58,12,0,0,680,62,5,20,11,53,69.4%,12,4,67,2,3,2,4,1,7,1,0,1,0,0,0,2,1,1,0,0,3,0,0,2,3,0,0,2,1,2,1,0,0,0,0,0,0,1,1,6,23,183,220,277,18,37.4%,81.5%,179,70,109,93,136,210,0,20.1,11,52.6%,19,1.19,23,0,3,0,7,10,64.6%,35,14,4,0.86,0.39,1.25,6,5,0.11,11,PAC vs FOR,2019-09-05,5csq6qhbz3695no5qnz9f91ey,15380,c2pdzdl3dgf5b0siidn2ay5ii:1052447,PAC vs FOR (2019-09-05)
48,1,6925,Edmonton,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,3,3,0,1,0,1,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,51,26,496,247,172,0.16,0,0,0.13,0,0,0,3,3,11,0,0,51,3,0,0,677,60,11,16,10,45,61.4%,8,4,65,4,3,11,0,8,3,0,0,0,0,0,0,1,2,2,0,0,6,0,0,2,4,2,0,4,3,3,0,4,1,0,1,0,0,3,5,2,13,131,214,332,13,32.7%,84.5%,231,63,125,80,153,263,0,18.9,17,64.7%,17,2.35,25,0,0,0,15,16,69.1%,25,17,3,0.16,0.00,0.16,3,1,0.04,4,FOR vs EDM,2019-05-29,4qwuoebydeda6hc2t7c8ky8a2,15377,73xrv2025rnj0t3y9ayp83bec:1052393,FOR vs EDM (2019-05-29)
49,1,6925,Edmonton,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,3,3,0,2,1,1,2,5,3,3,0,0,0,2,1,0,1,0,0,0,0,1,0,3,2,72,14,473,204,183,0.60,1,0,0.35,0,0,1,5,6,19,2,0,49,13,2,2,676,59,6,10,9,38,64.0%,12,4,50,7,1,10,4,4,6,1,0,0,0,0,3,0,2,2,0,0,2,0,0,1,0,0,0,2,2,0,0,1,0,1,1,0,0,2,3,0,16,153,162,361,18,30.7%,81.8%,236,56,95,73,110,290,0,19.8,9,38.1%,21,1.54,22,0,0,0,11,15,60.0%,23,12,3,0.43,0.18,0.60,6,2,0.05,12,YRK vs EDM,2019-07-14,50csrm3c5dwo6x2beuh3pu0dm,15382,73xrv2025rnj0t3y9ayp83bec:1052415,YRK vs EDM (2019-07-14)
49,1,15380,Pacific,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,3,3,1,2,2,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,1,54,19,496,287,136,0.61,1,1,0.58,1,1,1,2,3,11,0,0,44,4,0,0,676,61,1,16,11,49,60.7%,17,6,53,5,3,8,1,5,7,3,1,0,0,0,1,1,0,0,0,0,2,0,0,2,0,0,0,2,0,2,0,0,0,2,0,1,0,2,0,2,18,134,274,268,10,32.9%,85.3%,190,51,182,63,213,220,0,20.5,11,50.0%,20,1.23,14,0,1,1,12,17,69.3%,31,15,3,0.12,0.49,0.61,2,6,0.15,4,PAC vs HFX,2019-04-28,4itgc6bq5l5c7iv5k27xex9wq,15376,b3436h8h14zw7f1uv6w9vqf6y:1052376,PAC vs HFX (2019-04-28)
51,1,6925,Edmonton,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,3,3,1,3,3,0,0,1,2,1,1,0,0,0,0,2,0,2,0,0,0,0,2,2,3,72,26,476,224,154,1.08,2,1,0.44,2,1,0,3,3,25,3,1,58,14,0,0,672,42,5,7,16,41,75.0%,12,8,64,2,4,3,1,3,9,1,1,1,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,8,118,239,315,9,36.6%,79.4%,174,51,153,69,186,221,0,19.4,4,58.8%,34,0.76,15,0,2,2,3,5,57.5%,21,18,2,0.95,0.12,1.08,2,2,0.18,6,EDM vs HFX,2019-07-01,4xl9k0k5zmput7d3mb348balm,15376,73xrv2025rnj0t3y9ayp83bec:1052407,EDM vs HFX (2019-07-01)
51,1,15382,York United,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,2,2,1,9,7,2,4,1,9,4,4,1,1,0,0,4,0,3,1,1,1,1,2,9,7,69,20,486,188,209,3.28,4,3,2.29,4,3,1,17,18,22,9,6,62,18,0,0,672,50,3,12,15,45,50.0%,14,6,59,4,3,6,1,3,5,2,1,0,0,0,0,0,0,0,0,1,4,0,0,3,0,0,0,4,3,1,0,1,0,1,3,0,0,3,0,0,7,183,206,283,37,34.8%,81.7%,203,86,108,109,143,234,1,18.6,15,60.6%,33,0.56,17,1,4,3,12,13,65.1%,28,16,1,2.25,1.02,2.49,15,3,0.14,23,VAL vs YRK,2019-10-17,5ncl09fzjg81svtrbszlddpbe,15378,cqthcpums3aas2tdy0qhlkuwa:1052468,VAL vs YRK (2019-10-17)
53,1,15382,York United,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,1,1,0,2,1,1,7,1,1,0,1,1,1,0,0,1,0,0,0,0,0,1,0,2,1,72,11,468,203,182,1.74,1,0,0.28,3,0,3,2,5,19,1,0,45,8,0,0,671,60,3,10,12,41,48.1%,14,8,63,8,1,9,5,5,5,2,0,0,0,0,1,1,1,1,0,1,4,0,1,0,3,0,0,4,4,0,1,2,0,0,1,0,0,4,2,0,11,158,194,319,21,38.2%,82.3%,224,47,114,69,134,265,0,18.8,14,52.6%,19,1.42,19,0,3,1,19,29,67.0%,25,10,6,0.64,1.11,0.96,5,2,0.16,11,HFX vs YRK,2019-05-29,4qj49w97y7akocf4ixxx38r56,15376,cqthcpums3aas2tdy0qhlkuwa:1052392,HFX vs YRK (2019-05-29)
54,1,6925,Edmonton,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,3,3,0,5,4,1,0,1,9,1,3,0,0,0,0,1,0,0,0,3,2,0,1,4,5,80,25,496,217,174,2.74,1,0,0.88,4,1,6,4,10,14,0,0,64,8,0,0,670,50,3,12,14,34,60.0%,5,2,68,4,3,4,6,6,10,2,0,0,0,0,0,0,3,3,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,3,2,9,148,161,361,27,37.1%,78.8%,249,45,97,70,121,305,0,17.7,10,57.9%,38,2.14,20,0,4,1,8,13,63.6%,17,16,1,0.34,2.41,2.74,10,1,0.18,15,VAL vs EDM,2019-10-05,5knlpt5ejz2gvvucptl64q73e,15378,73xrv2025rnj0t3y9ayp83bec:1052463,VAL vs EDM (2019-10-05)
54,1,15381,Cavalry,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,3,3,1,5,4,1,2,0,2,2,0,0,0,0,0,1,1,0,0,0,0,1,1,3,4,63,20,464,237,144,0.96,2,2,0.70,1,1,2,3,5,22,1,0,55,11,0,0,670,42,4,14,9,33,75.0%,4,2,59,5,3,6,5,5,6,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,9,151,245,274,20,36.9%,82.1%,173,42,166,56,196,212,0,20.4,6,64.7%,17,0.17,13,0,1,0,15,26,62.6%,16,12,5,0.87,0.09,0.96,3,3,0.11,9,CAV vs HFX,2019-10-05,5l2yv4eiv12t5oztzmppfxsoa,15376,41ewt71n8fqwy6trsqta1bjvu:1052464,CAV vs HFX (2019-10-05)
56,1,6925,Edmonton,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,3,3,0,2,2,0,1,3,6,3,0,0,0,0,0,0,0,0,0,3,1,0,0,0,4,73,25,476,205,173,0.83,0,0,0.68,1,1,3,7,10,12,1,1,57,5,0,0,669,56,4,11,8,47,71.4%,24,12,61,5,1,6,4,2,13,1,0,0,0,0,1,2,1,1,0,0,2,0,1,0,0,1,0,1,1,1,1,0,0,1,1,0,0,2,0,2,15,148,242,279,17,39.5%,79.4%,186,56,136,74,171,231,0,20.3,6,50.0%,40,0.75,21,0,1,0,8,15,61.2%,36,9,2,0.31,0.52,0.83,10,4,0.07,12,PAC vs EDM,2019-09-14,5dn16vvqaa96vbba40es3uq22,15380,73xrv2025rnj0t3y9ayp83bec:1052451,PAC vs EDM (2019-09-14)
57,1,15382,York United,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,1,1,0,6,3,3,2,2,3,2,0,1,0,1,0,1,1,0,0,1,0,0,2,3,5,60,19,498,238,181,1.56,2,0,0.27,2,0,2,5,7,22,3,0,52,9,0,0,666,54,6,6,10,35,66.7%,13,5,42,5,4,7,4,5,6,0,0,1,0,1,0,0,2,2,0,1,5,1,1,0,2,2,0,2,5,0,1,3,0,0,3,0,0,1,1,8,12,141,227,298,17,34.1%,84.1%,217,50,152,68,176,254,0,18.8,6,58.6%,29,1.50,25,0,2,1,11,15,68.2%,21,11,3,0.16,1.40,0.78,7,3,0.12,13,EDM vs YRK,2019-08-25,5aoowrl9kk9cw97nk27elvjoq,6925,cqthcpums3aas2tdy0qhlkuwa:1052441,EDM vs YRK (2019-08-25)
58,1,15380,Pacific,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,3,3,1,5,3,2,1,1,2,1,1,0,0,0,0,1,1,2,0,0,0,1,1,5,2,52,22,503,270,159,1.23,2,2,1.23,2,2,0,9,9,17,1,1,39,9,1,0,665,48,6,9,7,35,62.5%,12,2,45,4,1,9,2,2,5,6,0,0,0,0,0,2,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,3,3,0,6,114,263,288,12,33.8%,85.3%,207,43,179,55,210,238,0,17.6,9,33.3%,18,1.75,18,0,2,1,12,13,68.2%,22,9,4,1.23,0.00,1.23,7,5,0.14,9,VAL vs PAC,2019-06-21,4utuyg569u044xn8dje4lbhii,15378,b3436h8h14zw7f1uv6w9vqf6y:1052391,VAL vs PAC (2019-06-21)
58,1,15381,Cavalry,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,3,3,1,3,3,0,2,1,9,2,1,0,0,0,0,1,0,1,0,3,0,0,1,4,5,83,19,471,239,130,1.72,1,1,1.47,2,2,8,2,10,26,1,1,47,9,0,0,665,58,7,4,10,37,55.0%,14,4,60,3,3,5,4,2,5,0,1,0,0,0,0,0,0,0,0,0,5,0,1,3,0,0,0,5,3,2,0,1,0,3,2,0,0,0,0,6,10,169,259,237,25,35.2%,78.3%,149,56,164,74,199,198,1,21.4,9,51.6%,31,0.64,17,1,2,1,12,18,51.8%,28,3,6,1.08,0.64,1.72,9,3,0.11,15,HFX vs CAV,2019-07-13,4znhj76oh9yauo4ph40jfqn3e,15376,41ewt71n8fqwy6trsqta1bjvu:1052413,HFX vs CAV (2019-07-13)
