Rank,GM,playerId,optaPersonId,Min,Age,Position,firstName,lastName,player,team,teamId,optaTeamId,leagueId,league,SubOff,SubOn,GWG,SOG,SOTInBox,SOTOBox,BlkdInBox,BlkdOutBox,Off,OffTgtOBox,OffTgtInBox,PenTaken,PenGoal,ShotDirFK,GoalDirFK,GoalInBx,GoalOBx,GoalOP,GoalHead,OfTgHd,SOTHead,GoalLF,GoalRF,ShotLF,ShotRF,PsOpHfFl,PsOnHfFl,PsAtt,PsOnHfScs,PsOpHfScs,ExpG,Goal,Ast,ExpA,BgChnc,BgChncCrtd,ChncSetPl,ChncOpnPl,Chance,1v1,1v1InBox,Sc1v1InBox,SucflDuels,Success1v1,ThrghBalls,ThrghBlCmp,Touches,DuelLs,FailTackle,SucflTkls,Int,DefTouch,TcklMade%,Clrnce,HeadClear,Recovery,FlComA3,FlComD3,FlComM3,FlSufA3,FlSufD3,FlSufM3,Offsides,CleanSheet,CrossPunch,ErrGoal,ErrShot,Cleared,KeeperCtch,GoalCncd,GoalCnIBx,GoalCnOBx,PensWon,Saves,SvBody,SvCght,SvClct,SvDive,SvFeet,SvFTip,SvHands,SvInBox,SvOutBox,SvPrdDng,SvPrdSaf,SvReach,SvStand,SvStoop,2ndYellow,Red,Yellow,BgChncFace,Turnover,Disposs,TchsA3,TchsD3,TchsM3,TouchOpBox,%PassFwd,Pass%,PsCmpM3,PsCmpA3,PsCmpD3,PsAttA3,PsAttD3,PsAttM3,Pull Back Passes Completed,PsDist,ChlngeLost,Aerial%,Aerials,ExpGAg,Average Shot Distance Open Play,PullBk,BgChnc,BgChncGoal,CrossOpen,Crosses,FwdPassCmp%,DefTouchD3,DefTouchM3,DefTouchA3,Open Play xG,Set Piece XG,NonPenxG,Key Passes,Defensive Blocks,xG Per Shot,Shots Total,Cross_Success_Percentage,Cross_Success_Percentage_Open_Play
51,7,dlkpavxvjx1hy57k8sbk21lg5,88457,630,33,Goalkeeper,Ignacio,Zabal Almazán,Nacho Zabal,Atlético Ottawa,dn8tjhuq0bax4dgixqvluhzze,16614,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,19,244,117,35,0.00,0,0,0.00,0,0,0,0,0,0,0,0,2,0,0,0,321,0,0,0,0,5,-,5,0,12,0,0,0,0,1,0,0,2,1,1,0,2,2,12,10,2,0,24,0,0,12,10,3,0,21,15,9,3,9,1,7,3,0,0,0,18,0,0,0,318,3,0,68.4%,62.3%,1,0,151,0,241,3,0,35.8,0,100.0%,2,12.48,0,0,0,0,0,0,46.7%,5,0,0,0.00,0.00,0.00,0,0,-,0,-,-
52,8,7fcj29th1uv9jkhdh67tygeay,481562,537,25,Right Winger,Nico,Pasquotti,N. Pasquotti,Cavalry,41ewt71n8fqwy6trsqta1bjvu,15381,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),4,1,0,2,1,1,3,3,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,5,31,7,158,36,84,1.46,0,0,0.54,2,1,0,6,6,33,1,0,42,14,0,0,318,41,0,7,4,12,58.3%,1,0,31,2,1,3,4,2,5,2,2,0,0,0,0,0,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,10,186,27,105,25,27.8%,75.9%,56,55,9,72,19,67,1,17.2,5,64.7%,17,0.00,16,1,2,0,17,17,45.5%,4,6,2,0.97,0.49,1.46,6,0,0.12,12,0.0%,0.0%
53,7,afbi7ba716z8at1irydcx44ix,250972,620,26,Centre Forward,Ryan,Telfer,R. Telfer,York United,cqthcpums3aas2tdy0qhlkuwa,15382,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),1,0,0,7,3,4,3,2,7,4,3,0,0,4,0,0,0,0,0,2,1,0,0,8,3,40,5,162,45,72,1.67,0,0,0.90,2,1,9,3,12,23,1,1,48,14,0,0,317,42,2,7,6,19,64.3%,3,1,28,4,6,0,6,1,8,2,2,0,0,0,0,0,6,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,4,7,160,43,114,16,30.9%,72.2%,59,41,17,65,20,77,0,18.5,5,43.5%,23,0.00,16,0,2,0,18,43,52.0%,11,6,2,1.48,0.19,1.67,12,0,0.09,19,30.2%,16.7%
53,9,ahyd5vf8f8cyoiefm8hsimzu1,204540,561,24,Centre Attacking Midfielder,João,Morelli Neto,João Morelli,HFX Wanderers,5gmx3o5y2oc0i6rowjwtu7jvu,15376,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),5,1,2,7,5,2,2,4,4,4,0,2,2,2,0,4,0,2,0,0,1,1,3,4,6,53,3,188,54,78,2.87,4,1,0.34,4,0,1,6,7,16,0,0,31,10,0,0,317,44,2,2,3,9,40.0%,2,0,27,4,3,6,2,3,7,2,0,0,0,0,0,0,11,9,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11,2,11,135,22,160,13,33.5%,70.2%,86,40,6,60,11,117,0,19.4,6,35.3%,17,0.00,19,0,4,3,1,18,39.7%,4,2,3,1.13,1.74,1.30,6,0,0.17,17,22.2%,0.0%
55,7,1hwbc5i6pxjdjgx0f88wmqqx,244505,618,25,Right Centre Back,Evan Brandon,John,B. John,Atlético Ottawa,dn8tjhuq0bax4dgixqvluhzze,16614,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,13,243,145,47,0.00,0,0,0.47,0,1,1,1,2,0,0,0,30,0,0,0,314,18,1,5,8,39,75.0%,23,10,17,1,4,6,0,7,7,0,2,0,0,0,0,0,12,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,18,0,0,10,176,128,1,43.2%,79.0%,90,2,100,2,128,113,0,23.7,2,62.5%,16,0.00,0,0,0,0,1,1,55.2%,35,4,0,0.00,0.00,0.00,2,2,-,0,0.0%,0.0%
56,6,c5afaf96xtx4341sic680d711,94705,458,29,Right Back,Stefan,Cebara,S. Cebara,Valour,dd2vf0yzjm7jm7cak9tf11sa2,15378,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),3,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,28,16,202,88,70,0.46,0,0,0.54,1,1,0,4,4,17,0,0,22,6,0,0,309,25,1,6,7,21,77.8%,6,3,31,3,3,0,3,1,1,0,2,0,0,0,0,0,7,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,2,3,84,104,121,10,35.1%,78.2%,60,42,56,52,65,85,2,15.1,2,40.0%,10,0.00,9,2,1,0,2,2,66.2%,15,6,0,0.46,0.00,0.46,4,0,0.23,2,0.0%,0.0%
57,11,549bk4ar8s05kzy78wi86one2,425739,583,22,Right Attacking Midfielder,Alex,Marshall,A. Marshsall,HFX Wanderers,5gmx3o5y2oc0i6rowjwtu7jvu,15376,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),3,6,0,2,1,1,0,1,5,5,0,0,0,1,0,0,0,0,0,0,0,0,0,6,1,37,8,178,42,91,0.36,0,2,0.98,0,2,1,5,6,18,0,0,49,13,4,2,308,43,3,7,4,16,71.4%,2,0,37,5,5,4,4,7,6,1,2,0,0,0,0,0,7,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,14,138,53,117,11,35.4%,74.7%,65,50,18,69,26,83,1,17.7,4,60.0%,15,0.00,24,1,0,0,7,18,65.1%,10,2,4,0.24,0.13,0.36,4,1,0.05,8,11.1%,14.3%
58,6,exgvhzo1zgo07og3rsnjv13v9,112996,540,27,Goalkeeper,Callum,Irving,C. Irving,Pacific,b3436h8h14zw7f1uv6w9vqf6y,15380,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,8,214,136,16,0.00,0,0,0.00,0,0,0,0,0,0,0,0,6,0,0,0,307,2,1,0,0,7,50.0%,6,0,13,0,0,0,0,2,0,0,1,5,1,0,1,5,8,8,0,0,22,0,0,14,5,1,0,21,16,6,4,4,1,5,10,0,0,1,14,0,0,0,307,0,0,46.7%,71.0%,0,0,152,0,214,0,0,34.6,1,83.3%,6,10.37,0,0,0,0,0,0,43.0%,7,0,0,0.00,0.00,0.00,0,0,-,0,-,-
59,5,37pbdttxfaqvayoufo0q0dxey,453335,438,22,Left Back,Diyaeddine,Abzi,D. Abzi,York United,cqthcpums3aas2tdy0qhlkuwa,15382,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),3,0,0,2,2,0,2,2,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,6,1,32,16,156,49,59,0.44,0,0,0.47,0,0,0,7,7,19,4,2,23,7,0,0,306,27,2,6,7,25,72.7%,8,1,29,1,4,0,3,3,0,0,2,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,7,109,94,103,15,34.0%,69.2%,49,29,30,41,52,63,1,19.7,3,50.0%,4,0.00,20,1,0,0,17,20,43.4%,19,3,3,0.35,0.09,0.44,7,0,0.04,11,20.0%,17.6%
60,11,6r8emgp7oeom6yyibdb4g77c9,227780,598,23,Right Winger,David,Choinière,D. Choinière,Forge,c2pdzdl3dgf5b0siidn2ay5ii,15377,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),5,5,0,3,3,0,3,3,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,2,2,29,5,172,34,104,1.07,1,1,0.66,1,1,0,5,5,27,7,3,33,11,0,0,303,41,2,5,3,13,43.8%,3,0,31,4,1,1,3,4,7,4,3,0,0,0,0,0,6,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,10,14,182,31,90,31,20.3%,80.2%,49,80,9,94,14,64,1,15.2,9,50.0%,2,0.00,15,1,1,1,19,19,62.9%,6,2,5,1.07,0.00,1.07,4,0,0.11,10,42.1%,42.1%
61,5,7v7c25arh4yqd7tz8demrxa6t,231573,383,27,Left Back,Brett,Levis,B. Levis,Valour,dd2vf0yzjm7jm7cak9tf11sa2,15378,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),2,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,20,10,184,75,79,0.07,0,2,0.69,0,1,4,2,6,14,1,0,32,9,0,0,299,24,4,8,9,27,70.6%,4,2,32,1,2,6,2,3,4,0,1,0,0,0,0,0,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,4,71,79,149,5,33.7%,83.7%,86,34,34,40,45,99,0,17.3,5,60.0%,5,0.00,21,0,0,0,4,12,64.5%,17,9,1,0.07,0.00,0.07,4,2,0.03,2,50.0%,50.0%
62,7,eyems8p1wpp6df9w1wz6rdvpx,203479,408,27,Central Midfielder,Ben,McKendry,B. McKendry,Atlético Ottawa,dn8tjhuq0bax4dgixqvluhzze,16614,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),1,3,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,34,13,215,83,85,0.09,0,0,0.06,0,0,0,1,1,3,0,0,34,2,0,0,292,31,8,16,6,36,66.7%,5,4,28,0,3,6,1,0,1,0,1,0,1,0,0,0,7,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,0,5,54,71,167,1,34.4%,78.1%,108,29,31,35,47,133,0,19.7,12,60.0%,10,0.00,27,0,0,0,4,4,62.2%,17,16,3,0.09,0.00,0.09,1,0,0.03,3,0.0%,0.0%
63,7,ewjp0ru1c4fn1h5bqyqdih0wl,152275,601,27,Left Midfielder,Ben,Fisk,B. Fisk,Atlético Ottawa,dn8tjhuq0bax4dgixqvluhzze,16614,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),2,0,1,5,3,2,0,1,3,2,1,0,0,0,0,1,0,1,0,1,0,0,1,3,4,30,11,188,61,86,0.39,1,0,0.48,0,1,0,5,5,11,1,0,20,1,2,1,291,47,4,7,1,19,40.7%,5,2,27,1,2,1,2,0,3,0,2,0,0,0,0,0,7,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16,4,11,109,58,124,14,29.3%,78.2%,79,42,26,51,37,100,0,17.7,16,27.3%,11,0.00,18,0,0,0,10,14,65.5%,15,4,0,0.33,0.06,0.39,5,0,0.04,9,7.1%,10.0%
64,6,etxxyk4izi97gchj7fo58ogd1,110665,462,28,Left Centre Back,Andrew,Jean-Baptiste,A. Jean-Baptiste,Valour,dd2vf0yzjm7jm7cak9tf11sa2,15378,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,29,16,225,112,68,0.18,1,0,0.00,0,0,0,0,0,2,1,0,19,1,0,0,280,13,0,5,8,34,83.3%,20,8,16,3,5,0,0,3,2,0,2,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,11,169,100,5,51.6%,80.0%,77,3,100,6,130,89,0,26.1,1,53.3%,15,0.00,0,0,0,0,1,1,68.1%,28,6,0,0.00,0.18,0.18,0,2,0.09,2,0.0%,0.0%
65,6,2xr4zmz44j3klssbanayqqy21,206339,495,29,Left Centre Back,Milovan,Kapor,M. Kapor,Atlético Ottawa,dn8tjhuq0bax4dgixqvluhzze,16614,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,13,218,143,45,0.00,0,0,0.09,0,0,1,0,1,0,0,0,13,0,0,0,272,18,0,1,7,34,20.0%,26,12,18,1,4,3,0,2,2,0,2,0,0,0,0,0,6,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,14,0,1,2,165,105,1,31.2%,86.2%,82,2,104,2,119,97,0,23.1,4,60.0%,15,0.00,0,0,0,0,0,0,64.7%,32,2,0,0.00,0.00,0.00,1,6,-,0,-,-
66,11,apavbqkzwn6ik22hi8d8mo1qt,153578,394,28,Central Midfielder,Maxim,Tissot,M. Tissot,Forge,c2pdzdl3dgf5b0siidn2ay5ii,15377,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),3,8,0,3,1,2,0,4,2,2,0,0,0,3,1,0,1,0,0,0,1,1,0,4,0,31,14,179,64,70,0.90,1,2,2.46,1,5,5,4,9,6,0,0,16,2,0,0,271,27,1,5,4,16,60.0%,6,1,20,0,0,4,1,1,2,1,1,0,0,0,0,0,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,2,7,88,63,120,10,34.6%,74.9%,76,35,23,44,41,94,1,19.4,4,30.8%,13,0.00,24,1,1,0,8,23,46.8%,10,6,0,0.03,0.86,0.90,7,2,0.10,9,34.8%,37.5%
67,5,ezyu9w01guirieddjudeln1lh,209503,412,27,Central Midfielder,Allan,Zebie,A. Zebie,Edmonton,73xrv2025rnj0t3y9ayp83bec,6925,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),3,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,17,9,219,110,83,0.15,0,0,0.07,0,0,0,2,2,6,0,0,23,6,0,0,269,14,4,7,5,16,61.1%,0,0,29,0,1,1,0,1,1,0,0,0,0,0,0,0,9,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,3,29,76,164,3,29.7%,88.1%,121,20,52,23,56,140,0,16.6,7,66.7%,6,0.00,19,0,0,0,0,0,70.8%,11,5,0,0.12,0.03,0.15,2,0,0.05,3,-,-
68,5,6f3bomrp6vjzdcasrvoq5c4x5,448292,353,23,Left Back,Fugo,Segawa,F. Segawa,York United,cqthcpums3aas2tdy0qhlkuwa,15382,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,12,178,86,66,0.04,0,0,0.10,0,0,0,2,2,2,0,0,21,2,0,0,268,16,1,7,7,25,72.7%,8,2,18,1,3,2,3,3,3,0,1,0,0,0,0,0,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,3,48,95,125,3,34.8%,85.4%,92,26,34,27,51,100,1,16.5,3,28.6%,7,0.00,17,1,0,0,5,5,66.1%,18,6,1,0.04,0.00,0.04,2,0,0.04,1,0.0%,0.0%
68,9,dryx6vgko76wuqqr4g9pjl4ru,509902,462,19,Central Midfielder,Sean,Young,S. Young,Pacific,b3436h8h14zw7f1uv6w9vqf6y,15380,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),4,3,0,1,1,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,22,13,199,83,81,0.20,0,0,0.34,0,0,1,5,6,7,0,0,30,6,0,0,268,30,5,7,6,24,75.0%,6,3,34,2,1,9,1,1,3,1,2,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0,6,55,50,163,8,29.1%,82.4%,110,27,27,33,35,131,0,17.4,4,46.7%,15,0.00,21,0,0,0,1,1,58.6%,10,12,2,0.11,0.09,0.20,6,0,0.05,4,100.0%,100.0%
70,9,4ezd4d37kbb1249qd7bvi0dzp,208512,616,31,Central Midfielder,Jamar,Dixon,J. Dixon,Pacific,b3436h8h14zw7f1uv6w9vqf6y,15380,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),5,1,0,2,1,1,0,1,2,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,2,31,8,189,60,90,1.38,1,0,0.24,2,0,0,5,5,9,1,1,34,6,0,0,266,33,10,9,4,32,86.4%,9,4,28,3,5,9,1,0,4,0,1,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13,0,7,57,44,165,7,32.3%,79.4%,105,32,13,39,22,128,0,18.5,3,44.4%,9,0.00,20,0,2,1,0,0,62.3%,16,12,4,0.52,0.86,1.38,5,0,0.28,5,-,-
71,9,al5jt5ntx6alvfvo3tq1py6i2,483414,308,22,Right Attacking Midfielder,Zachary,Verhoven,Z. Verhoven,Pacific,b3436h8h14zw7f1uv6w9vqf6y,15380,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),1,7,0,2,2,0,2,0,2,1,1,0,0,0,0,1,0,1,0,0,0,0,1,1,3,22,7,128,39,60,0.33,1,1,1.44,0,2,4,8,12,30,1,1,30,14,0,0,262,50,6,5,5,17,52.4%,0,0,15,6,3,7,2,0,2,1,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,6,6,124,50,88,10,36.7%,77.3%,47,32,20,44,28,56,1,18.3,10,14.3%,7,0.00,17,1,0,0,16,26,59.6%,11,3,3,0.33,0.00,0.33,11,0,0.05,6,30.8%,18.8%
72,6,cseaof8mo75i2fufyg0b4bpat,133078,453,25,Right Attacking Midfielder,Fraser,Aird,F. Aird,Valour,dd2vf0yzjm7jm7cak9tf11sa2,15378,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),4,0,1,7,4,3,1,1,2,2,0,1,1,2,0,1,0,0,0,0,1,0,1,0,8,30,10,163,34,89,1.15,1,0,0.71,1,1,2,6,8,5,0,0,10,1,1,1,260,22,0,2,0,8,40.0%,5,2,22,3,1,6,2,0,3,0,2,0,0,0,0,0,7,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,2,3,126,41,93,7,31.9%,75.5%,58,51,14,64,25,74,0,19.3,3,40.0%,5,0.00,21,0,1,1,14,25,48.1%,8,0,0,0.19,0.96,0.36,8,1,0.10,11,20.0%,21.4%
72,7,999aky7w22iv11ny6d6w57g4q,481765,630,24,Goalkeeper,Christian,Oxner,C. Oxner,HFX Wanderers,5gmx3o5y2oc0i6rowjwtu7jvu,15376,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,12,179,68,31,0.00,0,0,0.00,0,0,0,0,0,0,0,0,4,0,0,0,260,0,0,0,0,5,-,5,0,3,0,0,0,0,3,0,0,2,10,1,0,2,1,6,3,3,0,22,0,2,8,7,0,1,21,16,6,2,9,2,6,4,0,0,2,6,0,0,0,260,0,0,73.2%,55.3%,0,0,99,0,179,0,0,39.1,0,100.0%,1,5.98,0,0,0,0,0,0,39.7%,5,0,0,0.00,0.00,0.00,0,0,-,0,-,-
72,5,e6cd4pwmbb7lfatlo8gc8eaj9,87810,310,34,Defensive Midfielder,José Antonio,Galán Pedrosa,Galán,Valour,dd2vf0yzjm7jm7cak9tf11sa2,15378,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),1,2,0,1,1,0,0,1,3,3,0,0,0,0,0,1,0,1,0,0,0,0,1,2,2,25,5,206,85,91,0.21,1,1,0.40,0,1,0,3,3,2,0,0,21,2,0,0,260,24,1,10,7,23,55.0%,5,1,24,3,4,2,0,1,3,0,0,0,0,0,0,0,6,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,0,3,39,53,168,2,32.5%,85.4%,129,20,27,26,34,146,0,19.8,9,57.1%,7,0.00,22,0,0,0,1,3,65.7%,12,9,2,0.17,0.03,0.21,2,1,0.04,5,66.7%,100.0%
75,10,am6blpv9h0wzsn8rjv1q0zpp1,173493,609,24,Centre Forward,Alejandro,Díaz Liceága,A. Díaz,Pacific,b3436h8h14zw7f1uv6w9vqf6y,15380,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),4,3,2,8,8,0,5,1,5,0,4,0,0,0,0,3,0,3,0,3,2,1,2,3,5,44,7,171,40,80,2.98,3,2,1.79,5,3,0,7,7,12,0,0,23,6,0,0,259,24,2,0,4,7,66.7%,1,1,19,1,0,3,1,0,4,3,2,0,0,0,0,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,4,7,124,12,123,25,30.4%,70.2%,68,48,4,69,8,94,0,16.0,1,52.6%,19,0.00,11,0,5,3,8,8,46.2%,2,4,1,2.39,0.59,2.98,5,0,0.16,19,25.0%,25.0%
76,10,26zoncn0ilfvg5gwn91dkqmt,481764,758,24,Centre Forward,Akeem,Garcia,A. Garcia,HFX Wanderers,5gmx3o5y2oc0i6rowjwtu7jvu,15376,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),5,2,1,11,10,1,0,1,8,1,5,2,2,0,0,5,1,4,0,2,1,0,6,1,15,22,5,140,38,75,5.00,6,0,0.36,10,0,0,6,6,15,2,0,41,8,1,1,257,40,5,0,0,7,83.3%,1,1,17,12,0,5,5,1,18,13,2,0,0,0,0,0,10,7,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,7,119,9,129,37,20.0%,80.7%,69,44,0,58,2,80,0,13.6,1,28.6%,14,0.00,13,0,10,4,1,1,57.1%,3,2,2,2.49,2.51,3.43,6,2,0.25,20,0.0%,0.0%
77,7,86tz9u1o9o5u0lbyycyd3df4l,37057,411,35,Central Midfielder,Nikolas,Ledgerwood,N. Ledgerwood,Cavalry,41ewt71n8fqwy6trsqta1bjvu,15381,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),4,2,0,2,2,0,0,1,2,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,4,42,5,163,50,66,0.95,1,1,0.63,1,1,7,0,7,4,0,0,26,1,1,0,253,28,5,7,4,19,75.0%,3,0,26,5,3,5,3,2,5,0,2,0,0,0,0,0,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,3,99,28,126,6,40.5%,71.2%,85,21,10,41,16,106,0,22.4,4,33.3%,9,0.00,21,0,1,1,7,32,47.0%,9,8,2,0.16,0.79,0.16,6,0,0.19,5,37.5%,42.9%
77,10,41yxh6wtv2lrs3js0y2ir7svd,223135,480,25,Central Midfielder,Bruno,Zebie,B. Zebie,Cavalry,41ewt71n8fqwy6trsqta1bjvu,15381,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),5,5,0,1,1,0,0,0,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,4,26,4,165,78,57,0.93,0,0,0.07,1,0,1,1,2,14,0,0,30,7,0,0,253,35,4,8,3,20,63.2%,4,1,25,5,1,4,4,1,6,0,1,0,0,0,0,0,6,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2,4,66,50,137,10,26.1%,81.8%,85,25,25,32,30,103,0,16.1,7,0.0%,9,0.00,11,0,1,0,3,3,46.5%,12,4,4,0.88,0.05,0.93,2,0,0.19,5,0.0%,0.0%
79,7,8djbjtpajhwv1falg9buuone2,481746,329,25,Central Midfielder,Wataru,Murofushi,W. Murofushi,York United,cqthcpums3aas2tdy0qhlkuwa,15382,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),3,4,0,0,0,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,18,6,216,86,106,0.12,0,0,0.55,0,1,0,3,3,3,0,0,16,1,1,1,251,15,0,4,1,7,80.0%,2,1,23,1,2,5,4,2,4,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,45,40,166,3,23.6%,88.9%,132,27,33,31,35,150,0,19.0,1,100.0%,1,0.00,21,0,0,0,0,0,68.6%,3,3,1,0.09,0.04,0.12,3,0,0.04,3,-,-
79,7,6oy4mzcnojabnil6u43mxal4a,478934,595,25,Centre Forward,Malcolm Isaiah,Shaw,M. Shaw,Atlético Ottawa,dn8tjhuq0bax4dgixqvluhzze,16614,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),2,0,0,6,5,1,4,1,6,1,3,0,0,1,0,1,1,2,0,3,0,0,2,4,5,23,1,125,38,63,2.31,2,1,0.38,4,1,0,3,3,9,1,0,39,2,0,0,251,69,0,3,1,11,60.0%,7,4,10,9,1,7,6,1,12,5,2,0,0,0,0,0,10,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,16,126,20,105,29,12.0%,80.8%,55,44,2,59,4,62,0,12.1,2,37.8%,45,0.00,14,0,4,1,2,2,33.3%,9,0,2,1.92,0.40,2.31,2,2,0.14,17,50.0%,50.0%
