Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A,G-PK.1,G+A-PK,xG,npxG,xA,npxG+xA,xG.1,xA.1,xG+xA,npxG.1,npxG+xA.1,Matches,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,A-xA,KP,1/3,PPA,CrsPA,Prog,Live,Dead,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Off,Out.1,Int,Blocks,SCA,SCA90,PassLive,PassDead,Drib,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,Drib.1,Sh.1,Fld.1,Def.1,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Tkl%,Past,Succ,%,Def 3rd.1,Mid 3rd.1,Att 3rd.1,ShSv,Pass,Tkl+Int,Clr,Err,Touches,Def Pen,Att Pen,Succ%,#Pl,Megs,Carries,CPA,Mis,Dis,Targ,Rec,Rec%,Prog.1,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off.1,2CrdY,Fls,PKwon,PKcon,OG,Recov,Won,Lost,Won%,League Name,League ID,Season
11,Francesco Acerbi,it ITA,DF,Sassuolo,it Serie A,29,1988,38,38,3420,38.0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,1.5,1.5,0.8,2.4,0.04,0.02,0.06,0.04,0.06,Matches,15,2,13.3,0.39,0.05,0.00,0.00,15.6,0,0.10,-1.5,-1.5,1359,1643,82.7,30660,9085,362,427,84.8,683,760,89.9,301,425,70.8,-0.8,13,104,6,3,97,1546,97,1,235,74,9,0,0,0,0,1007,233,403,1150,271,131,25,3,3,41,20,17,28,0.74,25,0,0,2,1,0,0.00,0,0,0,0,0,0,55,34,33,18,4,17,51.5,16,111,33.8,187,113,28,0,47,102,225,2,2089,331,26,75.0,16,0,1150,2,19,13,1047,1004,95.9,25,90,100.0,,38,0,,0,1.13,29,59,-30,-0.79,,49.3,49.3,0.0,0.00,,0,29,0,1,1,520,103,32,76.3,Big-5-European-Leagues,Big5,2017-2018
12,Afriyie Acquah,gh GHA,MF,Torino,it Serie A,25,1992,22,9,951,10.6,1,0,1,0,0,4,2,0.09,0.00,0.09,0.09,0.09,0.6,0.6,0.1,0.7,0.06,0.01,0.07,0.06,0.07,Matches,9,3,33.3,0.85,0.28,0.11,0.33,22.9,0,0.07,+0.4,+0.4,403,480,84.0,7022,1590,185,208,88.9,172,195,88.2,40,63,63.5,-0.1,3,42,2,0,35,475,5,0,88,5,8,0,0,0,0,373,45,62,25,423,19,0,1,2,8,6,10,15,1.44,11,0,1,2,0,0,0.00,0,0,0,0,0,0,11,7,2,7,2,1,8.3,11,32,19.9,44,100,17,0,9,21,7,1,573,11,6,63.6,15,0,449,1,8,18,435,406,93.3,24,43,27.8,,3,13,,11,1.64,13,17,-4,-0.38,-0.82,9.8,17.4,-7.6,-0.73,-0.80,1,13,0,0,0,105,12,13,48.0,Big-5-European-Leagues,Big5,2017-2018
13,Charlie Adam,sct SCO,MF,Stoke City,eng Premier League,31,1985,11,5,411,4.6,0,0,0,0,1,2,1,0.00,0.00,0.00,0.00,0.00,1.2,0.4,1.1,1.5,0.26,0.24,0.50,0.10,0.33,Matches,10,2,20.0,2.19,0.44,0.00,0.00,32.8,3,0.04,-1.2,-0.4,170,286,59.4,4227,1546,43,57,75.4,72,91,79.1,54,130,41.5,-1.1,7,23,8,4,28,260,26,3,44,12,11,9,4,4,1,123,41,122,220,38,15,4,1,5,13,10,7,19,4.17,8,3,2,3,2,1,0.22,1,0,0,0,0,0,10,6,2,7,1,5,38.5,8,20,24.4,27,44,11,0,7,16,12,0,342,12,7,80.0,8,2,193,0,3,5,232,213,91.8,9,37,12.0,,1,6,,21,0.91,2,7,-5,-1.09,-0.26,5.1,8.0,-3.0,-0.65,+0.05,0,8,0,0,0,60,10,3,76.9,Big-5-European-Leagues,Big5,2017-2018
14,Antonio AdÃ¡n,es ESP,GK,Betis,es La Liga,30,1987,30,30,2700,30.0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.4,0.4,0.00,0.01,0.01,0.00,0.01,Matches,0,0,,0.00,0.00,,,,0,,0.0,0.0,714,1035,69.0,21475,13429,86,86,100.0,371,380,97.6,256,566,45.2,-0.4,2,12,1,0,0,848,187,0,157,26,0,0,0,0,0,512,35,488,755,161,3,0,96,1,32,5,3,4,0.13,4,0,0,0,0,1,0.03,1,0,0,0,0,0,0,0,0,0,0,0,0.0,2,1,100.0,1,0,0,0,1,0,2,1,1163,999,0,100.0,4,0,751,0,0,0,655,655,100.0,0,90,78.9,,30,0,,0,1.53,50,53,-3,-0.10,-0.35,31.2,42.0,-10.8,-0.36,-0.52,0,0,0,0,0,127,0,0,,Big-5-European-Leagues,Big5,2017-2018
15,Aday,es ESP,"MF,DF",Girona,es La Liga,29,1987,31,20,1840,20.4,2,0,1,1,2,10,0,0.10,0.00,0.10,0.05,0.05,2.6,1.1,1.8,2.9,0.13,0.09,0.21,0.06,0.14,Matches,32,14,43.8,1.57,0.68,0.03,0.07,23.0,6,0.04,-0.6,-0.1,695,1006,69.1,13470,4438,276,344,80.2,322,431,74.7,94,205,45.9,-1.8,23,41,29,19,66,861,145,0,195,39,99,4,0,0,0,528,149,329,118,656,81,134,1,2,34,24,40,51,2.50,39,2,2,5,0,3,0.15,3,0,0,0,0,0,15,6,11,2,2,6,30.0,14,64,23.6,108,103,60,1,34,36,23,2,1205,57,45,75.0,27,0,795,12,25,19,849,738,86.9,90,59,53.8,,13,11,,4,1.16,29,32,-3,-0.15,+0.20,29.1,25.3,+3.8,+0.19,+0.29,0,38,0,0,1,187,19,11,63.3,Big-5-European-Leagues,Big5,2017-2018
16,Khaled AdÃ©non,bj BEN,DF,Amiens,fr Ligue 1,32,1985,34,32,2921,32.5,0,1,0,0,0,9,0,0.00,0.03,0.03,0.00,0.03,0.5,0.5,0.3,0.8,0.02,0.01,0.03,0.02,0.03,Matches,5,1,20.0,0.15,0.03,0.00,0.00,6.3,0,0.10,-0.5,-0.5,958,1168,82.0,21066,7904,254,295,86.1,503,565,89.0,189,278,68.0,+0.7,3,39,1,0,44,1124,44,1,141,28,1,0,0,0,0,817,94,257,220,792,137,1,3,3,35,14,16,7,0.22,4,1,0,1,1,1,0.03,1,0,0,0,0,0,41,27,27,13,1,9,28.1,23,78,37.3,148,58,3,0,26,91,166,3,1504,262,10,33.3,1,0,778,0,5,6,709,691,97.5,9,86,85.4,,32,2,,2,1.26,32,37,-5,-0.15,-0.15,29.0,50.2,-21.2,-0.65,-0.85,0,51,0,1,0,394,23,22,51.1,Big-5-European-Leagues,Big5,2017-2018
17,Claud Adjapong,it ITA,"DF,MF",Sassuolo,it Serie A,19,1998,16,14,1220,13.6,0,0,0,0,0,5,1,0.00,0.00,0.00,0.00,0.00,0.6,0.6,0.7,1.3,0.05,0.05,0.10,0.05,0.10,Matches,15,3,20.0,1.11,0.22,0.00,0.00,21.1,0,0.04,-0.6,-0.6,360,514,70.0,5818,2379,194,225,86.2,134,197,68.0,27,70,38.6,-0.7,9,25,6,2,32,452,62,0,86,2,24,1,0,0,0,288,76,150,81,323,41,60,2,2,8,9,27,23,1.70,16,0,2,2,1,3,0.22,1,0,0,1,1,0,29,19,16,8,5,6,60.0,4,79,28.4,125,102,51,0,28,40,30,0,693,42,34,64.0,18,0,443,8,17,26,455,379,83.3,36,76,35.7,,12,2,,8,1.31,13,22,-9,-0.66,+0.20,17.1,16.9,+0.2,+0.02,+0.03,0,22,0,0,0,134,15,11,57.7,Big-5-European-Leagues,Big5,2017-2018
18,RenÃ© Adler,de GER,GK,Mainz 05,de Bundesliga,32,1985,14,14,1260,14.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.4,0.4,0.00,0.03,0.03,0.00,0.03,Matches,0,0,,0.00,0.00,,,,0,,0.0,0.0,241,386,62.4,8770,5681,20,22,90.9,97,102,95.1,124,262,47.3,-0.4,1,8,0,0,0,272,114,0,24,11,0,0,0,0,0,161,13,212,39,284,1,0,40,3,15,1,0,2,0.14,2,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.0,2,0,0,0,0,0,4,0,442,334,0,,0,0,237,0,0,0,171,171,100.0,1,90,41.2,,14,0,,2,1.29,16,18,-2,-0.14,+0.46,15.5,21.1,-5.6,-0.40,+0.13,0,1,0,1,0,79,0,1,0.0,Big-5-European-Leagues,Big5,2017-2018
19,Ali Adnan Kadhim,iq IRQ,"DF,MF",Udinese,it Serie A,23,1993,23,18,1674,18.6,0,1,0,0,0,4,0,0.00,0.05,0.05,0.00,0.05,0.4,0.4,1.7,2.1,0.02,0.09,0.12,0.02,0.12,Matches,11,3,27.3,0.59,0.16,0.00,0.00,28.0,4,0.04,+0.6,+0.6,588,902,65.2,10954,5194,258,315,81.9,236,348,67.8,84,202,41.6,-0.7,21,37,18,11,68,692,210,0,124,27,53,24,6,3,1,373,161,368,473,153,63,169,5,0,21,12,38,33,1.78,24,8,0,1,0,5,0.27,4,0,0,0,1,0,57,23,38,16,3,29,53.7,25,72,27.8,156,75,28,0,34,88,72,0,1145,99,7,78.1,25,0,562,2,17,17,602,548,91.0,27,73,48.9,,14,5,,7,1.17,28,29,-1,-0.05,+0.67,21.2,24.3,-3.1,-0.17,+0.04,0,20,0,0,1,174,49,32,60.5,Big-5-European-Leagues,Big5,2017-2018
20,AdriÃ¡n,es ESP,GK,West Ham,eng Premier League,30,1987,19,19,1710,19.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,0,0,,0.00,0.00,,,,0,,0.0,0.0,258,573,45.0,12276,9667,8,8,100.0,57,59,96.6,193,506,38.1,0.0,0,11,1,0,0,334,239,0,28,22,0,0,0,0,0,91,22,460,21,416,0,0,48,4,20,6,1,3,0.16,2,1,0,0,0,1,0.05,0,1,0,0,0,0,0,0,0,0,0,0,0.0,2,0,0.0,5,0,0,0,0,0,1,0,640,570,0,,0,0,242,0,0,0,175,174,99.4,0,90,50.0,,19,0,,19,1.42,30,29,+1,+0.05,+1.16,21.4,30.3,-8.9,-0.47,+0.08,0,0,0,0,0,116,0,0,,Big-5-European-Leagues,Big5,2017-2018
21,Aritz Aduriz,es ESP,FW,Athletic Club,es La Liga,36,1981,33,21,2155,23.9,9,3,6,3,5,5,0,0.38,0.13,0.50,0.25,0.38,10.6,7.1,1.1,8.1,0.44,0.04,0.49,0.29,0.34,Matches,54,25,46.3,2.26,1.04,0.11,0.24,12.6,0,0.13,-1.6,-1.1,329,509,64.6,4876,1115,204,289,70.6,101,160,63.1,18,38,47.4,+1.9,11,36,10,0,32,490,19,0,135,5,16,1,0,0,0,295,110,104,54,307,81,4,16,2,13,10,27,32,1.34,18,1,3,5,1,2,0.08,2,0,0,0,0,0,10,8,2,5,3,2,28.6,5,95,27.3,20,152,176,0,11,10,17,0,731,17,122,65.7,27,2,475,11,43,28,1077,561,52.1,211,65,63.0,,15,12,,2,1.12,26,24,+2,+0.08,+0.79,27.8,27.9,-0.1,0.00,+0.12,0,40,0,0,0,72,63,45,58.3,Big-5-European-Leagues,Big5,2017-2018
22,Ibrahim Afellay,nl NED,MF,Stoke City,eng Premier League,31,1986,6,1,166,1.8,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,0,0,,0.00,0.00,,,,0,,0.0,0.0,70,81,86.4,1413,268,28,31,90.3,32,36,88.9,10,14,71.4,0.0,0,5,0,0,5,79,2,0,7,2,0,0,0,0,0,68,8,5,18,60,3,0,0,0,1,3,0,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2,2,0,2,0,1,100.0,0,3,12.5,9,11,4,0,0,3,1,0,90,0,0,25.0,1,0,62,0,1,1,77,65,84.4,3,28,4.9,,0,5,,10,1.00,1,9,-8,-4.34,-3.65,0.9,4.8,-3.9,-2.14,-1.52,0,1,0,0,0,19,1,1,50.0,Big-5-European-Leagues,Big5,2017-2018
23,Benik Afobe,cd COD,"FW,MF",Bournemouth,eng Premier League,24,1993,17,5,611,6.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,1.2,1.2,0.1,1.3,0.21,0.01,0.22,0.21,0.22,Matches,8,3,37.5,1.18,0.44,0.00,0.00,7.9,0,0.16,-1.2,-1.2,116,150,77.3,1458,141,78,98,79.6,29,38,76.3,3,4,75.0,-0.1,2,5,3,0,6,136,14,0,51,0,0,0,0,0,0,104,33,13,26,94,7,0,7,0,4,5,5,8,1.34,5,0,1,1,0,1,0.17,0,0,0,0,1,0,6,3,4,1,1,2,28.6,5,37,33.6,8,51,51,0,5,8,9,0,237,7,31,77.8,8,0,138,5,31,9,338,169,50.0,53,36,17.9,,1,12,,4,1.06,5,12,-7,-1.03,-0.74,6.4,13.7,-7.3,-1.22,-0.93,0,9,1,0,0,25,24,48,33.3,Big-5-European-Leagues,Big5,2017-2018
24,Martin Agirregabiria,es ESP,DF,AlavÃ©s,es La Liga,21,1996,21,20,1827,20.3,0,4,0,0,0,4,0,0.00,0.20,0.20,0.00,0.20,0.0,0.0,1.2,1.2,0.00,0.06,0.06,0.00,0.06,Matches,3,1,33.3,0.15,0.05,0.00,0.00,34.5,0,0.01,0.0,0.0,598,873,68.5,10555,5335,283,359,78.8,249,344,72.4,62,134,46.3,+2.8,11,49,11,7,66,709,164,1,170,11,35,0,0,0,0,441,196,236,47,578,76,161,5,0,36,31,54,21,1.03,16,4,1,0,0,4,0.20,4,0,0,0,0,0,35,19,22,11,2,12,35.3,22,63,30.1,125,70,14,0,27,62,36,0,1058,86,6,62.1,21,1,580,5,17,14,520,480,92.3,23,87,53.4,,19,1,,4,1.81,28,19,+9,+0.44,+1.52,23.0,22.4,+0.6,+0.03,+0.88,0,20,0,0,0,244,7,7,50.0,Big-5-European-Leagues,Big5,2017-2018
25,Imanol Agirretxe,es ESP,FW,Real Sociedad,es La Liga,30,1987,11,2,238,2.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,1.2,1.2,0.1,1.2,0.46,0.02,0.48,0.46,0.48,Matches,5,2,40.0,1.89,0.76,0.00,0.00,9.9,0,0.24,-1.2,-1.2,36,56,64.3,542,95,18,26,69.2,16,24,66.7,1,3,33.3,-0.1,1,1,0,0,3,55,1,0,14,0,0,0,0,0,0,34,9,13,9,38,5,0,0,1,3,1,2,3,1.16,1,0,0,1,0,2,0.78,0,0,0,1,1,0,0,0,0,0,0,0,0.0,3,12,28.6,3,20,19,0,1,0,2,0,76,2,11,75.0,3,1,52,0,5,2,96,56,58.3,23,22,7.0,,1,9,,5,1.45,5,2,+3,+1.13,+1.02,4.9,1.8,+3.2,+1.22,+1.09,0,1,1,0,0,10,6,2,75.0,Big-5-European-Leagues,Big5,2017-2018
Rk,Player,Nation,Pos,Squad,Comp,Ag,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,A-xA,KP,1/3,PPA,CrsPA,Prog,Live,Dead,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Off,Out,Int,Blocks,SCA,SCA90,PassLive,PassDead,Drib,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Tkl%,Past,Succ,%,Def 3rd,Mid 3rd,Att 3rd,ShSv,Pass,Tkl+Int,Clr,Err,Touches,Def Pen,Att Pen,Succ%,#Pl,Megs,Carries,CPA,Mis,Dis,Targ,Rec,Rec%,Prog,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,2CrdY,Fls,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Big-5-European-Leagues,Big5,2017-2018
