player,nationality,position,squad,age,birth_year,games_gk,games_starts_gk,minutes_gk,goals_against_gk,goals_against_per90_gk,shots_on_target_against,saves,save_pct,wins_gk,draws_gk,losses_gk,clean_sheets,clean_sheets_pct,pens_att_gk,pens_allowed,pens_saved,pens_missed_gk,minutes_90s_gk,free_kick_goals_against_gk,corner_kick_goals_against_gk,own_goals_against_gk,psxg_gk,psnpxg_per_shot_on_target_against,psxg_net_gk,psxg_net_per90_gk,passes_completed_launched_gk,passes_launched_gk,passes_pct_launched_gk,passes_gk,passes_throws_gk,pct_passes_launched_gk,passes_length_avg_gk,goal_kicks,pct_goal_kicks_launched,goal_kick_length_avg,crosses_gk,crosses_stopped_gk,crosses_stopped_pct_gk,def_actions_outside_pen_area_gk,def_actions_outside_pen_area_per90_gk,avg_distance_def_actions_gk
Francesco Bardi,it ITA,GK,Frosinone,26,1992,3.0,3.0,270.0,5.0,1.67,11.0,6.0,0.545,0.0,1.0,2.0,1.0,33.3,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,4.2,0.38,-0.8,-0.27,11.0,40.0,27.5,59.0,15.0,49.2,40.2,15.0,73.3,54.8,24.0,4.0,16.7,0.0,0.0,10.4
Oliver Baumann,de GER,GK,Hoffenheim,28,1990,33.0,33.0,2970.0,51.0,1.55,159.0,114.0,0.717,12.0,12.0,9.0,5.0,15.2,7.0,6.0,1.0,0.0,33.0,0.0,5.0,1.0,52.4,0.3,2.4,0.07,210.0,453.0,46.4,1047.0,183.0,32.5,32.6,242.0,46.7,42.9,298.0,25.0,8.4,44.0,1.33,16.8
Asmir Begović,ba BIH,GK,Bournemouth,31,1987,24.0,24.0,2160.0,47.0,1.96,101.0,58.0,0.554,8.0,3.0,13.0,5.0,20.8,2.0,2.0,0.0,0.0,24.0,0.0,6.0,2.0,36.3,0.35,-8.7,-0.36,136.0,332.0,41.0,461.0,120.0,45.1,40.0,172.0,72.1,56.1,226.0,20.0,8.8,10.0,0.42,13.6
Diego Benaglio,ch SUI,GK,Monaco,34,1983,23.0,22.0,2057.0,38.0,1.66,94.0,60.0,0.628,4.0,6.0,12.0,4.0,18.2,5.0,3.0,2.0,0.0,22.9,0.0,3.0,1.0,31.7,0.3,-5.3,-0.23,91.0,237.0,38.4,459.0,105.0,31.6,33.3,159.0,57.9,46.4,226.0,18.0,8.0,6.0,0.26,12.3
Walter Benítez,ar ARG,GK,Nice,25,1993,35.0,35.0,3150.0,29.0,0.83,141.0,115.0,0.809,15.0,10.0,10.0,16.0,45.7,5.0,2.0,3.0,0.0,35.0,0.0,5.0,1.0,40.9,0.27,12.9,0.37,170.0,402.0,42.3,837.0,199.0,27.2,31.0,306.0,56.9,45.5,371.0,17.0,4.6,13.0,0.37,12.9
Etrit Berisha,al ALB,GK,Atalanta,29,1989,18.0,18.0,1620.0,26.0,1.44,64.0,43.0,0.609,9.0,3.0,6.0,5.0,27.8,2.0,1.0,0.0,1.0,18.0,1.0,5.0,3.0,22.5,0.34,0.5,0.03,90.0,214.0,42.1,347.0,94.0,32.0,33.5,129.0,79.8,55.3,144.0,20.0,13.9,16.0,0.89,15.9
Paul Bernardoni,fr FRA,GK,Nîmes,21,1997,38.0,38.0,3420.0,58.0,1.53,177.0,122.0,0.695,15.0,8.0,15.0,10.0,26.3,5.0,4.0,1.0,0.0,38.0,0.0,4.0,0.0,60.5,0.32,2.5,0.07,248.0,716.0,34.6,823.0,162.0,57.2,44.9,290.0,84.5,60.5,289.0,21.0,7.3,20.0,0.53,14.7
Dimitry Bertaud,fr FRA,GK,Montpellier,20,1998,1.0,1.0,90.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0.47,0.5,0.47,8.0,25.0,32.0,23.0,3.0,56.5,44.9,13.0,92.3,57.9,5.0,0.0,0.0,0.0,0.0,9.3
Marcus Bettinelli,eng ENG,GK,Fulham,26,1992,7.0,7.0,630.0,20.0,2.86,38.0,19.0,0.5,1.0,2.0,4.0,0.0,0.0,3.0,1.0,1.0,1.0,7.0,0.0,1.0,0.0,16.9,0.4,-3.1,-0.44,60.0,141.0,42.6,173.0,28.0,50.9,42.2,64.0,82.8,59.0,72.0,7.0,9.7,4.0,0.57,14.7
Rubén Blanco,es ESP,GK,Celta Vigo,23,1995,25.0,25.0,2250.0,40.0,1.6,106.0,70.0,0.66,7.0,6.0,12.0,6.0,24.0,5.0,4.0,0.0,1.0,25.0,2.0,3.0,0.0,36.7,0.32,-3.3,-0.13,170.0,450.0,37.8,593.0,113.0,47.9,42.0,220.0,75.5,59.9,247.0,9.0,3.6,25.0,1.0,17.5
Artur Boruc,pl POL,GK,Bournemouth,38,1980,12.0,12.0,1080.0,18.0,1.5,52.0,36.0,0.712,4.0,3.0,5.0,4.0,33.3,3.0,3.0,0.0,0.0,12.0,2.0,2.0,0.0,16.9,0.28,-1.1,-0.09,64.0,186.0,34.4,236.0,59.0,45.3,40.9,114.0,69.3,53.7,125.0,4.0,3.2,4.0,0.33,13.5
Zacharie Boucher,fr FRA,GK,Angers,26,1992,2.0,2.0,180.0,1.0,0.5,4.0,3.0,0.75,1.0,1.0,0.0,1.0,50.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.3,0.32,0.3,0.15,9.0,32.0,28.1,37.0,9.0,45.9,41.3,17.0,88.2,64.9,26.0,0.0,0.0,1.0,0.5,15.8
Yassine Bounou,ma MAR,GK,Girona,27,1991,32.0,32.0,2862.0,43.0,1.35,162.0,126.0,0.772,8.0,10.0,14.0,8.0,25.0,6.0,6.0,0.0,0.0,31.8,2.0,6.0,1.0,46.6,0.26,4.6,0.14,190.0,496.0,38.3,708.0,142.0,46.0,40.6,255.0,66.7,52.8,320.0,23.0,7.2,13.0,0.41,13.2
Fabian Bredlow,de GER,GK,Nürnberg,23,1995,14.0,12.0,1127.0,28.0,2.24,60.0,32.0,0.55,2.0,3.0,7.0,2.0,16.7,3.0,1.0,1.0,1.0,12.5,0.0,2.0,0.0,18.7,0.3,-9.3,-0.74,65.0,200.0,32.5,350.0,43.0,40.6,37.0,115.0,50.4,47.8,107.0,4.0,3.7,6.0,0.48,12.9
Gianluigi Buffon,it ITA,GK,Paris S-G,40,1978,17.0,17.0,1530.0,18.0,1.06,61.0,47.0,0.721,13.0,1.0,3.0,6.0,35.3,2.0,1.0,1.0,0.0,17.0,1.0,2.0,3.0,17.2,0.25,2.2,0.13,43.0,74.0,58.1,299.0,75.0,13.0,23.8,103.0,34.0,35.1,103.0,4.0,3.9,12.0,0.71,15.4
Roman Bürki,ch SUI,GK,Dortmund,27,1990,32.0,32.0,2880.0,40.0,1.25,125.0,88.0,0.712,21.0,7.0,4.0,10.0,31.3,4.0,4.0,0.0,0.0,32.0,1.0,7.0,0.0,37.9,0.28,-2.1,-0.07,167.0,474.0,35.2,842.0,169.0,38.5,36.5,224.0,67.0,51.6,276.0,16.0,5.8,25.0,0.78,15.6
Ludovic Butelle,fr FRA,GK,Angers,35,1983,36.0,36.0,3239.0,48.0,1.33,156.0,112.0,0.712,9.0,15.0,12.0,12.0,33.3,5.0,3.0,2.0,0.0,36.0,0.0,4.0,1.0,46.9,0.28,-0.1,0.0,259.0,599.0,43.2,694.0,170.0,54.2,43.4,277.0,80.5,55.6,372.0,33.0,8.9,34.0,0.94,14.9
David Button,eng ENG,GK,Brighton,29,1989,4.0,4.0,360.0,5.0,1.25,15.0,12.0,0.8,1.0,1.0,2.0,1.0,25.0,2.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,5.9,0.28,0.9,0.22,29.0,87.0,33.3,73.0,9.0,74.0,52.5,35.0,94.3,68.8,32.0,1.0,3.1,0.0,0.0,11.0
Willy Caballero,ar ARG,GK,Chelsea,36,1981,2.0,2.0,180.0,0.0,0.0,3.0,3.0,1.0,1.0,1.0,0.0,2.0,100.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.4,0.14,0.4,0.2,14.0,26.0,53.8,47.0,9.0,29.8,31.1,16.0,75.0,48.9,18.0,4.0,22.2,0.0,0.0,8.8
Rafael Cabral,br BRA,GK,Sampdoria,28,1990,2.0,2.0,180.0,1.0,0.5,2.0,2.0,0.5,1.0,1.0,0.0,2.0,100.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.2,0.1,0.2,0.1,13.0,30.0,43.3,49.0,8.0,42.9,36.9,15.0,60.0,45.4,13.0,1.0,7.7,0.0,0.0,12.6
Marc-Aurèle Caillard,fr FRA,GK,Guingamp,24,1994,21.0,21.0,1890.0,34.0,1.62,90.0,56.0,0.633,4.0,7.0,10.0,6.0,28.6,2.0,1.0,1.0,0.0,21.0,1.0,3.0,0.0,29.8,0.32,-4.2,-0.2,150.0,395.0,38.0,375.0,66.0,64.8,48.9,173.0,87.9,62.9,168.0,15.0,8.9,7.0,0.33,12.5
Yoan Cardinale,fr FRA,GK,Nice,24,1994,3.0,3.0,270.0,6.0,2.0,12.0,7.0,0.583,0.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,3.3,0.21,-2.7,-0.89,1.0,1.0,100.0,56.0,17.0,1.8,22.5,7.0,0.0,23.7,24.0,3.0,12.5,3.0,1.0,16.6
Koen Casteels,be BEL,GK,Wolfsburg,26,1992,26.0,26.0,2295.0,39.0,1.53,121.0,86.0,0.711,11.0,6.0,9.0,8.0,30.8,5.0,4.0,1.0,0.0,25.5,3.0,2.0,0.0,44.0,0.34,5.0,0.19,217.0,477.0,45.5,991.0,150.0,36.8,37.7,200.0,56.0,50.1,243.0,28.0,11.5,23.0,0.9,14.8
Petr Čech,cz CZE,GK,Arsenal,36,1982,7.0,7.0,585.0,9.0,1.38,36.0,27.0,0.75,5.0,0.0,2.0,2.0,28.6,0.0,0.0,0.0,0.0,6.5,0.0,1.0,0.0,10.5,0.3,1.5,0.24,25.0,92.0,27.2,201.0,38.0,32.3,34.8,41.0,65.9,53.0,67.0,8.0,11.9,4.0,0.62,17.1
Leandro Chichizola,ar ARG,GK,Getafe,28,1990,1.0,1.0,90.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.7,0.68,-0.3,-0.32,9.0,23.0,39.1,23.0,3.0,87.0,57.4,3.0,100.0,77.7,6.0,1.0,16.7,2.0,2.0,17.8
Jasper Cillessen,nl NED,GK,Barcelona,29,1989,3.0,3.0,270.0,4.0,1.33,13.0,10.0,0.769,1.0,1.0,1.0,1.0,33.3,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,4.2,0.25,0.2,0.06,14.0,24.0,58.3,90.0,15.0,18.9,27.5,25.0,28.0,32.1,32.0,1.0,3.1,6.0,2.0,18.3
Joel Coleman,eng ENG,GK,Huddersfield,22,1995,1.0,1.0,90.0,1.0,1.0,3.0,1.0,0.667,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.7,0.24,-0.3,-0.28,6.0,30.0,20.0,31.0,0.0,77.4,54.8,6.0,100.0,68.3,10.0,0.0,0.0,0.0,0.0,12.7
Andrea Consigli,it ITA,GK,Sassuolo,31,1987,36.0,36.0,3213.0,57.0,1.6,144.0,94.0,0.632,9.0,15.0,12.0,12.0,33.3,8.0,4.0,3.0,1.0,35.7,0.0,11.0,2.0,48.3,0.3,-5.7,-0.16,225.0,524.0,42.9,890.0,161.0,43.0,36.7,282.0,50.0,40.7,369.0,24.0,6.5,18.0,0.5,14.1
Benoît Costil,fr FRA,GK,Bordeaux,31,1987,37.0,37.0,3330.0,42.0,1.14,146.0,110.0,0.753,9.0,11.0,17.0,10.0,27.0,7.0,6.0,1.0,0.0,37.0,1.0,11.0,0.0,45.2,0.27,3.2,0.09,277.0,612.0,45.3,844.0,123.0,47.0,40.9,306.0,70.3,53.3,360.0,16.0,4.4,24.0,0.65,14.0
Thibaut Courtois,be BEL,GK,Real Madrid,26,1992,27.0,27.0,2430.0,36.0,1.33,100.0,70.0,0.7,14.0,3.0,10.0,8.0,29.6,8.0,6.0,1.0,1.0,27.0,0.0,3.0,0.0,32.5,0.29,-3.5,-0.13,110.0,289.0,38.1,651.0,166.0,31.0,34.4,180.0,48.3,45.7,188.0,19.0,10.1,11.0,0.41,14.2
Alessio Cragno,it ITA,GK,Cagliari,24,1994,38.0,38.0,3420.0,54.0,1.42,195.0,147.0,0.764,10.0,11.0,17.0,7.0,18.4,10.0,8.0,2.0,0.0,38.0,1.0,5.0,2.0,56.3,0.25,4.3,0.11,356.0,766.0,46.5,891.0,172.0,53.5,42.0,361.0,80.1,58.2,449.0,34.0,7.6,11.0,0.29,12.9
Iván Cuéllar,es ESP,GK,Leganés,34,1984,34.0,34.0,3056.0,38.0,1.12,111.0,76.0,0.676,10.0,12.0,12.0,10.0,29.4,2.0,2.0,0.0,0.0,34.0,2.0,2.0,1.0,36.3,0.32,-0.7,-0.02,317.0,774.0,41.0,782.0,92.0,68.2,51.4,269.0,89.6,66.1,364.0,26.0,7.1,20.0,0.59,14.4
Abdoulaye Diallo,sn SEN,GK,Rennes,26,1992,6.0,6.0,495.0,4.0,0.73,18.0,15.0,0.833,3.0,2.0,1.0,2.0,33.3,1.0,1.0,0.0,0.0,5.5,0.0,1.0,0.0,4.8,0.22,0.8,0.15,32.0,70.0,45.7,112.0,23.0,42.9,36.3,35.0,62.9,46.7,37.0,3.0,8.1,3.0,0.55,13.7
Javier Díaz,es ESP,GK,Sevilla,21,1997,1.0,1.0,90.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.7,0.0,-0.3,-0.31,5.0,13.0,38.5,19.0,3.0,47.4,39.5,5.0,80.0,57.0,9.0,0.0,0.0,1.0,1.0,14.2
Stole Dimitrievski,mk MKD,GK,Rayo Vallecano,24,1993,21.0,21.0,1890.0,35.0,1.67,91.0,62.0,0.681,5.0,4.0,12.0,3.0,14.3,7.0,6.0,1.0,0.0,21.0,0.0,6.0,0.0,32.6,0.29,-2.4,-0.12,172.0,370.0,46.5,479.0,112.0,54.1,42.6,169.0,65.7,51.4,231.0,18.0,7.8,7.0,0.33,12.9
Marko Dmitrović,rs SRB,GK,Eibar,26,1992,24.0,24.0,2160.0,30.0,1.25,81.0,54.0,0.667,9.0,6.0,9.0,5.0,20.8,4.0,3.0,1.0,0.0,24.0,2.0,3.0,0.0,27.6,0.31,-2.4,-0.1,206.0,577.0,35.7,593.0,67.0,73.2,55.4,155.0,92.3,74.2,183.0,15.0,8.2,39.0,1.63,17.0
Jaume Doménech,es ESP,GK,Valencia,27,1990,4.0,4.0,360.0,1.0,0.25,12.0,10.0,0.917,2.0,2.0,0.0,3.0,75.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,2.0,0.17,1.0,0.25,27.0,59.0,45.8,64.0,19.0,50.0,38.9,30.0,90.0,58.1,42.0,2.0,4.8,1.0,0.25,11.9
Gianluigi Donnarumma,it ITA,GK,Milan,19,1999,36.0,36.0,3092.0,32.0,0.93,121.0,94.0,0.76,18.0,11.0,7.0,11.0,30.6,4.0,3.0,1.0,0.0,34.4,1.0,5.0,1.0,34.8,0.27,4.8,0.14,196.0,373.0,52.5,869.0,194.0,27.5,30.1,292.0,45.9,39.5,364.0,31.0,8.5,14.0,0.41,13.8
Bartłomiej Drągowski,pl POL,GK,Empoli,20,1997,14.0,14.0,1260.0,24.0,1.71,91.0,70.0,0.769,5.0,2.0,7.0,3.0,21.4,4.0,3.0,1.0,0.0,14.0,0.0,3.0,0.0,25.9,0.26,1.9,0.14,72.0,222.0,32.4,329.0,95.0,41.9,38.4,152.0,55.3,48.0,157.0,7.0,4.5,9.0,0.64,13.6
Bartłomiej Drągowski,pl POL,GK,Fiorentina,20,1997,3.0,2.0,225.0,2.0,0.8,7.0,5.0,0.714,0.0,1.0,1.0,1.0,50.0,0.0,0.0,0.0,0.0,2.5,0.0,1.0,0.0,2.5,0.35,0.5,0.18,20.0,53.0,37.7,76.0,9.0,51.3,42.4,30.0,46.7,42.4,19.0,2.0,10.5,3.0,1.2,15.5
Jaroslav Drobný,cz CZE,GK,Düsseldorf,38,1979,2.0,2.0,180.0,3.0,1.5,9.0,6.0,0.667,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.9,0.33,-0.1,-0.03,12.0,22.0,54.5,27.0,5.0,66.7,44.7,10.0,40.0,40.3,8.0,0.0,0.0,1.0,0.5,15.2
Martin Dúbravka,sk SVK,GK,Newcastle Utd,29,1989,38.0,38.0,3420.0,48.0,1.26,135.0,94.0,0.689,12.0,9.0,17.0,11.0,28.9,6.0,6.0,0.0,0.0,38.0,2.0,10.0,1.0,50.6,0.34,3.6,0.09,272.0,722.0,37.7,836.0,144.0,54.2,43.5,316.0,85.1,62.8,408.0,35.0,8.6,23.0,0.61,13.3
Maxime Dupé,fr FRA,GK,Nantes,25,1993,11.0,10.0,939.0,17.0,1.63,31.0,16.0,0.516,5.0,3.0,2.0,1.0,10.0,3.0,2.0,1.0,0.0,10.4,2.0,2.0,0.0,12.9,0.35,-4.1,-0.4,71.0,196.0,36.2,210.0,38.0,55.2,44.5,91.0,87.9,64.4,92.0,4.0,4.3,6.0,0.58,16.0
Ederson,br BRA,GK,Manchester City,24,1993,38.0,38.0,3420.0,23.0,0.61,76.0,57.0,0.75,32.0,2.0,4.0,20.0,52.6,4.0,4.0,0.0,0.0,38.0,1.0,5.0,0.0,26.9,0.32,3.9,0.1,137.0,277.0,49.5,901.0,172.0,21.5,29.7,170.0,48.8,49.4,177.0,17.0,9.6,27.0,0.71,17.1
Michael Esser,de GER,GK,Hannover 96,30,1987,32.0,32.0,2880.0,67.0,2.09,209.0,149.0,0.703,5.0,6.0,21.0,5.0,15.6,6.0,5.0,1.0,0.0,32.0,1.0,12.0,1.0,58.6,0.26,-6.4,-0.2,313.0,653.0,47.9,947.0,141.0,51.2,40.7,284.0,59.2,46.3,353.0,17.0,4.8,28.0,0.88,15.0
Neil Etheridge,ph PHI,GK,Cardiff City,28,1990,38.0,38.0,3420.0,69.0,1.82,201.0,135.0,0.677,10.0,4.0,24.0,10.0,26.3,7.0,4.0,3.0,0.0,38.0,1.0,12.0,0.0,69.0,0.32,0.0,0.0,333.0,1103.0,30.2,869.0,49.0,90.4,61.6,319.0,99.4,70.6,299.0,22.0,7.4,38.0,1.0,16.2
Łukasz Fabiański,pl POL,GK,West Ham,33,1985,38.0,38.0,3420.0,55.0,1.45,191.0,139.0,0.733,15.0,7.0,16.0,7.0,18.4,5.0,4.0,1.0,0.0,38.0,0.0,10.0,1.0,65.6,0.33,11.6,0.31,316.0,848.0,37.3,901.0,142.0,62.9,49.4,303.0,92.7,68.7,376.0,36.0,9.6,16.0,0.42,13.6
Fabricio,es ESP,GK,Fulham,30,1987,2.0,2.0,180.0,5.0,2.5,23.0,18.0,0.783,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,6.1,0.27,1.1,0.55,13.0,26.0,50.0,42.0,12.0,42.9,36.8,8.0,100.0,57.1,19.0,0.0,0.0,2.0,1.0,16.4
Ralf Fährmann,de GER,GK,Schalke 04,29,1988,17.0,16.0,1469.0,26.0,1.59,80.0,57.0,0.7,4.0,3.0,9.0,3.0,18.8,2.0,2.0,0.0,0.0,16.3,1.0,4.0,1.0,25.5,0.32,0.5,0.03,114.0,256.0,44.5,396.0,68.0,46.2,40.6,118.0,61.9,49.4,138.0,12.0,8.7,15.0,0.92,17.2
Aitor Fernández,es ESP,GK,Levante,27,1991,16.0,16.0,1440.0,24.0,1.5,74.0,56.0,0.73,4.0,5.0,7.0,2.0,12.5,4.0,4.0,0.0,0.0,16.0,0.0,4.0,2.0,23.1,0.27,1.1,0.07,104.0,282.0,36.9,292.0,74.0,56.5,44.3,163.0,71.8,53.1,142.0,8.0,5.6,9.0,0.56,13.4
Andrés Fernández,es ESP,GK,Villarreal,31,1986,6.0,6.0,540.0,7.0,1.17,22.0,16.0,0.727,3.0,2.0,1.0,2.0,33.3,1.0,1.0,0.0,0.0,6.0,0.0,1.0,0.0,8.6,0.34,1.6,0.26,52.0,105.0,49.5,138.0,18.0,51.4,42.2,49.0,69.4,50.3,70.0,5.0,7.1,6.0,1.0,14.9
Mark Flekken,nl NED,GK,Freiburg,25,1993,1.0,1.0,90.0,1.0,1.0,5.0,4.0,0.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9,0.17,-0.1,-0.15,8.0,13.0,61.5,24.0,1.0,41.7,37.2,5.0,60.0,53.6,3.0,0.0,0.0,0.0,0.0,13.0
Fraser Forster,eng ENG,GK,Southampton,30,1988,1.0,1.0,90.0,3.0,3.0,6.0,3.0,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.9,0.32,-1.1,-1.08,5.0,18.0,27.8,16.0,4.0,68.8,47.9,7.0,100.0,74.3,4.0,0.0,0.0,0.0,0.0,10.0
Ben Foster,eng ENG,GK,Watford,35,1983,38.0,38.0,3420.0,59.0,1.55,173.0,118.0,0.682,14.0,8.0,16.0,7.0,18.4,5.0,4.0,1.0,0.0,38.0,2.0,7.0,3.0,56.9,0.32,0.9,0.02,360.0,973.0,37.0,942.0,99.0,73.8,52.5,300.0,92.7,68.8,374.0,35.0,9.4,42.0,1.11,15.9
Pierluigi Frattali,it ITA,GK,Parma,32,1985,1.0,1.0,90.0,2.0,2.0,9.0,7.0,0.778,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.23,0.0,0.04,5.0,16.0,31.3,23.0,6.0,34.8,35.5,15.0,53.3,41.7,13.0,1.0,7.7,0.0,0.0,7.4
Alberto García,es ESP,GK,Rayo Vallecano,33,1985,17.0,17.0,1530.0,35.0,2.06,83.0,51.0,0.59,3.0,4.0,10.0,4.0,23.5,4.0,1.0,3.0,0.0,17.0,0.0,5.0,2.0,29.7,0.32,-3.3,-0.2,137.0,279.0,49.1,408.0,82.0,47.8,40.8,124.0,67.7,50.9,187.0,11.0,5.9,9.0,0.53,14.4
Paulo Gazzaniga,ar ARG,GK,Tottenham,26,1992,3.0,3.0,270.0,2.0,0.67,13.0,11.0,0.846,2.0,0.0,1.0,1.0,33.3,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,4.1,0.31,2.1,0.7,16.0,48.0,33.3,80.0,12.0,35.0,34.7,25.0,80.0,59.9,35.0,2.0,5.7,1.0,0.33,14.7
