season,competition_id,competition,player_id,name,team_id,team,age,nationality,height,weight,preferred_foot,position,detailed_position,goals,assists,position_am_perc,position_cb_perc,position_cf_perc,position_cm_perc,position_dm_perc,position_gk_perc,position_lb_perc,position_lw_perc,position_rb_perc,position_rw_perc,play_time,ball_in_play_time,shots,shots_open_play,shots_open_play_box,shots_op_left_foot,shots_op_right_foot,shots_op_head,crosses,crosses_open_play,crosses_op_successful,crosses_op_left,crosses_op_right,passes,passes_open_play,passes_op_successful,passes_op_head,passes_op_head_successful,passes_op_final_third,passes_op_final_third_successful,passes_op_box,passes_op_box_successful,launches,launches_successful,carries,carries_box,carry_distance,dribbles,dribbles_successful,dribbles_box,recoveries,tackles,interceptions,blocks,clearances,saves,aerial_duels_att,aerial_duels_att_won,ground_duels_att,ground_duels_att_won,aerial_duels_def,aerial_duels_def_won,ground_duels_def,ground_duels_def_won,name_lower,firstname_lower,lastname_lower,firstinitial_lower
2018/2019,70,Championship,28530,Bartosz Bialkowski,40,Ipswich Town,33.0,Poland,193.0,82.0,right,Goalkeeper,Goalkeeper,0,1,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,2719.5997079999997,1501.783558,0,0,0,0,0,0,0,0,0,0,0,405,367,296,1,1,0,0,5,0,597,354,654,0,3772.310036,0,0,0,35,0,17,0,25,74,1,1,2,2,12,1,0,0,bartosz bialkowski,bartosz,bialkowski,b
2019/2020,70,Championship,28530,Bartosz Bialkowski,103,Millwall,33.0,Poland,193.0,82.0,right,Goalkeeper,Goalkeeper,0,0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,4329.367011,2392.433338,0,0,0,0,0,0,0,0,0,0,0,453,381,317,2,1,0,0,2,0,718,449,697,0,4208.038972,0,0,0,21,0,24,0,21,138,0,0,1,1,10,0,1,1,bartosz bialkowski,bartosz,bialkowski,b
2019/2020,15,League One,53314,Jon McLaughlin,56,Sunderland,33.0,Scotland,188.0,82.0,right,Goalkeeper,Goalkeeper,0,1,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,1853.16664,990.3166689999999,0,0,0,0,0,0,0,0,0,0,0,283,240,212,0,0,0,0,2,0,328,178,390,0,2993.566725,0,0,0,43,1,9,0,15,42,1,0,2,2,4,0,1,0,jon mclaughlin,jon,mclaughlin,j
2018/2019,70,Championship,98980,Emiliano Martínez,108,Reading,28.0,Argentina,195.0,88.0,right,Goalkeeper,Goalkeeper,0,0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,1754.7999170000003,1046.100054,0,0,0,0,0,0,0,0,0,0,0,439,376,307,1,1,0,0,7,0,254,131,539,0,2697.294927,2,2,0,21,0,24,0,9,76,0,0,5,5,8,1,0,0,emiliano martinez,emiliano,martinez,e
2018/2019,70,Championship,155529,Marek Rodák,72,Rotherham United,23.0,Slovakia,188.0,,,Goalkeeper,Goalkeeper,0,0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,4389.933158,2322.266777,0,0,0,0,0,0,0,0,0,0,0,375,351,226,0,0,0,0,10,0,1128,671,876,0,6997.647644,0,1,0,55,2,16,0,59,146,5,4,2,2,16,1,1,1,marek rodak,marek,rodak,m
2019/2020,70,Championship,155529,Marek Rodák,54,Fulham,23.0,Slovakia,188.0,,,Goalkeeper,Goalkeeper,0,0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,3468.3497740000003,1958.383301,0,0,0,0,0,0,0,0,0,0,0,724,579,502,0,0,0,0,10,0,413,213,813,0,3959.524761,1,1,0,32,0,15,1,33,108,5,3,4,3,9,0,2,2,marek rodak,marek,rodak,m
2018/2019,70,Championship,20531,Keiren Westwood,19,Sheffield Wednesday,35.0,Republic of Ireland,187.0,92.0,left,Goalkeeper,Goalkeeper,0,0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,1950.0163890000001,1077.4833640000002,0,0,0,0,0,0,0,0,0,0,0,195,187,134,0,0,0,0,4,0,468,289,414,0,3327.791295,1,1,0,19,1,14,0,9,61,1,0,5,5,7,1,1,1,keiren westwood,keiren,westwood,k
2019/2020,70,Championship,20531,Keiren Westwood,19,Sheffield Wednesday,35.0,Republic of Ireland,187.0,92.0,left,Goalkeeper,Goalkeeper,0,0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,1340.3667039999998,722.4834747,0,0,0,0,0,0,0,0,0,0,0,141,134,105,0,0,0,0,1,0,307,184,296,0,2144.586016,1,1,0,17,0,11,0,11,31,0,0,1,1,6,0,2,2,keiren westwood,keiren,westwood,k
2018/2019,70,Championship,105666,Jack Butland,110,Stoke City,27.0,England,196.0,95.0,right,Goalkeeper,Goalkeeper,0,0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,4367.200349000001,2549.100135,0,0,0,0,0,0,0,0,0,0,0,815,666,601,0,0,0,0,4,0,764,461,1076,0,6081.542450999999,1,1,0,58,0,41,0,28,128,3,3,4,4,21,0,0,0,jack butland,jack,butland,j
2019/2020,70,Championship,105666,Jack Butland,110,Stoke City,27.0,England,196.0,95.0,right,Goalkeeper,Goalkeeper,0,0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,3294.100184,1825.98307,0,0,0,0,0,0,0,0,0,0,0,589,516,460,0,0,0,0,2,0,533,325,783,0,4473.19831,0,1,0,50,0,25,0,20,72,1,1,2,2,9,1,0,0,jack butland,jack,butland,j
2018/2019,70,Championship,15144,David Marshall,88,Hull City,35.0,Scotland,190.0,83.0,right,Goalkeeper,Goalkeeper,0,0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,4170.8503439999995,2337.399713,0,0,0,0,0,0,0,0,0,0,0,654,555,490,1,1,0,0,1,0,758,415,943,0,5058.398357,0,0,0,45,1,17,0,31,129,0,0,4,4,9,0,0,0,david marshall,david,marshall,d
2019/2020,70,Championship,15144,David Marshall,111,Wigan Athletic,35.0,Scotland,190.0,83.0,right,Goalkeeper,Goalkeeper,0,0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,3720.983272,1977.2834149999999,0,0,0,0,0,0,0,0,0,0,0,536,430,380,0,0,0,0,1,0,631,400,670,0,3490.559786,0,0,0,43,1,26,1,38,83,5,4,5,5,9,2,0,0,david marshall,david,marshall,d
2018/2019,70,Championship,108813,Christian Walton,111,Wigan Athletic,24.0,England,196.0,75.0,left,Goalkeeper,Goalkeeper,0,0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,3327.7163800000003,1751.3168920000003,0,0,0,0,0,0,0,0,0,0,0,273,235,186,0,0,0,0,7,0,709,432,548,0,3693.3227890000003,0,0,0,24,0,31,0,33,85,1,1,1,1,13,1,0,0,christian walton,christian,walton,c
2019/2020,70,Championship,108813,Christian Walton,5,Blackburn Rovers,24.0,England,196.0,75.0,left,Goalkeeper,Goalkeeper,0,1,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,4388.299484,2471.883378,0,0,0,0,0,0,0,0,0,0,0,697,604,530,0,0,0,0,3,0,859,425,1038,0,4606.837202000001,1,1,0,72,0,45,0,30,123,4,3,3,3,10,0,1,1,christian walton,christian,walton,c
2018/2019,70,Championship,32259,Darren Randolph,25,Middlesbrough,33.0,Republic of Ireland,188.0,98.0,right,Goalkeeper,Goalkeeper,0,0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,4457.283029,2521.066782,0,0,0,0,0,0,0,0,0,0,0,506,425,342,1,0,0,0,6,0,731,426,723,0,4869.0087969999995,1,1,0,44,0,19,0,25,133,2,1,4,4,7,0,0,0,darren randolph,darren,randolph,d
2019/2020,70,Championship,32259,Darren Randolph,25,Middlesbrough,33.0,Republic of Ireland,188.0,98.0,right,Goalkeeper,Goalkeeper,0,0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,1367.65009,715.300024,0,0,0,0,0,0,0,0,0,0,0,185,160,141,0,0,0,0,1,0,222,136,239,0,1428.289129,2,2,0,8,0,6,0,10,41,0,0,0,0,6,0,0,0,darren randolph,darren,randolph,d
2019/2020,70,Championship,232904,Kamil Grabara,38,Huddersfield Town,21.0,Poland,,,,Goalkeeper,Goalkeeper,0,0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,2720.249946,1448.9000310000001,0,0,0,0,0,0,0,0,0,0,0,530,406,350,1,1,0,0,3,0,368,192,571,0,3096.474501,1,1,0,31,0,20,0,32,62,3,3,5,5,8,0,0,0,kamil grabara,kamil,grabara,k
2019/2020,70,Championship,167825,Dillon Phillips,33,Charlton Athletic,25.0,England,186.0,89.0,right,Goalkeeper,Goalkeeper,0,0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,4429.183301,2405.283425,0,0,0,0,0,0,0,0,0,0,0,862,643,539,2,2,0,0,5,0,844,483,1087,0,6076.304849,0,0,0,38,1,21,0,56,153,6,5,5,3,18,1,1,1,dillon phillips,dillon,phillips,d
2019/2020,70,Championship,61239,Rafael,108,Reading,30.0,Brazil,186.0,88.0,right,Goalkeeper,Goalkeeper,0,0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,4192.633478,2403.433706,0,0,0,0,0,0,0,0,0,0,0,758,569,479,0,0,0,0,2,0,567,305,831,0,4176.808641,0,0,0,42,1,16,2,34,150,4,3,2,2,13,1,0,0,rafael,rafael,rafael,r
2018/2019,70,Championship,17601,Scott Carson,24,Derby County,35.0,England,183.0,85.0,right,Goalkeeper,Goalkeeper,0,1,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,2929.916871,1618.2167630000001,0,0,0,0,0,0,0,0,0,0,0,705,592,532,0,0,0,0,3,0,427,217,799,0,4085.7606969999997,1,1,0,51,1,11,0,25,70,0,0,4,4,5,0,0,0,scott carson,scott,carson,s
2019/2020,70,Championship,100381,Dejan Stojanovic,25,Middlesbrough,27.0,Austria,196.0,89.0,left,Goalkeeper,Goalkeeper,0,0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,694.099838,341.3166807,0,0,0,0,0,0,0,0,0,0,0,91,71,43,0,0,0,0,2,0,106,61,121,0,857.8427262,0,0,0,16,0,2,1,5,19,0,0,2,2,2,0,0,0,dejan stojanovic,dejan,stojanovic,d
2018/2019,70,Championship,107084,Jordan Archer,103,Millwall,27.0,Scotland,180.0,80.0,right,Goalkeeper,Goalkeeper,0,0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,2326.33355,1277.0329800000002,0,0,0,0,0,0,0,0,0,0,0,214,179,141,0,0,0,0,0,0,415,255,368,0,2414.462733,0,0,0,30,0,24,0,14,47,0,0,4,3,10,2,1,1,jordan archer,jordan,archer,j
2019/2020,15,League One,107084,Jordan Archer,106,Oxford United,27.0,Scotland,180.0,80.0,right,Goalkeeper,Goalkeeper,0,0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,589.216703,333.8834296,0,0,0,0,0,0,0,0,0,0,0,130,109,96,0,0,0,0,1,0,45,25,128,0,644.7683341,0,0,0,16,0,3,0,3,16,0,0,0,0,1,0,0,0,jordan archer,jordan,archer,j
2019/2020,70,Championship,57513,Jonas Lössl,38,Huddersfield Town,31.0,Denmark,195.0,89.0,right,Goalkeeper,Goalkeeper,0,0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,1377.699957,737.9998331,0,0,0,0,0,0,0,0,0,0,0,304,263,228,1,1,0,0,4,0,188,93,337,0,1579.266603,0,0,0,25,0,16,0,11,38,1,1,3,3,8,2,0,0,jonas lossl,jonas,lossl,j
2018/2019,70,Championship,88175,Lovre Kalinić,7,Aston Villa,30.0,Croatia,201.0,96.0,right,Goalkeeper,Goalkeeper,0,0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,683.8833,389.3499186,0,0,0,0,0,0,0,0,0,0,0,118,96,82,0,0,0,0,2,0,105,48,149,0,887.5797735,0,0,0,5,0,3,0,4,19,0,0,0,0,1,0,0,0,lovre kalinic,lovre,kalinic,l
2019/2020,15,League One,160159,Marko Maroši,9,Coventry City,26.0,Slovakia,190.0,80.0,,Goalkeeper,Goalkeeper,0,0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,1660.966613,933.6166207,0,0,0,0,0,0,0,0,0,0,0,353,260,235,0,0,0,0,1,0,249,129,387,0,1822.770359,0,0,0,30,0,15,0,8,37,0,0,5,5,5,0,0,0,marko marosi,marko,marosi,m
2019/2020,70,Championship,437495,Illan Meslier,2,Leeds United,20.0,France,196.0,74.0,right,Goalkeeper,Goalkeeper,0,0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,778.4835099999999,418.7500501,0,0,0,0,0,0,0,0,0,0,0,232,184,169,0,0,0,0,0,0,47,19,215,0,877.4208748,1,2,0,10,0,6,0,7,17,2,2,1,1,4,0,0,0,illan meslier,illan,meslier,i
2019/2020,70,Championship,45220,Alex Smithies,97,Cardiff City,30.0,England,191.0,83.0,right,Goalkeeper,Goalkeeper,0,0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,3035.71688,1615.699951,0,0,0,0,0,0,0,0,0,0,0,266,253,171,1,1,0,0,6,0,649,402,603,0,3804.3454920000004,0,0,0,34,3,10,1,10,77,0,0,3,2,2,0,2,0,alex smithies,alex,smithies,a
2019/2020,70,Championship,232917,Arijanet Murić,17,Nottingham Forest,21.0,Kosovo,,,,Goalkeeper,Goalkeeper,0,0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,384.25017,225.1499797,0,0,0,0,0,0,0,0,0,0,0,71,54,44,0,0,0,0,0,0,43,23,76,0,353.9532716,0,0,0,3,0,5,0,5,9,0,0,1,1,0,0,0,0,arijanet muric,arijanet,muric,a
2018/2019,70,Championship,42887,Frank Fielding,113,Bristol City,32.0,England,185.0,76.0,right,Goalkeeper,Goalkeeper,0,0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,487.4334433,285.033402,0,0,0,0,0,0,0,0,0,0,0,91,80,64,0,0,0,0,0,0,49,29,104,0,674.9190826,0,0,0,5,0,4,0,3,16,0,0,0,0,3,0,0,0,frank fielding,frank,fielding,f
2019/2020,70,Championship,42887,Frank Fielding,103,Millwall,32.0,England,185.0,76.0,right,Goalkeeper,Goalkeeper,0,0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,40.216640000000005,21.06663,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0,0,0,0,0,0,8,6,8,0,85.4272394,0,0,0,0,0,2,0,2,0,0,0,0,0,1,0,0,0,frank fielding,frank,fielding,f
2019/2020,15,League One,109224,Jack Bonham,100,Gillingham,26.0,Republic of Ireland,192.0,95.0,right,Goalkeeper,Goalkeeper,0,0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,1667.2667199999999,860.7499983999999,0,0,0,0,0,0,0,0,0,0,0,181,169,111,1,0,0,0,9,0,383,230,356,0,3142.77834,0,1,0,45,0,21,1,18,45,0,0,1,1,7,1,1,1,jack bonham,jack,bonham,j
2019/2020,15,League One,154511,Christy Pym,73,Peterborough United,25.0,England,182.0,74.0,right,Goalkeeper,Goalkeeper,0,1,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,1671.1000210000002,851.6667653,0,0,0,0,0,0,0,0,0,0,0,271,215,179,0,0,0,0,2,0,311,148,373,0,1813.8296059999998,0,0,0,23,0,13,0,13,45,1,1,0,0,2,0,0,0,christy pym,christy,pym,c
2018/2019,70,Championship,15904,Lee Camp,41,Birmingham City,36.0,Northern Ireland,183.0,75.0,right,Goalkeeper,Goalkeeper,0,0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,4267.133623,2329.1167649999998,0,0,0,0,0,0,0,0,0,0,0,368,317,183,0,0,0,0,20,0,964,605,726,0,5022.191271,0,0,0,59,1,38,0,30,118,2,2,1,1,18,0,2,1,lee camp,lee,camp,l
2019/2020,70,Championship,15904,Lee Camp,41,Birmingham City,36.0,Northern Ireland,183.0,75.0,right,Goalkeeper,Goalkeeper,0,1,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,3406.649784,1878.833589,0,0,0,0,0,0,0,0,0,0,0,521,407,315,0,0,0,0,10,0,571,341,649,0,4065.647265,0,0,0,43,0,27,0,17,76,1,1,2,2,14,0,0,0,lee camp,lee,camp,l
2019/2020,15,League One,20950,Simon Eastwood,106,Oxford United,31.0,England,188.0,90.0,right,Goalkeeper,Goalkeeper,0,0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,1514.916783,792.7501129,0,0,0,0,0,0,0,0,0,0,0,193,144,122,0,0,1,1,2,0,231,115,247,0,1404.3181849999999,0,0,0,20,0,4,0,11,39,0,0,2,2,3,0,2,1,simon eastwood,simon,eastwood,s
2019/2020,70,Championship,88734,Neil Etheridge,97,Cardiff City,30.0,Philippines,188.0,90.0,right,Goalkeeper,Goalkeeper,0,0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,1516.350108,812.0499323,0,0,0,0,0,0,0,0,0,0,0,121,114,71,0,0,0,0,1,0,390,243,291,0,1793.5669710000002,0,0,0,18,0,15,0,11,38,2,2,1,1,6,0,1,1,neil etheridge,neil,etheridge,n
2019/2020,70,Championship,180801,Aynsley Pears,25,Middlesbrough,22.0,England,,,,Goalkeeper,Goalkeeper,0,0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,2333.766699,1274.266723,0,0,0,0,0,0,0,0,0,0,0,311,266,232,0,0,0,0,5,0,389,214,462,0,2857.315739,0,0,0,24,0,17,1,22,64,2,2,1,1,13,1,0,0,aynsley pears,aynsley,pears,a
2019/2020,70,Championship,38038,Ben Hamer,24,Derby County,32.0,England,192.0,91.0,right,Goalkeeper,Goalkeeper,0,0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,2340.016802,1368.0000380000001,0,0,0,0,0,0,0,0,0,0,0,702,555,481,2,1,0,0,4,0,272,147,705,0,3224.204928,0,0,0,25,0,13,0,35,65,1,1,5,3,10,2,0,0,ben hamer,ben,hamer,b
2019/2020,70,Championship,68845,Samuel Sahin-Radlinger,37,Barnsley,27.0,Austria,198.0,94.0,right,Goalkeeper,Goalkeeper,0,0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,1751.849822,912.033571,0,0,0,0,0,0,0,0,0,0,0,341,251,227,0,0,1,1,0,0,286,155,417,0,2079.7466679999998,1,1,0,58,1,11,0,24,43,1,1,4,4,10,0,0,0,samuel sahin-radlinger,samuel,sahin-radlinger,s
2018/2019,70,Championship,79852,Jed Steer,7,Aston Villa,27.0,England,183.0,80.0,left,Goalkeeper,Goalkeeper,0,0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,1818.416136,1004.983209,0,0,0,0,0,0,0,0,0,0,0,315,260,224,1,1,0,0,1,0,281,152,415,0,1992.576877,0,0,0,25,0,9,0,10,34,0,0,3,3,9,2,0,0,jed steer,jed,steer,j
2019/2020,15,League One,207270,Daniel Iversen,72,Rotherham United,23.0,Denmark,193.0,80.0,right,Goalkeeper,Goalkeeper,0,0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,1869.916636,915.6667614,0,0,0,0,0,0,0,0,0,0,0,146,132,89,3,1,0,0,5,0,423,279,269,0,2036.265684,0,0,0,31,0,8,0,17,44,3,3,0,0,5,0,0,0,daniel iversen,daniel,iversen,d
2018/2019,70,Championship,175653,Kelle Roos,24,Derby County,28.0,Netherlands,196.0,,right,Goalkeeper,Goalkeeper,0,0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,1857.1997809999998,1041.700011,0,0,0,0,0,0,0,0,0,0,0,436,333,296,1,1,0,0,4,0,226,126,456,0,2353.979898,0,0,0,21,1,9,0,22,46,1,0,3,3,10,0,2,0,kelle roos,kelle,roos,k
